fvalue	x	y	z
-2.51058433302e-11	0.025	-0.00625	-0.00625
-1.172395514e-11	0.0375	-0.00625	-0.00625
-1.55135163974e-11	0.05	-0.00625	-0.00625
-2.5816386066e-11	0.0625	-0.00625	-0.00625
-1.81188397619e-11	0.075	-0.00625	-0.00625
-2.64085050124e-11	0.0875	-0.00625	-0.00625
-1.80004159726e-11	0.1	-0.00625	-0.00625
-3.10270327949e-11	0.1125	-0.00625	-0.00625
-1.58687877653e-11	0.125	-0.00625	-0.00625
-2.60532336445e-11	0.1375	-0.00625	-0.00625
-2.42768768051e-11	0.15	-0.00625	-0.00625
-2.54611146981e-11	0.1625	-0.00625	-0.00625
-2.55795384874e-11	0.175	-0.00625	-0.00625
-2.53426909088e-11	0.1875	-0.00625	-0.00625
-2.96059473233e-11	0.2	-0.00625	-0.00625
-2.56979622767e-11	0.2125	-0.00625	-0.00625
-3.41060513165e-11	0.225	-0.00625	-0.00625
-2.49874195409e-11	0.2375	-0.00625	-0.00625
-2.51058433302e-11	0.25	-0.00625	-0.00625
-4.1566750042e-11	0.2625	-0.00625	-0.00625
-3.61192557345e-11	0.275	-0.00625	-0.00625
-3.45797464737e-11	0.2875	-0.00625	-0.00625
-3.50534416308e-11	0.3	-0.00625	-0.00625
-2.73558953268e-11	0.3125	-0.00625	-0.00625
-4.57115826672e-11	0.325	-0.00625	-0.00625
-3.96719694133e-11	0.3375	-0.00625	-0.00625
-4.1566750042e-11	0.35	-0.00625	-0.00625
-3.49350178415e-11	0.3625	-0.00625	-0.00625
-4.08562073062e-11	0.375	-0.00625	-0.00625
-3.62376795238e-11	0.3875	-0.00625	-0.00625
-4.52378875101e-11	0.4	-0.00625	-0.00625
-5.31722813927e-11	0.4125	-0.00625	-0.00625
-4.99748390818e-11	0.425	-0.00625	-0.00625
-5.10406531854e-11	0.4375	-0.00625	-0.00625
-6.0159284961e-11	0.45	-0.00625	-0.00625
-5.25801624462e-11	0.4625	-0.00625	-0.00625
-5.74355378073e-11	0.475	-0.00625	-0.00625
-5.7317114018e-11	0.4875	-0.00625	-0.00625
-5.94487422253e-11	0.5	-0.00625	-0.00625
-6.65541695829e-11	0.5125	-0.00625	-0.00625
-6.12250990647e-11	0.525	-0.00625	-0.00625
-6.4185693797e-11	0.5375	-0.00625	-0.00625
-6.58436268471e-11	0.55	-0.00625	-0.00625
-7.08174259974e-11	0.5625	-0.00625	-0.00625
-7.08174259974e-11	0.575	-0.00625	-0.00625
-7.62649203049e-11	0.5875	-0.00625	-0.00625
-7.5080682412e-11	0.6	-0.00625	-0.00625
-8.62125186056e-11	0.6125	-0.00625	-0.00625
-8.84625706021e-11	0.625	-0.00625	-0.00625
-9.54495741704e-11	0.6375	-0.00625	-0.00625
-9.14231653345e-11	0.65	-0.00625	-0.00625
-9.93575592171e-11	0.6625	-0.00625	-0.00625
-9.37916411203e-11	0.675	-0.00625	-0.00625
-1.07055105521e-10	0.6875	-0.00625	-0.00625
-9.84101689028e-11	0.7	-0.00625	-0.00625
-1.18897484451e-10	0.7125	-0.00625	-0.00625
-1.21265960236e-10	0.725	-0.00625	-0.00625
-1.13331566354e-10	0.7375	-0.00625	-0.00625
-1.31331982326e-10	0.75	-0.00625	-0.00625
-1.32989915376e-10	0.7625	-0.00625	-0.00625
-1.36779476634e-10	0.775	-0.00625	-0.00625
-1.35003119794e-10	0.7875	-0.00625	-0.00625
-1.45069141884e-10	0.8	-0.00625	-0.00625
-1.54424621239e-10	0.8125	-0.00625	-0.00625
-1.58806301442e-10	0.825	-0.00625	-0.00625
-1.71359223107e-10	0.8375	-0.00625	-0.00625
-1.74438241629e-10	0.85	-0.00625	-0.00625
-1.83912144773e-10	0.8625	-0.00625	-0.00625
-1.81425245197e-10	0.875	-0.00625	-0.00625
-1.96228218859e-10	0.8875	-0.00625	-0.00625
-2.05938969581e-10	0.9	-0.00625	-0.00625
-2.0617581716e-10	0.9125	-0.00625	-0.00625
-2.14702329989e-10	0.925	-0.00625	-0.00625
-2.29268456072e-10	0.9375	-0.00625	-0.00625
-2.4632148173e-10	0.95	-0.00625	-0.00625
-2.48453109937e-10	0.9625	-0.00625	-0.00625
-2.64440321492e-10	0.975	-0.00625	-0.00625
-2.70006239589e-10	0.9875	-0.00625	-0.00625
-2.83506551568e-10	1.0	-0.00625	-0.00625
-3.03164900591e-10	1.0125	-0.00625	-0.00625
