# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:59:35+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhmid_One_BH_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-2.55997369539002e-08
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-2.55997369539002e-08
0	0	0 0 0	2 4 4	0	-1.99375 0 0	1.09650275302192e-10
0	0	0 0 0	3 4 4	0	-1.990625 0 0	2.17587536989447e-10
0	0	0 0 0	4 4 4	0	-1.9875 0 0	7.16154653092135e-10
0	0	0 0 0	5 4 4	0	-1.984375 0 0	-1.57005574721024e-10
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-5.33722458838284e-10
0	0	0 0 0	7 4 4	0	-1.978125 0 0	3.54575137682214e-11
0	0	0 0 0	8 4 4	0	-1.975 0 0	1.31609827580705e-10
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-4.72374242899866e-10
0	0	0 0 0	10 4 4	0	-1.96875 0 0	4.29701710190869e-10
0	0	0 0 0	11 4 4	0	-1.965625 0 0	-6.13070480686694e-10
0	0	0 0 0	12 4 4	0	-1.9625 0 0	1.89225223545598e-10
0	0	0 0 0	13 4 4	0	-1.959375 0 0	6.75935681600717e-11
0	0	0 0 0	14 4 4	0	-1.95625 0 0	4.93704653966943e-10
0	0	0 0 0	15 4 4	0	-1.953125 0 0	-3.36138463595037e-10
0	0	0 0 0	16 4 4	0	-1.95 0 0	5.17060645730786e-10
0	0	0 0 0	17 4 4	0	-1.946875 0 0	1.06643944527595e-11
0	0	0 0 0	18 4 4	0	-1.94375 0 0	-3.82584179165955e-10
0	0	0 0 0	19 4 4	0	-1.940625 0 0	8.64299656377292e-10
0	0	0 0 0	20 4 4	0	-1.9375 0 0	-5.23569965742587e-10
0	0	0 0 0	21 4 4	0	-1.934375 0 0	-8.82893627824478e-11
0	0	0 0 0	22 4 4	0	-1.93125 0 0	-2.99308114582779e-10
