# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:59:47+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhmid_One_BH_24x25x33.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	640 4 0	0	0 0 -0.0125	1.64929728945287e-12 -5.71913618113012e-09 5.61442586692606e-09
0	0	0 0 0	640 4 1	0	0 0 -0.009375	1.64929728945287e-12 -5.71913618113012e-09 5.61442586692606e-09
0	0	0 0 0	640 4 2	0	0 0 -0.00625	1.17852776149174e-16 3.9120182787622e-15 -3.82408948257362e-15
0	0	0 0 0	640 4 3	0	0 0 -0.003125	1.01643953670516e-16 3.89456262378518e-15 -3.81660848758347e-15
0	0	0 0 0	640 4 4	0	0 0 0	0 3.88220271901885e-15 -3.88220271901885e-15
0	0	0 0 0	640 4 5	0	0 0 0.003125	1.01535533453267e-16 3.92741394961149e-15 -3.9490979930612e-15
0	0	0 0 0	640 4 6	0	0 0 0.00625	-6.84673671924596e-17 3.78939501305409e-15 -3.9004173155166e-15
0	0	0 0 0	640 4 7	0	0 0 0.009375	-1.57467921623085e-12 -5.58370417426662e-09 5.68987422347282e-09
0	0	0 0 0	640 4 8	0	0 0 0.0125	-1.57467921623085e-12 -5.58370417426662e-09 5.68987422347282e-09


# iteration 1   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
1	0	0 0 0	640 4 0	0.00078125	0 0 -0.0125	1.64929728945287e-12 -5.71913618026276e-09 5.61442586692606e-09
1	0	0 0 0	640 4 1	0.00078125	0 0 -0.009375	1.64929728945287e-12 -5.71913618026276e-09 5.61442586692606e-09
1	0	0 0 0	640 4 2	0.00078125	0 0 -0.00625	-nan -nan -nan
1	0	0 0 0	640 4 3	0.00078125	0 0 -0.003125	-nan -nan -nan
1	0	0 0 0	640 4 4	0.00078125	0 0 0	-nan -nan -nan
1	0	0 0 0	640 4 5	0.00078125	0 0 0.003125	-nan -nan -nan
1	0	0 0 0	640 4 6	0.00078125	0 0 0.00625	-nan -nan -nan
1	0	0 0 0	640 4 7	0.00078125	0 0 0.009375	-1.57467921623085e-12 -5.58370417329083e-09 5.68987422303914e-09
1	0	0 0 0	640 4 8	0.00078125	0 0 0.0125	-1.57467921623085e-12 -5.58370417329083e-09 5.68987422303914e-09


# iteration 2   time 0.0015625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
2	0	0 0 0	640 4 0	0.0015625	0 0 -0.0125	1.64929728945287e-12 -5.71913617982908e-09 5.61442586692606e-09
2	0	0 0 0	640 4 1	0.0015625	0 0 -0.009375	1.64929728945287e-12 -5.71913617982908e-09 5.61442586692606e-09
