# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:02:45+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunfar_One_BH_30.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 20 0	0	5 5 4.9375	6.80913414844928e-13 -6.79001822080421e-11 7.21210030207224e-11
0	0	0 0 0	20 20 1	0	5 5 4.940625	6.80913414844928e-13 -6.79001822080421e-11 7.21210030207224e-11
0	0	0 0 0	20 20 2	0	5 5 4.94375	-1.71947688292623e-17 -4.43675857771803e-17 1.51889948101641e-17
0	0	0 0 0	20 20 3	0	5 5 4.946875	-1.78452901327536e-17 -6.25550772206246e-17 -7.48777125372801e-18
0	0	0 0 0	20 20 4	0	5 5 4.95	-4.6288656501553e-17 -4.56584639887958e-17 -4.40558776525907e-17
0	0	0 0 0	20 20 5	0	5 5 4.953125	4.726443845679e-18 4.14436280432584e-17 -2.57904591779989e-17
0	0	0 0 0	20 20 6	0	5 5 4.95625	-1.32814766129474e-17 -5.8902671152064e-17 1.69203301543519e-17
0	0	0 0 0	20 20 7	0	5 5 4.959375	-3.9979955110403e-19 6.58314006606042e-18 -1.44740990026815e-17
0	0	0 0 0	20 20 8	0	5 5 4.9625	-2.04981973235541e-17 -2.55871712706579e-17 -7.43932096914507e-17
0	0	0 0 0	20 20 9	0	5 5 4.965625	3.7428691873273e-17 1.51856066783751e-17 6.15216970249743e-17
0	0	0 0 0	20 20 10	0	5 5 4.96875	-3.07913416985883e-17 -2.91650384398601e-17 7.67750663391298e-17
0	0	0 0 0	20 20 11	0	5 5 4.971875	-1.32577596904243e-17 -4.73931874647726e-17 -5.5545032549148e-17
0	0	0 0 0	20 20 12	0	5 5 4.975	1.55887943612681e-17 4.63631954009114e-17 -9.6900569165892e-19
0	0	0 0 0	20 20 13	0	5 5 4.978125	7.48777125372801e-19 -1.82789710017478e-17 7.64362531602281e-18
0	0	0 0 0	20 20 14	0	5 5 4.98125	2.29918623202707e-17 -1.03947883287048e-17 1.00119294365458e-17
0	0	0 0 0	20 20 15	0	5 5 4.984375	-1.94207714146466e-17 -1.09978757871498e-17 -3.76387560441921e-17
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.28376313485862e-17 1.07132727168724e-17 1.64188866495774e-17
0	0	0 0 0	20 20 17	0	5 5 4.990625	-3.16790322273108e-18 8.19927892942163e-19 -2.92429654710075e-17
0	0	0 0 0	20 20 18	0	5 5 4.99375	1.58971143540687e-17 -2.3835507135736e-17 -4.0972677724585e-17
0	0	0 0 0	20 20 19	0	5 5 4.996875	2.07252021534182e-17 2.19584821246205e-17 4.34629545895127e-17
0	0	0 0 0	20 20 20	0	5 5 5	0 -3.22380739724987e-17 3.22380739724987e-17
0	0	0 0 0	20 20 21	0	5 5 5.003125	7.94516904524534e-18 -3.52060774196777e-17 4.62175057339836e-17
0	0	0 0 0	20 20 22	0	5 5 5.00625	-1.91768259258374e-17 -6.54553180320233e-17 -2.43742200901897e-17
0	0	0 0 0	20 20 23	0	5 5 5.009375	-3.90854883181024e-17 -5.6717326148148e-18 1.41081807694676e-17
0	0	0 0 0	20 20 24	0	5 5 5.0125	-3.5643146420461e-17 -1.0607901818234e-16 -8.96838484552853e-18
0	0	0 0 0	20 20 25	0	5 5 5.015625	3.18823201346519e-18 3.76319797806141e-17 -5.58296356194254e-17
0	0	0 0 0	20 20 26	0	5 5 5.01875	4.02510056535244e-18 8.08984227263637e-17 3.09471957608831e-17
0	0	0 0 0	20 20 27	0	5 5 5.021875	-9.0801931945661e-19 2.43233981133545e-17 -1.1418004128988e-18
0	0	0 0 0	20 20 28	0	5 5 5.025	8.56519716263549e-18 -2.16162808139297e-17 2.44589233849152e-17
0	0	0 0 0	20 20 29	0	5 5 5.028125	-3.52704519236691e-18 9.41900637346782e-18 -1.64019459906323e-17
0	0	0 0 0	20 20 30	0	5 5 5.03125	2.43945488809238e-18 -4.30496025112526e-17 1.32408190314792e-17
0	0	0 0 0	20 20 31	0	5 5 5.034375	1.34949289156555e-17 5.38374141274833e-17 3.60734391576661e-17
0	0	0 0 0	20 20 32	0	5 5 5.0375	6.91178884959509e-19 -4.28124332860214e-17 1.68661200457276e-17
0	0	0 0 0	20 20 33	0	5 5 5.040625	-1.3000261674459e-17 -8.30634389395457e-17 -3.899062062801e-17
0	0	0 0 0	20 20 34	0	5 5 5.04375	8.01293168102568e-18 3.12656801490507e-17 -5.94108909204166e-17
0	0	0 0 0	20 20 35	0	5 5 5.046875	1.18313562072481e-17 -1.24683249835833e-18 3.30376730747067e-17
0	0	0 0 0	20 20 36	0	5 5 5.05	-5.53620734325411e-18 -1.51551134922739e-17 2.07861885256205e-17
0	0	0 0 0	20 20 37	0	5 5 5.053125	-2.71389356300278e-18 -4.39135761174519e-17 2.82028090117792e-17
0	0	0 0 0	20 20 38	0	5 5 5.05625	-1.17873104939908e-17 -6.38798367501303e-17 1.68728963093057e-17
0	0	0 0 0	20 20 39	0	5 5 5.059375	-6.28839923113179e-13 -6.77198969609974e-11 6.37806847436737e-11
0	0	0 0 0	20 20 40	0	5 5 5.0625	-6.28839923113179e-13 -6.77198969609974e-11 6.37806847436737e-11


