# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:11:42+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunfar_One_BH_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.4701575061418e-09
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.4701575061418e-09
0	0	0 0 0	20 2 20	0	5 4.94375 5	8.00195723232332e-10
0	0	0 0 0	20 3 20	0	5 4.946875 5	-5.1088046292517e-10
0	0	0 0 0	20 4 20	0	5 4.95 5	2.6795837942729e-10
0	0	0 0 0	20 5 20	0	5 4.953125 5	-3.03539617557371e-10
0	0	0 0 0	20 6 20	0	5 4.95625 5	-2.53611603662053e-10
0	0	0 0 0	20 7 20	0	5 4.959375 5	-4.43419963497738e-10
0	0	0 0 0	20 8 20	0	5 4.9625 5	3.40849045178273e-10
0	0	0 0 0	20 9 20	0	5 4.965625 5	-1.29173344203226e-10
0	0	0 0 0	20 10 20	0	5 4.96875 5	2.21114505063514e-10
0	0	0 0 0	20 11 20	0	5 4.971875 5	-2.80379246518985e-10
0	0	0 0 0	20 12 20	0	5 4.975 5	2.89891052521482e-10
0	0	0 0 0	20 13 20	0	5 4.978125 5	6.64696921584336e-10
0	0	0 0 0	20 14 20	0	5 4.98125 5	4.37507801239678e-10
0	0	0 0 0	20 15 20	0	5 4.984375 5	-1.90434711908153e-10
0	0	0 0 0	20 16 20	0	5 4.9875 5	1.48476375938304e-10
0	0	0 0 0	20 17 20	0	5 4.990625 5	8.46319199467629e-11
0	0	0 0 0	20 18 20	0	5 4.99375 5	1.23847038887715e-10
0	0	0 0 0	20 19 20	0	5 4.996875 5	-3.43607938413744e-10
0	0	0 0 0	20 20 20	0	5 5 5	2.02995699881911e-10
0	0	0 0 0	20 21 20	0	5 5.003125 5	-1.29674609473105e-11
0	0	0 0 0	20 22 20	0	5 5.00625 5	-6.37755239968821e-10
0	0	0 0 0	20 23 20	0	5 5.009375 5	2.56412323849268e-10
0	0	0 0 0	20 24 20	0	5 5.0125 5	2.90152705025207e-11
0	0	0 0 0	20 25 20	0	5 5.015625 5	3.54146750394936e-10
0	0	0 0 0	20 26 20	0	5 5.01875 5	-4.45173093343872e-10
0	0	0 0 0	20 27 20	0	5 5.021875 5	5.75960608735717e-10
0	0	0 0 0	20 28 20	0	5 5.025 5	6.37723430630475e-11
0	0	0 0 0	20 29 20	0	5 5.028125 5	-4.08205614153986e-10
0	0	0 0 0	20 30 20	0	5 5.03125 5	7.38901299306744e-11
0	0	0 0 0	20 31 20	0	5 5.034375 5	-3.20811678369334e-10
0	0	0 0 0	20 32 20	0	5 5.0375 5	3.32685972056389e-11
0	0	0 0 0	20 33 20	0	5 5.040625 5	7.28635182198804e-10
0	0	0 0 0	20 34 20	0	5 5.04375 5	-2.1968902960557e-10
0	0	0 0 0	20 35 20	0	5 5.046875 5	-9.82055058665227e-10
0	0	0 0 0	20 36 20	0	5 5.05 5	9.34129701467839e-10
0	0	0 0 0	20 37 20	0	5 5.053125 5	-5.27795928260986e-10
0	0	0 0 0	20 38 20	0	5 5.05625 5	7.6289762421896e-11
0	0	0 0 0	20 39 20	0	5 5.059375 5	2.20535566314464e-09
0	0	0 0 0	20 40 20	0	5 5.0625 5	2.20535566314464e-09


