# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:47:42+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunmid_One_BH_20.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	640 4 0	0	0 0 -0.0125	0 -7.02375131831029e-11 0
0	0	0 0 0	640 4 1	0	0 0 -0.009375	0 -7.02375131831029e-11 0
0	0	0 0 0	640 4 2	0	0 0 -0.00625	0 9.22181710334702e-17 -1.11435045324187e-22
0	0	0 0 0	640 4 3	0	0 0 -0.003125	0 3.19937049672158e-17 -5.57569043544934e-23
0	0	0 0 0	640 4 4	0	0 0 0	0 1.39392185220839e-22 -8.36353111325034e-23
0	0	0 0 0	640 4 5	0	0 0 0.003125	0 -3.19949755166367e-17 -5.57569043544934e-23
0	0	0 0 0	640 4 6	0	0 0 0.00625	0 -9.21334677387448e-17 -1.11435045324187e-22
0	0	0 0 0	640 4 7	0	0 0 0.009375	0 7.0237513184797e-11 0
0	0	0 0 0	640 4 8	0	0 0 0.0125	0 7.0237513184797e-11 0


