# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 30 2016 at 17:17:17+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_NoP_NoS/1bh_nop_nos/manybhfar_1bh_nop_nos_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	5 5 4.9375	3.62631308271563e-09
0	0	0 0 0	20 20 1	0	5 5 4.940625	3.62631308271563e-09
0	0	0 0 0	20 20 2	0	5 5 4.94375	-4.75448001715367e-10
0	0	0 0 0	20 20 3	0	5 5 4.946875	6.163125064549e-10
0	0	0 0 0	20 20 4	0	5 5 4.95	-3.23310553784935e-10
0	0	0 0 0	20 20 5	0	5 5 4.953125	-1.09489755478233e-10
0	0	0 0 0	20 20 6	0	5 5 4.95625	3.7388204056181e-10
0	0	0 0 0	20 20 7	0	5 5 4.959375	-2.90995778905526e-11
0	0	0 0 0	20 20 8	0	5 5 4.9625	-4.39087702178501e-10
0	0	0 0 0	20 20 9	0	5 5 4.965625	7.02856699165595e-10
0	0	0 0 0	20 20 10	0	5 5 4.96875	-1.3559177749773e-10
0	0	0 0 0	20 20 11	0	5 5 4.971875	5.05426509564248e-10
0	0	0 0 0	20 20 12	0	5 5 4.975	-2.96430086857077e-10
0	0	0 0 0	20 20 13	0	5 5 4.978125	-2.34710144115385e-10
0	0	0 0 0	20 20 14	0	5 5 4.98125	-3.30582677877077e-10
0	0	0 0 0	20 20 15	0	5 5 4.984375	1.60882908883074e-10
0	0	0 0 0	20 20 16	0	5 5 4.9875	-5.39309822928519e-11
0	0	0 0 0	20 20 17	0	5 5 4.990625	5.17660737517876e-10
0	0	0 0 0	20 20 18	0	5 5 4.99375	1.05754885317694e-10
0	0	0 0 0	20 20 19	0	5 5 4.996875	-6.31463631384221e-13
0	0	0 0 0	20 20 20	0	5 5 5	-7.88721323495556e-12
0	0	0 0 0	20 20 21	0	5 5 5.003125	1.49522735989546e-10
0	0	0 0 0	20 20 22	0	5 5 5.00625	3.33076526212381e-10
0	0	0 0 0	20 20 23	0	5 5 5.009375	4.7215744617031e-10
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.55827921529891e-10
0	0	0 0 0	20 20 25	0	5 5 5.015625	-7.41232146191442e-11
0	0	0 0 0	20 20 26	0	5 5 5.01875	5.28806773001343e-10
0	0	0 0 0	20 20 27	0	5 5 5.021875	3.96122795480978e-10
0	0	0 0 0	20 20 28	0	5 5 5.025	1.67473641291688e-12
0	0	0 0 0	20 20 29	0	5 5 5.028125	2.28375800475494e-10
0	0	0 0 0	20 20 30	0	5 5 5.03125	-1.62047510826602e-11
0	0	0 0 0	20 20 31	0	5 5 5.034375	-3.2606539657979e-10
0	0	0 0 0	20 20 32	0	5 5 5.0375	3.18633268641538e-10
0	0	0 0 0	20 20 33	0	5 5 5.040625	-4.7028531980145e-10
0	0	0 0 0	20 20 34	0	5 5 5.04375	7.13090375485149e-10
0	0	0 0 0	20 20 35	0	5 5 5.046875	-2.92847038719374e-10
0	0	0 0 0	20 20 36	0	5 5 5.05	1.91432648704269e-10
0	0	0 0 0	20 20 37	0	5 5 5.053125	2.5389381059799e-10
0	0	0 0 0	20 20 38	0	5 5 5.05625	1.64665132115598e-10
0	0	0 0 0	20 20 39	0	5 5 5.059375	2.65696428205196e-09
0	0	0 0 0	20 20 40	0	5 5 5.0625	2.65696428205196e-09


