# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 30 2016 at 17:14:38+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_NoP_NoS/1bh_nop_nos/twopunmid_1bh_nop_nos_30.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-1.36422505919165e-05
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-1.36422505919165e-05
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-6.07737471458591e-11
0	0	0 0 0	3 4 4	0	-1.990625 0 0	1.62266450276505e-10
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-5.02317631934091e-12
0	0	0 0 0	5 4 4	0	-1.984375 0 0	1.67248770388539e-10
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-2.23967511203682e-11
0	0	0 0 0	7 4 4	0	-1.978125 0 0	1.52666768116205e-11
0	0	0 0 0	8 4 4	0	-1.975 0 0	1.301545260457e-10
0	0	0 0 0	9 4 4	0	-1.971875 0 0	2.55706844587422e-11
0	0	0 0 0	10 4 4	0	-1.96875 0 0	1.44116801825689e-10
0	0	0 0 0	11 4 4	0	-1.965625 0 0	5.62230262346475e-11
0	0	0 0 0	12 4 4	0	-1.9625 0 0	5.28028454294116e-11
0	0	0 0 0	13 4 4	0	-1.959375 0 0	8.39565916788132e-11
0	0	0 0 0	14 4 4	0	-1.95625 0 0	2.01859640114321e-11
0	0	0 0 0	15 4 4	0	-1.953125 0 0	1.57907964482007e-10
0	0	0 0 0	16 4 4	0	-1.95 0 0	6.42128294980893e-11
0	0	0 0 0	17 4 4	0	-1.946875 0 0	-2.00506278247303e-11
0	0	0 0 0	18 4 4	0	-1.94375 0 0	-4.02604616311919e-11
0	0	0 0 0	19 4 4	0	-1.940625 0 0	1.01361780080467e-10
0	0	0 0 0	20 4 4	0	-1.9375 0 0	1.87885818014877e-10
0	0	0 0 0	21 4 4	0	-1.934375 0 0	1.53147244885687e-10
0	0	0 0 0	22 4 4	0	-1.93125 0 0	1.43933531759899e-10
0	0	0 0 0	23 4 4	0	-1.928125 0 0	-5.49635337243615e-11
0	0	0 0 0	24 4 4	0	-1.925 0 0	9.19628262430194e-12
0	0	0 0 0	25 4 4	0	-1.921875 0 0	1.03534764095414e-10
0	0	0 0 0	26 4 4	0	-1.91875 0 0	-3.78813647117227e-12
0	0	0 0 0	27 4 4	0	-1.915625 0 0	1.53245610645669e-10
0	0	0 0 0	28 4 4	0	-1.9125 0 0	5.57842660953156e-11
0	0	0 0 0	29 4 4	0	-1.909375 0 0	2.02539374161148e-11
0	0	0 0 0	30 4 4	0	-1.90625 0 0	-9.83124276432434e-11
0	0	0 0 0	31 4 4	0	-1.903125 0 0	2.00074248835058e-10
0	0	0 0 0	32 4 4	0	-1.9 0 0	6.12219441809003e-11
0	0	0 0 0	33 4 4	0	-1.896875 0 0	2.28711771743662e-11
0	0	0 0 0	34 4 4	0	-1.89375 0 0	9.57579987526103e-11
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-2.54976595392975e-12
0	0	0 0 0	36 4 4	0	-1.8875 0 0	1.06292780133188e-10
0	0	0 0 0	37 4 4	0	-1.884375 0 0	4.39933367513134e-11
0	0	0 0 0	38 4 4	0	-1.88125 0 0	-2.2644663921767e-12
0	0	0 0 0	39 4 4	0	-1.878125 0 0	5.73632807920887e-12
0	0	0 0 0	40 4 4	0	-1.875 0 0	2.09320061284046e-10
0	0	0 0 0	41 4 4	0	-1.871875 0 0	5.82366099788345e-11
0	0	0 0 0	42 4 4	0	-1.86875 0 0	6.1579047416771e-11
0	0	0 0 0	43 4 4	0	-1.865625 0 0	-2.51107606930034e-11
0	0	0 0 0	44 4 4	0	-1.8625 0 0	-8.15715134327988e-11
0	0	0 0 0	45 4 4	0	-1.859375 0 0	2.76596662240891e-11
0	0	0 0 0	46 4 4	0	-1.85625 0 0	1.50483028815707e-10
0	0	0 0 0	47 4 4	0	-1.853125 0 0	1.02139102731158e-10
0	0	0 0 0	48 4 4	0	-1.85 0 0	1.14181566979177e-10
0	0	0 0 0	49 4 4	0	-1.846875 0 0	-4.61123916828399e-11
0	0	0 0 0	50 4 4	0	-1.84375 0 0	1.91080540279387e-10
0	0	0 0 0	51 4 4	0	-1.840625 0 0	6.6425587252894e-11
0	0	0 0 0	52 4 4	0	-1.8375 0 0	9.06986985516056e-12
0	0	0 0 0	53 4 4	0	-1.834375 0 0	1.06297332047589e-10
0	0	0 0 0	54 4 4	0	-1.83125 0 0	8.64076032947025e-11
0	0	0 0 0	55 4 4	0	-1.828125 0 0	1.04831088254542e-10
0	0	0 0 0	56 4 4	0	-1.825 0 0	5.74231356909038e-11
0	0	0 0 0	57 4 4	0	-1.821875 0 0	4.04187100455644e-11
0	0	0 0 0	58 4 4	0	-1.81875 0 0	6.57765231171226e-11
0	0	0 0 0	59 4 4	0	-1.815625 0 0	-5.97084881537313e-11
0	0	0 0 0	60 4 4	0	-1.8125 0 0	8.144679375377e-11
0	0	0 0 0	61 4 4	0	-1.809375 0 0	8.45135766924798e-11
0	0	0 0 0	62 4 4	0	-1.80625 0 0	1.18712942254184e-10
0	0	0 0 0	63 4 4	0	-1.803125 0 0	6.97426977280813e-11
0	0	0 0 0	64 4 4	0	-1.8 0 0	1.20499429878684e-10
0	0	0 0 0	65 4 4	0	-1.796875 0 0	3.03255184852524e-10
0	0	0 0 0	66 4 4	0	-1.79375 0 0	-1.4322734664951e-10
0	0	0 0 0	67 4 4	0	-1.790625 0 0	6.88409051985417e-11
0	0	0 0 0	68 4 4	0	-1.7875 0 0	2.05593472801802e-10
0	0	0 0 0	69 4 4	0	-1.784375 0 0	5.28873472793734e-11
0	0	0 0 0	70 4 4	0	-1.78125 0 0	1.34566038867412e-10
0	0	0 0 0	71 4 4	0	-1.778125 0 0	-8.14465161980138e-12
0	0	0 0 0	72 4 4	0	-1.775 0 0	5.7557583699186e-11
0	0	0 0 0	73 4 4	0	-1.771875 0 0	2.38983610678645e-10
0	0	0 0 0	74 4 4	0	-1.76875 0 0	8.7579041241348e-11
0	0	0 0 0	75 4 4	0	-1.765625 0 0	5.45428979759066e-12
0	0	0 0 0	76 4 4	0	-1.7625 0 0	-1.16548437567587e-11
0	0	0 0 0	77 4 4	0	-1.759375 0 0	3.34231253784623e-12
0	0	0 0 0	78 4 4	0	-1.75625 0 0	-5.12767744931253e-11
0	0	0 0 0	79 4 4	0	-1.753125 0 0	5.83715992208411e-11
0	0	0 0 0	80 4 4	0	-1.75 0 0	-5.6626064948162e-11
0	0	0 0 0	81 4 4	0	-1.746875 0 0	1.46277365220548e-10
0	0	0 0 0	82 4 4	0	-1.74375 0 0	-4.49158626958379e-11
0	0	0 0 0	83 4 4	0	-1.740625 0 0	-2.29428143150301e-11
0	0	0 0 0	84 4 4	0	-1.7375 0 0	1.03121164385378e-10
0	0	0 0 0	85 4 4	0	-1.734375 0 0	-3.76024350545734e-11
0	0	0 0 0	86 4 4	0	-1.73125 0 0	2.25425234035015e-11
0	0	0 0 0	87 4 4	0	-1.728125 0 0	-1.10710829392957e-10
0	0	0 0 0	88 4 4	0	-1.725 0 0	3.12638137600629e-10
