# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 05 2016 at 00:49:56+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.0_NoS/1bh_p0.0_nos/manybhmid_1bh_p0.0_nos_40x41x49.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	640 4 0	0	0 0 -0.0125	-nan -nan -nan
0	0	0 0 0	640 4 1	0	0 0 -0.009375	-nan -nan -nan
0	0	0 0 0	640 4 2	0	0 0 -0.00625	-nan -nan -nan
0	0	0 0 0	640 4 3	0	0 0 -0.003125	-nan -nan -nan
0	0	0 0 0	640 4 4	0	0 0 0	-nan -nan -nan
0	0	0 0 0	640 4 5	0	0 0 0.003125	-nan -nan -nan
0	0	0 0 0	640 4 6	0	0 0 0.00625	-nan -nan -nan
0	0	0 0 0	640 4 7	0	0 0 0.009375	-nan -nan -nan
0	0	0 0 0	640 4 8	0	0 0 0.0125	-nan -nan -nan


# iteration 1   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
1	0	0 0 0	640 4 0	0.00078125	0 0 -0.0125	-nan -nan -nan
1	0	0 0 0	640 4 1	0.00078125	0 0 -0.009375	-nan -nan -nan
1	0	0 0 0	640 4 2	0.00078125	0 0 -0.00625	-nan -nan -nan
1	0	0 0 0	640 4 3	0.00078125	0 0 -0.003125	-nan -nan -nan
1	0	0 0 0	640 4 4	0.00078125	0 0 0	-nan -nan -nan
1	0	0 0 0	640 4 5	0.00078125	0 0 0.003125	-nan -nan -nan
1	0	0 0 0	640 4 6	0.00078125	0 0 0.00625	-nan -nan -nan
1	0	0 0 0	640 4 7	0.00078125	0 0 0.009375	-nan -nan -nan
1	0	0 0 0	640 4 8	0.00078125	0 0 0.0125	-nan -nan -nan


# iteration 2   time 0.0015625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
2	0	0 0 0	640 4 0	0.0015625	0 0 -0.0125	-nan -nan -nan
2	0	0 0 0	640 4 1	0.0015625	0 0 -0.009375	-nan -nan -nan
2	0	0 0 0	640 4 2	0.0015625	0 0 -0.00625	-nan -nan -nan
2	0	0 0 0	640 4 3	0.0015625	0 0 -0.003125	-nan -nan -nan
2	0	0 0 0	640 4 4	0.0015625	0 0 0	-nan -nan -nan
2	0	0 0 0	640 4 5	0.0015625	0 0 0.003125	-nan -nan -nan
2	0	0 0 0	640 4 6	0.0015625	0 0 0.00625	-nan -nan -nan
2	0	0 0 0	640 4 7	0.0015625	0 0 0.009375	-nan -nan -nan
2	0	0 0 0	640 4 8	0.0015625	0 0 0.0125	-nan -nan -nan


# iteration 3   time 0.00234375
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
3	0	0 0 0	640 4 0	0.00234375	0 0 -0.0125	-nan -nan -nan
3	0	0 0 0	640 4 1	0.00234375	0 0 -0.009375	-nan -nan -nan
3	0	0 0 0	640 4 2	0.00234375	0 0 -0.00625	-nan -nan -nan
3	0	0 0 0	640 4 3	0.00234375	0 0 -0.003125	-nan -nan -nan
3	0	0 0 0	640 4 4	0.00234375	0 0 0	-nan -nan -nan
3	0	0 0 0	640 4 5	0.00234375	0 0 0.003125	-nan -nan -nan
3	0	0 0 0	640 4 6	0.00234375	0 0 0.00625	-nan -nan -nan
3	0	0 0 0	640 4 7	0.00234375	0 0 0.009375	-nan -nan -nan
3	0	0 0 0	640 4 8	0.00234375	0 0 0.0125	-nan -nan -nan


# iteration 4   time 0.003125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
4	0	0 0 0	640 4 0	0.003125	0 0 -0.0125	-nan -nan -nan
4	0	0 0 0	640 4 1	0.003125	0 0 -0.009375	-nan -nan -nan
4	0	0 0 0	640 4 2	0.003125	0 0 -0.00625	-nan -nan -nan
4	0	0 0 0	640 4 3	0.003125	0 0 -0.003125	-nan -nan -nan
4	0	0 0 0	640 4 4	0.003125	0 0 0	-nan -nan -nan
4	0	0 0 0	640 4 5	0.003125	0 0 0.003125	-nan -nan -nan
4	0	0 0 0	640 4 6	0.003125	0 0 0.00625	-nan -nan -nan
4	0	0 0 0	640 4 7	0.003125	0 0 0.009375	-nan -nan -nan
4	0	0 0 0	640 4 8	0.003125	0 0 0.0125	-nan -nan -nan


# iteration 5   time 0.00390625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
5	0	0 0 0	640 4 0	0.00390625	0 0 -0.0125	-nan -nan -nan
5	0	0 0 0	640 4 1	0.00390625	0 0 -0.009375	-nan -nan -nan
5	0	0 0 0	640 4 2	0.00390625	0 0 -0.00625	-nan -nan -nan
5	0	0 0 0	640 4 3	0.00390625	0 0 -0.003125	-nan -nan -nan
5	0	0 0 0	640 4 4	0.00390625	0 0 0	-nan -nan -nan
5	0	0 0 0	640 4 5	0.00390625	0 0 0.003125	-nan -nan -nan
5	0	0 0 0	640 4 6	0.00390625	0 0 0.00625	-nan -nan -nan
5	0	0 0 0	640 4 7	0.00390625	0 0 0.009375	-nan -nan -nan
5	0	0 0 0	640 4 8	0.00390625	0 0 0.0125	-nan -nan -nan


