# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 05:47:33+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.0_NoS/1bh_p0.0_nos/twopunfar_1bh_p0.0_nos_40.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.54779125366688 0 0 1.54779125366688 0 1.54779125366688
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.54764599301668 0 0 1.54764599301668 0 1.54764599301668
0	0	0 0 0	20 20 2	0	5 5 4.94375	1.54750076040465 0 0 1.54750076040465 0 1.54750076040465
0	0	0 0 0	20 20 3	0	5 5 4.946875	1.54735555588716 0 0 1.54735555588716 0 1.54735555588716
0	0	0 0 0	20 20 4	0	5 5 4.95	1.54721037952041 0 0 1.54721037952041 0 1.54721037952041
0	0	0 0 0	20 20 5	0	5 5 4.953125	1.54706523136042 0 0 1.54706523136042 0 1.54706523136042
0	0	0 0 0	20 20 6	0	5 5 4.95625	1.5469201114631 0 0 1.5469201114631 0 1.5469201114631
0	0	0 0 0	20 20 7	0	5 5 4.959375	1.54677501988418 0 0 1.54677501988418 0 1.54677501988418
0	0	0 0 0	20 20 8	0	5 5 4.9625	1.54662995667922 0 0 1.54662995667922 0 1.54662995667922
0	0	0 0 0	20 20 9	0	5 5 4.965625	1.54648492190366 0 0 1.54648492190366 0 1.54648492190366
0	0	0 0 0	20 20 10	0	5 5 4.96875	1.54633991561275 0 0 1.54633991561275 0 1.54633991561275
0	0	0 0 0	20 20 11	0	5 5 4.971875	1.54619493786162 0 0 1.54619493786162 0 1.54619493786162
0	0	0 0 0	20 20 12	0	5 5 4.975	1.54604998870521 0 0 1.54604998870521 0 1.54604998870521
0	0	0 0 0	20 20 13	0	5 5 4.978125	1.54590506819834 0 0 1.54590506819834 0 1.54590506819834
0	0	0 0 0	20 20 14	0	5 5 4.98125	1.54576017639566 0 0 1.54576017639566 0 1.54576017639566
0	0	0 0 0	20 20 15	0	5 5 4.984375	1.54561531335166 0 0 1.54561531335166 0 1.54561531335166
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.54547047912069 0 0 1.54547047912069 0 1.54547047912069
0	0	0 0 0	20 20 17	0	5 5 4.990625	1.54532567375694 0 0 1.54532567375694 0 1.54532567375694
0	0	0 0 0	20 20 18	0	5 5 4.99375	1.54518089731444 0 0 1.54518089731444 0 1.54518089731444
0	0	0 0 0	20 20 19	0	5 5 4.996875	1.5450361498471 0 0 1.5450361498471 0 1.5450361498471
0	0	0 0 0	20 20 20	0	5 5 5	1.54489143140864 0 0 1.54489143140864 0 1.54489143140864
0	0	0 0 0	20 20 21	0	5 5 5.003125	1.54474674205264 0 0 1.54474674205264 0 1.54474674205264
0	0	0 0 0	20 20 22	0	5 5 5.00625	1.54460208183253 0 0 1.54460208183253 0 1.54460208183253
0	0	0 0 0	20 20 23	0	5 5 5.009375	1.54445745080161 0 0 1.54445745080161 0 1.54445745080161
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.54431284901298 0 0 1.54431284901298 0 1.54431284901298
0	0	0 0 0	20 20 25	0	5 5 5.015625	1.54416827651965 0 0 1.54416827651965 0 1.54416827651965
0	0	0 0 0	20 20 26	0	5 5 5.01875	1.54402373337442 0 0 1.54402373337442 0 1.54402373337442
0	0	0 0 0	20 20 27	0	5 5 5.021875	1.54387921962999 0 0 1.54387921962999 0 1.54387921962999
0	0	0 0 0	20 20 28	0	5 5 5.025	1.54373473533887 0 0 1.54373473533887 0 1.54373473533887
0	0	0 0 0	20 20 29	0	5 5 5.028125	1.54359028055344 0 0 1.54359028055344 0 1.54359028055344
0	0	0 0 0	20 20 30	0	5 5 5.03125	1.54344585532594 0 0 1.54344585532594 0 1.54344585532594
0	0	0 0 0	20 20 31	0	5 5 5.034375	1.54330145970844 0 0 1.54330145970844 0 1.54330145970844
0	0	0 0 0	20 20 32	0	5 5 5.0375	1.54315709375288 0 0 1.54315709375288 0 1.54315709375288
0	0	0 0 0	20 20 33	0	5 5 5.040625	1.54301275751102 0 0 1.54301275751102 0 1.54301275751102
0	0	0 0 0	20 20 34	0	5 5 5.04375	1.54286845103451 0 0 1.54286845103451 0 1.54286845103451
0	0	0 0 0	20 20 35	0	5 5 5.046875	1.54272417437484 0 0 1.54272417437484 0 1.54272417437484
0	0	0 0 0	20 20 36	0	5 5 5.05	1.54257992758333 0 0 1.54257992758333 0 1.54257992758333
0	0	0 0 0	20 20 37	0	5 5 5.053125	1.54243571071117 0 0 1.54243571071117 0 1.54243571071117
0	0	0 0 0	20 20 38	0	5 5 5.05625	1.54229152380941 0 0 1.54229152380941 0 1.54229152380941
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.54214736692894 0 0 1.54214736692894 0 1.54214736692894
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.54200324012051 0 0 1.54200324012051 0 1.54200324012051


