# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 05 2016 at 00:55:59+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.1_NoS/1bh_p0.1_nos/manybhfar_1bh_p0.1_nos_12x13x17.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 1	0	5 5 4.940625	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 2	0	5 5 4.94375	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 3	0	5 5 4.946875	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 4	0	5 5 4.95	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 5	0	5 5 4.953125	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 6	0	5 5 4.95625	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 7	0	5 5 4.959375	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 8	0	5 5 4.9625	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 9	0	5 5 4.965625	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 10	0	5 5 4.96875	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 11	0	5 5 4.971875	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 12	0	5 5 4.975	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 13	0	5 5 4.978125	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 14	0	5 5 4.98125	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 15	0	5 5 4.984375	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 16	0	5 5 4.9875	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 17	0	5 5 4.990625	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 18	0	5 5 4.99375	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 19	0	5 5 4.996875	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 20	0	5 5 5	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 21	0	5 5 5.003125	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 22	0	5 5 5.00625	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 23	0	5 5 5.009375	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 24	0	5 5 5.0125	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 25	0	5 5 5.015625	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 26	0	5 5 5.01875	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 27	0	5 5 5.021875	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 28	0	5 5 5.025	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 29	0	5 5 5.028125	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 30	0	5 5 5.03125	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 31	0	5 5 5.034375	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 32	0	5 5 5.0375	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 33	0	5 5 5.040625	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 34	0	5 5 5.04375	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 35	0	5 5 5.046875	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 36	0	5 5 5.05	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 37	0	5 5 5.053125	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 38	0	5 5 5.05625	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 39	0	5 5 5.059375	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	20 20 40	0	5 5 5.0625	-nan -nan -nan -nan -nan -nan


