# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:20:26+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.1_NoS/1bh_p0.1_nos/twopunfar_1bh_p0.1_nos_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	5 5 4.9375	2.4358160184743e-09
0	0	0 0 0	20 20 1	0	5 5 4.940625	2.4358160184743e-09
0	0	0 0 0	20 20 2	0	5 5 4.94375	9.83964024655785e-10
0	0	0 0 0	20 20 3	0	5 5 4.946875	-4.91920994363055e-12
0	0	0 0 0	20 20 4	0	5 5 4.95	1.54261403896744e-09
0	0	0 0 0	20 20 5	0	5 5 4.953125	-3.92377816383707e-10
0	0	0 0 0	20 20 6	0	5 5 4.95625	1.27001908853196e-09
0	0	0 0 0	20 20 7	0	5 5 4.959375	3.06789986986275e-10
0	0	0 0 0	20 20 8	0	5 5 4.9625	3.08842867094409e-10
0	0	0 0 0	20 20 9	0	5 5 4.965625	6.17533162150494e-10
0	0	0 0 0	20 20 10	0	5 5 4.96875	8.27037475422428e-10
0	0	0 0 0	20 20 11	0	5 5 4.971875	3.2852470237618e-10
0	0	0 0 0	20 20 12	0	5 5 4.975	1.04521348726679e-09
0	0	0 0 0	20 20 13	0	5 5 4.978125	8.99712065083552e-10
0	0	0 0 0	20 20 14	0	5 5 4.98125	1.10658575135924e-09
0	0	0 0 0	20 20 15	0	5 5 4.984375	2.45921731944508e-10
0	0	0 0 0	20 20 16	0	5 5 4.9875	9.51776795982327e-10
0	0	0 0 0	20 20 17	0	5 5 4.990625	9.42698016057151e-10
0	0	0 0 0	20 20 18	0	5 5 4.99375	4.70669379677908e-10
0	0	0 0 0	20 20 19	0	5 5 4.996875	9.22450767707654e-11
0	0	0 0 0	20 20 20	0	5 5 5	9.73077599342864e-10
0	0	0 0 0	20 20 21	0	5 5 5.003125	7.79038043847126e-10
0	0	0 0 0	20 20 22	0	5 5 5.00625	6.65352465446662e-11
0	0	0 0 0	20 20 23	0	5 5 5.009375	5.59894604635026e-10
0	0	0 0 0	20 20 24	0	5 5 5.0125	9.38864740359963e-10
0	0	0 0 0	20 20 25	0	5 5 5.015625	4.4059735881228e-10
0	0	0 0 0	20 20 26	0	5 5 5.01875	3.83917561599813e-10
0	0	0 0 0	20 20 27	0	5 5 5.021875	1.1235177379414e-09
0	0	0 0 0	20 20 28	0	5 5 5.025	1.1864078127277e-10
0	0	0 0 0	20 20 29	0	5 5 5.028125	5.68305761221049e-10
0	0	0 0 0	20 20 30	0	5 5 5.03125	8.45961020370531e-10
0	0	0 0 0	20 20 31	0	5 5 5.034375	1.37126788399213e-10
0	0	0 0 0	20 20 32	0	5 5 5.0375	9.82038900996497e-10
0	0	0 0 0	20 20 33	0	5 5 5.040625	7.36426240916973e-10
0	0	0 0 0	20 20 34	0	5 5 5.04375	9.24187647110334e-10
0	0	0 0 0	20 20 35	0	5 5 5.046875	4.76281802266486e-10
0	0	0 0 0	20 20 36	0	5 5 5.05	8.66657137712235e-10
0	0	0 0 0	20 20 37	0	5 5 5.053125	3.13582710325381e-10
0	0	0 0 0	20 20 38	0	5 5 5.05625	8.51271980613659e-10
0	0	0 0 0	20 20 39	0	5 5 5.059375	2.60642987082961e-09
0	0	0 0 0	20 20 40	0	5 5 5.0625	2.60642987082961e-09


