# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:19:31+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.1_NoS/1bh_p0.1_nos/twopunmid_1bh_p0.1_nos_40.par"
#
# ADMBASE::CURV y (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	640 0 4	0	0 -0.0125 0	-0.0187371455873842 -7.80714399474343e-05 0 0.00936849146998144 0 0.00936865411740279
0	0	0 0 0	640 1 4	0	0 -0.009375 0	-0.0187373946197426 -5.85543581866955e-05 0 0.00936865156450232 0 0.00936874305524025
0	0	0 0 0	640 2 4	0	0 -0.00625 0	-0.0187375725032869 -3.90366093818478e-05 0 0.00936876592012021 0 0.00936880658316673
0	0	0 0 0	640 3 4	0	0 -0.003125 0	-0.0187376792347308 -1.95184158695112e-05 0 0.00936883453444734 0 0.00936884470028342
0	0	0 0 0	640 4 4	0	0 0 0	-0.018737714812103 0 0 0.00936885740605149 0 0.00936885740605149
0	0	0 0 0	640 5 4	0	0 0.003125 0	-0.0187376792347308 1.95184158695112e-05 0 0.00936883453444734 0 0.00936884470028342
0	0	0 0 0	640 6 4	0	0 0.00625 0	-0.0187375725032869 3.90366093818478e-05 0 0.00936876592012021 0 0.00936880658316673
0	0	0 0 0	640 7 4	0	0 0.009375 0	-0.0187373946197426 5.85543581866955e-05 0 0.00936865156450232 0 0.00936874305524025
0	0	0 0 0	640 8 4	0	0 0.0125 0	-0.0187371455873842 7.80714399474343e-05 0 0.00936849146998144 0 0.00936865411740279


