# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:28:20+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/twopunfar_1bh_p0.3_nos_20.par"
#
# ADMBASE::CURV y (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 0 20	0	5 4.9375 5	0.00198663849689867 0.00490451378921858 0.00496659624224666 -0.00100407135958715 0.000854759023786478 -0.000982567137311512
0	0	0 0 0	20 1 20	0	5 4.940625 5	0.001984931125436 0.00490340017080362 0.00496232781359 -0.0010026690096935 0.00085410544414085 -0.000982262115742505
0	0	0 0 0	20 2 20	0	5 4.94375 5	0.00198322515709358 0.00490228468519068 0.00495806289273394 -0.00100126853500744 0.000853451951714313 -0.000981956622086138
0	0	0 0 0	20 3 20	0	5 4.946875 5	0.00198152059149136 0.00490116733801691 0.0049538014787284 -0.000999869933741485 0.000852798548013347 -0.000981650657749876
0	0	0 0 0	20 4 20	0	5 4.95 5	0.00197981742824646 0.00490004813491 0.00494954357061616 -0.000998473204106734 0.000852145234539368 -0.00098134422413973
0	0	0 0 0	20 5 20	0	5 4.953125 5	0.00197811566697314 0.00489892708148816 0.00494528916743285 -0.000997078344312868 0.000851492012788736 -0.000981037322660272
0	0	0 0 0	20 6 20	0	5 4.95625 5	0.0019764153072828 0.00489780418336018 0.00494103826820699 -0.000995685352568181 0.000850838884252767 -0.000980729954714614
0	0	0 0 0	20 7 20	0	5 4.959375 5	0.00197471634878401 0.00489667944612535 0.00493679087196003 -0.000994294227079596 0.000850185850417736 -0.000980422121704416
0	0	0 0 0	20 8 20	0	5 4.9625 5	0.00197301879108254 0.00489555287537356 0.00493254697770636 -0.000992904966052672 0.000849532912764894 -0.00098011382502987
0	0	0 0 0	20 9 20	0	5 4.965625 5	0.00197132263378133 0.00489442447668522 0.00492830658445333 -0.000991517567691626 0.00084888007277047 -0.000979805066089708
0	0	0 0 0	20 10 20	0	5 4.96875 5	0.00196962787648053 0.00489329425563132 0.00492406969120133 -0.000990132030199344 0.000848227331905689 -0.000979495846281188
0	0	0 0 0	20 11 20	0	5 4.971875 5	0.00196793451877749 0.00489216221777343 0.00491983629694373 -0.000988748351777401 0.00084757469163677 -0.000979186167000093
0	0	0 0 0	20 12 20	0	5 4.975 5	0.0019662425602668 0.00489102836866365 0.00491560640066699 -0.000987366530626068 0.000846922153424946 -0.000978876029640727
0	0	0 0 0	20 13 20	0	5 4.978125 5	0.00196455200054025 0.00488989271384472 0.00491138000135063 -0.000985986564944336 0.000846269718726469 -0.000978565435595915
0	0	0 0 0	20 14 20	0	5 4.98125 5	0.00196286283918691 0.0048887552588499 0.00490715709796728 -0.000984608452929923 0.000845617388992618 -0.000978254386256988
0	0	0 0 0	20 15 20	0	5 4.984375 5	0.00196117507579309 0.00488761600920309 0.00490293768948272 -0.000983232192779298 0.000844965165669709 -0.000977942883013791
0	0	0 0 0	20 16 20	0	5 4.9875 5	0.00195948870994235 0.00488647497041874 0.00489872177485588 -0.000981857782687684 0.000844313050199107 -0.000977630927254669
0	0	0 0 0	20 17 20	0	5 4.990625 5	0.00195780374121556 0.00488533214800194 0.00489450935303889 -0.000980485220849084 0.000843661044017235 -0.000977318520366472
0	0	0 0 0	20 18 20	0	5 4.99375 5	0.00195612016919083 0.00488418754744836 0.00489030042297708 -0.000979114505456288 0.000843009148555576 -0.000977005663734542
0	0	0 0 0	20 19 20	0	5 4.996875 5	0.00195443799344361 0.00488304117424427 0.00488609498360903 -0.000977745634700896 0.000842357365240696 -0.000976692358742717
0	0	0 0 0	20 20 20	0	5 5 5	0.00195275721354664 0.00488189303386659 0.00488189303386659 -0.000976378606773318 0.00084170569549424 -0.000976378606773318
0	0	0 0 0	20 21 20	0	5 5.003125 5	0.00195107782906996 0.00488074313178283 0.0048776945726749 -0.000975013419862807 0.000841054140732949 -0.000976064409207156
0	0	0 0 0	20 22 20	0	5 5.00625 5	0.00194939983958098 0.00487959147345113 0.00487349959895244 -0.000973650072157457 0.000840402702368667 -0.000975749767423519
0	0	0 0 0	20 23 20	0	5 5.009375 5	0.0019477232446444 0.00487843806432028 0.004869308111611 -0.000972288561844231 0.000839751381808352 -0.000975434682800172
0	0	0 0 0	20 24 20	0	5 5.0125 5	0.00194604804382232 0.00487728290982968 0.00486512010955579 -0.000970928887108965 0.000839100180454084 -0.000975119156713352
0	0	0 0 0	20 25 20	0	5 5.015625 5	0.00194437423667416 0.00487612601540941 0.00486093559168539 -0.000969571046136389 0.000838449099703073 -0.000974803190537768
0	0	0 0 0	20 26 20	0	5 5.01875 5	0.00194270182275673 0.00487496738648016 0.00485675455689181 -0.000968215037110136 0.000837798140947672 -0.000974486785646589
0	0	0 0 0	20 27 20	0	5 5.021875 5	0.00194103080162421 0.00487380702845329 0.00485257700406053 -0.000966860858212762 0.000837147305575382 -0.000974169943411448
0	0	0 0 0	20 28 20	0	5 5.025 5	0.00193936117282819 0.00487264494673083 0.00484840293207048 -0.000965508507625757 0.000836496594968867 -0.000973852665202436
0	0	0 0 0	20 29 20	0	5 5.028125 5	0.00193769293591765 0.00487148114670547 0.00484423233979413 -0.000964157983529556 0.000835846010505957 -0.000973534952388095
0	0	0 0 0	20 30 20	0	5 5.03125 5	0.00193602609043898 0.00487031563376056 0.00484006522609745 -0.000962809284103561 0.000835195553559662 -0.000973216806335418
0	0	0 0 0	20 31 20	0	5 5.034375 5	0.00193436063593599 0.00486914841327014 0.00483590158983999 -0.000961462407526148 0.000834545225498181 -0.000972898228409847
0	0	0 0 0	20 32 20	0	5 5.0375 5	0.00193269657194994 0.00486797949059892 0.00483174142987486 -0.000960117351974684 0.000833895027684909 -0.00097257921997526
