# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:27:25+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/twopunmid_1bh_p0.3_nos_40.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	640 4 0	0	0 0 -0.0125	-0.0559241849108818 0 -0.000233017437128674 0.0279623351798309 0 0.0279618497310509
0	0	0 0 0	640 4 1	0	0 0 -0.009375	-0.0559249276887366 0 -0.000174765399027302 0.0279626003791696 0 0.027962327309567
0	0	0 0 0	640 4 2	0	0 0 -0.00625	-0.0559254582541633 0 -0.00011651137136284 0.0279627898099559 0 0.0279626684442074
0	0	0 0 0	640 4 3	0	0 0 -0.003125	-0.0559257765973949 0 -5.8256017288953e-05 0.0279629034695271 0 0.0279628731278678
0	0	0 0 0	640 4 4	0	0 0 0	-0.0559258827125971 0 0 0.0279629413562986 0 0.0279629413562986
0	0	0 0 0	640 4 5	0	0 0 0.003125	-0.0559257765973949 0 5.8256017288953e-05 0.0279629034695271 0 0.0279628731278678
0	0	0 0 0	640 4 6	0	0 0 0.00625	-0.0559254582541633 0 0.00011651137136284 0.0279627898099559 0 0.0279626684442074
0	0	0 0 0	640 4 7	0	0 0 0.009375	-0.0559249276887366 0 0.000174765399027302 0.0279626003791696 0 0.027962327309567
0	0	0 0 0	640 4 8	0	0 0 0.0125	-0.0559241849108818 0 0.000233017437128674 0.0279623351798309 0 0.0279618497310509


