# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:27:25+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/twopunmid_1bh_p0.3_nos_40.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 4 4	0	-2 0 0	2.49338871293366e-08 0 0
0	0	0 0 0	1 4 4	0	-1.996875 0 0	2.49338871293366e-08 0 0
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-1.62612462103368e-12 0 0
0	0	0 0 0	3 4 4	0	-1.990625 0 0	-1.60454322185823e-12 0 0
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-1.58317664574364e-12 0 0
0	0	0 0 0	5 4 4	0	-1.984375 0 0	-1.56216407079108e-12 0 0
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-1.54154607273411e-12 0 0
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-1.52125578475073e-12 0 0
0	0	0 0 0	8 4 4	0	-1.975 0 0	-1.50141315211767e-12 0 0
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-1.48164629370872e-12 0 0
0	0	0 0 0	10 4 4	0	-1.96875 0 0	-1.46237086221151e-12 0 0
0	0	0 0 0	11 4 4	0	-1.965625 0 0	-1.44320983973619e-12 0 0
0	0	0 0 0	12 4 4	0	-1.9625 0 0	-1.42421904157658e-12 0 0
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-1.4058292187952e-12 0 0
0	0	0 0 0	14 4 4	0	-1.95625 0 0	-1.38754571299212e-12 0 0
0	0	0 0 0	15 4 4	0	-1.953125 0 0	-1.36955002740387e-12 0 0
0	0	0 0 0	16 4 4	0	-1.95 0 0	-1.35176549229082e-12 0 0
0	0	0 0 0	17 4 4	0	-1.946875 0 0	-1.33431825179867e-12 0 0
0	0	0 0 0	18 4 4	0	-1.94375 0 0	-1.31718471202534e-12 0 0
0	0	0 0 0	19 4 4	0	-1.940625 0 0	-1.30029135922532e-12 0 0
0	0	0 0 0	20 4 4	0	-1.9375 0 0	-1.28332370554697e-12 0 0
0	0	0 0 0	21 4 4	0	-1.934375 0 0	-1.26674850611917e-12 0 0
0	0	0 0 0	22 4 4	0	-1.93125 0 0	-1.25110576420337e-12 0 0
0	0	0 0 0	23 4 4	0	-1.928125 0 0	-1.23499900902144e-12 0 0
0	0	0 0 0	24 4 4	0	-1.925 0 0	-1.21900372352914e-12 0 0
0	0	0 0 0	25 4 4	0	-1.921875 0 0	-1.20355434980674e-12 0 0
0	0	0 0 0	26 4 4	0	-1.91875 0 0	-1.18827224669473e-12 0 0
0	0	0 0 0	27 4 4	0	-1.915625 0 0	-1.17335250363866e-12 0 0
0	0	0 0 0	28 4 4	0	-1.9125 0 0	-1.15838771055206e-12 0 0
0	0	0 0 0	29 4 4	0	-1.909375 0 0	-1.14355170089397e-12 0 0
0	0	0 0 0	30 4 4	0	-1.90625 0 0	-1.12940715372459e-12 0 0
0	0	0 0 0	31 4 4	0	-1.903125 0 0	-1.11508526370501e-12 0 0
0	0	0 0 0	32 4 4	0	-1.9 0 0	-1.10120088728568e-12 0 0
0	0	0 0 0	33 4 4	0	-1.896875 0 0	-1.087603624501e-12 0 0
0	0	0 0 0	34 4 4	0	-1.89375 0 0	-1.07351807230093e-12 0 0
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-1.0601767963329e-12 0 0
0	0	0 0 0	36 4 4	0	-1.8875 0 0	-1.04694279368357e-12 0 0
0	0	0 0 0	37 4 4	0	-1.884375 0 0	-1.03415992998795e-12 0 0
0	0	0 0 0	38 4 4	0	-1.88125 0 0	-1.02155087208276e-12 0 0
0	0	0 0 0	39 4 4	0	-1.878125 0 0	-1.0084210421936e-12 0 0
0	0	0 0 0	40 4 4	0	-1.875 0 0	-9.96039726073816e-13 0 0
0	0	0 0 0	41 4 4	0	-1.871875 0 0	-9.83656588023245e-13 0 0
0	0	0 0 0	42 4 4	0	-1.86875 0 0	-9.71626799549178e-13 0 0
0	0	0 0 0	43 4 4	0	-1.865625 0 0	-9.59762306124275e-13 0 0
0	0	0 0 0	44 4 4	0	-1.8625 0 0	-9.47768055655108e-13 0 0
0	0	0 0 0	45 4 4	0	-1.859375 0 0	-9.3630886441609e-13 0 0
0	0	0 0 0	46 4 4	0	-1.85625 0 0	-9.24817436990545e-13 0 0
0	0	0 0 0	47 4 4	0	-1.853125 0 0	-9.13575191491415e-13 0 0
0	0	0 0 0	48 4 4	0	-1.85 0 0	-9.02426454004903e-13 -1.00830572757275e-16 -1.00830572757275e-16
0	0	0 0 0	49 4 4	0	-1.846875 0 0	-8.91202584257101e-13 0 0
0	0	0 0 0	50 4 4	0	-1.84375 0 0	-8.80398240245256e-13 0 0
0	0	0 0 0	51 4 4	0	-1.840625 0 0	-8.69857126639718e-13 0 0
0	0	0 0 0	52 4 4	0	-1.8375 0 0	-8.59307718757426e-13 0 0
0	0	0 0 0	53 4 4	0	-1.834375 0 0	-8.49048869117248e-13 0 0
0	0	0 0 0	54 4 4	0	-1.83125 0 0	-8.38532014794812e-13 0 0
0	0	0 0 0	55 4 4	0	-1.828125 0 0	-8.28325690722617e-13 0 0
0	0	0 0 0	56 4 4	0	-1.825 0 0	-8.18503317423873e-13 0 0
0	0	0 0 0	57 4 4	0	-1.821875 0 0	-8.09025363361353e-13 0 0
0	0	0 0 0	58 4 4	0	-1.81875 0 0	-7.99292432959895e-13 0 0
0	0	0 0 0	59 4 4	0	-1.815625 0 0	-7.89327997784956e-13 0 0
0	0	0 0 0	60 4 4	0	-1.8125 0 0	-7.8006984133896e-13 0 0
0	0	0 0 0	61 4 4	0	-1.809375 0 0	-7.70748526315453e-13 0 0
0	0	0 0 0	62 4 4	0	-1.80625 0 0	-7.6162238519613e-13 0 0
0	0	0 0 0	63 4 4	0	-1.803125 0 0	-7.52648154306899e-13 0 0
0	0	0 0 0	64 4 4	0	-1.8 0 0	-7.43422155175452e-13 0 0
0	0	0 0 0	65 4 4	0	-1.796875 0 0	-7.34713905361919e-13 0 0
0	0	0 0 0	66 4 4	0	-1.79375 0 0	-7.26205896366314e-13 0 0
0	0	0 0 0	67 4 4	0	-1.790625 0 0	-7.17536310753112e-13 0 0
0	0	0 0 0	68 4 4	0	-1.7875 0 0	-7.0920427378227e-13 -1.94955618653016e-18 0
0	0	0 0 0	69 4 4	0	-1.784375 0 0	-7.00725104091065e-13 0 0
0	0	0 0 0	70 4 4	0	-1.78125 0 0	-6.92523451608909e-13 0 0
0	0	0 0 0	71 4 4	0	-1.778125 0 0	-6.84307007242234e-13 0 0
0	0	0 0 0	72 4 4	0	-1.775 0 0	-6.76477987195298e-13 0 0
0	0	0 0 0	73 4 4	0	-1.771875 0 0	-6.6883036771528e-13 0 0
0	0	0 0 0	74 4 4	0	-1.76875 0 0	-6.60592943708158e-13 0 0
0	0	0 0 0	75 4 4	0	-1.765625 0 0	-6.52833731641286e-13 -1.49554117069031e-17 0
0	0	0 0 0	76 4 4	0	-1.7625 0 0	-6.45341749547287e-13 0 0
0	0	0 0 0	77 4 4	0	-1.759375 0 0	-6.379391250317e-13 0 0
0	0	0 0 0	78 4 4	0	-1.75625 0 0	-6.30673791970737e-13 0 0
0	0	0 0 0	79 4 4	0	-1.753125 0 0	-6.23281641583273e-13 0 0
0	0	0 0 0	80 4 4	0	-1.75 0 0	-6.1598898610068e-13 0 0
0	0	0 0 0	81 4 4	0	-1.746875 0 0	-6.08847512104025e-13 0 0
0	0	0 0 0	82 4 4	0	-1.74375 0 0	-6.01932989621481e-13 0 0
0	0	0 0 0	83 4 4	0	-1.740625 0 0	-5.95371911795573e-13 0 0
0	0	0 0 0	84 4 4	0	-1.7375 0 0	-5.88271114250797e-13 0 0
0	0	0 0 0	85 4 4	0	-1.734375 0 0	-5.81347603676894e-13 0 0
0	0	0 0 0	86 4 4	0	-1.73125 0 0	-5.74880167563806e-13 0 0
0	0	0 0 0	87 4 4	0	-1.728125 0 0	-5.68429722577389e-13 0 0
0	0	0 0 0	88 4 4	0	-1.725 0 0	-5.61933900119698e-13 0 0
0	0	0 0 0	89 4 4	0	-1.721875 0 0	-5.55306424731235e-13 0 0
0	0	0 0 0	90 4 4	0	-1.71875 0 0	-5.49143935080746e-13 0 0
0	0	0 0 0	91 4 4	0	-1.715625 0 0	-5.42808190300708e-13 0 0
0	0	0 0 0	92 4 4	0	-1.7125 0 0	-5.37076438709846e-13 0 0
0	0	0 0 0	93 4 4	0	-1.709375 0 0	-5.309824332798e-13 0 0
0	0	0 0 0	94 4 4	0	-1.70625 0 0	-5.24284741389345e-13 0 0
0	0	0 0 0	95 4 4	0	-1.703125 0 0	-5.18598664627491e-13 0 0
0	0	0 0 0	96 4 4	0	-1.7 0 0	-5.12940744758923e-13 0 0
0	0	0 0 0	97 4 4	0	-1.696875 0 0	-5.07350638057019e-13 0 0
0	0	0 0 0	98 4 4	0	-1.69375 0 0	-5.01889352083873e-13 0 0
0	0	0 0 0	99 4 4	0	-1.690625 0 0	-4.9609018133391e-13 0 0
0	0	0 0 0	100 4 4	0	-1.6875 0 0	-4.90129770889392e-13 0 0
0	0	0 0 0	101 4 4	0	-1.684375 0 0	-4.84869914604269e-13 0 0
0	0	0 0 0	102 4 4	0	-1.68125 0 0	-4.79872116747259e-13 0 0
0	0	0 0 0	103 4 4	0	-1.678125 0 0	-4.7417863663476e-13 0 0
0	0	0 0 0	104 4 4	0	-1.675 0 0	-4.6885278123691e-13 0 0
0	0	0 0 0	105 4 4	0	-1.671875 0 0	-4.63833315196854e-13 0 0
0	0	0 0 0	106 4 4	0	-1.66875 0 0	-4.58531190897826e-13 0 0
0	0	0 0 0	107 4 4	0	-1.665625 0 0	-4.53595341701781e-13 0 0
0	0	0 0 0	108 4 4	0	-1.6625 0 0	-4.48857422606233e-13 0 0
0	0	0 0 0	109 4 4	0	-1.659375 0 0	-4.43644181957393e-13 0 0
0	0	0 0 0	110 4 4	0	-1.65625 0 0	-4.38506919030513e-13 0 0
0	0	0 0 0	111 4 4	0	-1.653125 0 0	-4.33979351555548e-13 0 0
