# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 05:48:00+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunnear_1bh_p0.5_nos_20.par"
#
# ADMBASE::METRIC y (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 0 20	0	3 0.4375 0.5	11.8020609995857 0 0 11.8020609995857 0 11.8020609995857
0	0	0 0 0	20 1 20	0	3 0.440625 0.5	11.7425438587004 0 0 11.7425438587004 0 11.7425438587004
0	0	0 0 0	20 2 20	0	3 0.44375 0.5	11.6833802518578 0 0 11.6833802518578 0 11.6833802518578
0	0	0 0 0	20 3 20	0	3 0.446875 0.5	11.6245712638134 0 0 11.6245712638134 0 11.6245712638134
0	0	0 0 0	20 4 20	0	3 0.45 0.5	11.5661178515778 0 0 11.5661178515778 0 11.5661178515778
0	0	0 0 0	20 5 20	0	3 0.453125 0.5	11.5080208481535 0 0 11.5080208481535 0 11.5080208481535
0	0	0 0 0	20 6 20	0	3 0.45625 0.5	11.4502809662132 0 0 11.4502809662132 0 11.4502809662132
0	0	0 0 0	20 7 20	0	3 0.459375 0.5	11.392898801716 0 0 11.392898801716 0 11.392898801716
0	0	0 0 0	20 8 20	0	3 0.4625 0.5	11.3358748374636 0 0 11.3358748374636 0 11.3358748374636
0	0	0 0 0	20 9 20	0	3 0.465625 0.5	11.2792094465936 0 0 11.2792094465936 0 11.2792094465936
0	0	0 0 0	20 10 20	0	3 0.46875 0.5	11.2229028960105 0 0 11.2229028960105 0 11.2229028960105
0	0	0 0 0	20 11 20	0	3 0.471875 0.5	11.1669553497537 0 0 11.1669553497537 0 11.1669553497537
0	0	0 0 0	20 12 20	0	3 0.475 0.5	11.111366872303 0 0 11.111366872303 0 11.111366872303
0	0	0 0 0	20 13 20	0	3 0.478125 0.5	11.0561374318199 0 0 11.0561374318199 0 11.0561374318199
0	0	0 0 0	20 14 20	0	3 0.48125 0.5	11.0012669033262 0 0 11.0012669033262 0 11.0012669033262
0	0	0 0 0	20 15 20	0	3 0.484375 0.5	10.9467550718183 0 0 10.9467550718183 0 10.9467550718183
0	0	0 0 0	20 16 20	0	3 0.4875 0.5	10.8926016353191 0 0 10.8926016353191 0 10.8926016353191
0	0	0 0 0	20 17 20	0	3 0.490625 0.5	10.8388062078654 0 0 10.8388062078654 0 10.8388062078654
0	0	0 0 0	20 18 20	0	3 0.49375 0.5	10.7853683224333 0 0 10.7853683224333 0 10.7853683224333
0	0	0 0 0	20 19 20	0	3 0.496875 0.5	10.7322874338004 0 0 10.7322874338004 0 10.7322874338004
0	0	0 0 0	20 20 20	0	3 0.5 0.5	10.6795629213448 0 0 10.6795629213448 0 10.6795629213448
0	0	0 0 0	20 21 20	0	3 0.503125 0.5	10.627194091783 0 0 10.627194091783 0 10.627194091783
0	0	0 0 0	20 22 20	0	3 0.50625 0.5	10.5751801818456 0 0 10.5751801818456 0 10.5751801818456
0	0	0 0 0	20 23 20	0	3 0.509375 0.5	10.5235203608914 0 0 10.5235203608914 0 10.5235203608914
0	0	0 0 0	20 24 20	0	3 0.5125 0.5	10.4722137334614 0 0 10.4722137334614 0 10.4722137334614
0	0	0 0 0	20 25 20	0	3 0.515625 0.5	10.4212593417725 0 0 10.4212593417725 0 10.4212593417725
0	0	0 0 0	20 26 20	0	3 0.51875 0.5	10.3706561681512 0 0 10.3706561681512 0 10.3706561681512
0	0	0 0 0	20 27 20	0	3 0.521875 0.5	10.3204031374089 0 0 10.3204031374089 0 10.3204031374089
0	0	0 0 0	20 28 20	0	3 0.525 0.5	10.2704991191589 0 0 10.2704991191589 0 10.2704991191589
0	0	0 0 0	20 29 20	0	3 0.528125 0.5	10.2209429300757 0 0 10.2209429300757 0 10.2209429300757
0	0	0 0 0	20 30 20	0	3 0.53125 0.5	10.1717333360972 0 0 10.1717333360972 0 10.1717333360972
0	0	0 0 0	20 31 20	0	3 0.534375 0.5	10.1228690545718 0 0 10.1228690545718 0 10.1228690545718
0	0	0 0 0	20 32 20	0	3 0.5375 0.5	10.0743487563492 0 0 10.0743487563492 0 10.0743487563492
0	0	0 0 0	20 33 20	0	3 0.540625 0.5	10.0261710678172 0 0 10.0261710678172 0 10.0261710678172
0	0	0 0 0	20 34 20	0	3 0.54375 0.5	9.97833457288504 0 0 9.97833457288504 0 9.97833457288504
0	0	0 0 0	20 35 20	0	3 0.546875 0.5	9.93083781491326 0 0 9.93083781491326 0 9.93083781491326
0	0	0 0 0	20 36 20	0	3 0.55 0.5	9.88367929859234 0 0 9.88367929859234 0 9.88367929859234
0	0	0 0 0	20 37 20	0	3 0.553125 0.5	9.83685749176965 0 0 9.83685749176965 0 9.83685749176965
0	0	0 0 0	20 38 20	0	3 0.55625 0.5	9.79037082722634 0 0 9.79037082722634 0 9.79037082722634
0	0	0 0 0	20 39 20	0	3 0.559375 0.5	9.74421770440484 0 0 9.74421770440484 0 9.74421770440484
0	0	0 0 0	20 40 20	0	3 0.5625 0.5	9.69839649108778 0 0 9.69839649108778 0 9.69839649108778


