# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 05:52:51+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunnear_1bh_p0.5_nos_30.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	-0.0404962218783904 0.323969775027123 0.323969775027123 0.0202481109391952 -0.0199366015401306 0.0202481109391952
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	-0.038476816125337 0.324015293687047 0.324015293687047 0.0192384080626685 -0.0189708888873431 0.0192384080626685
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	-0.0364566266822349 0.324058903842088 0.324058903842088 0.0182283133411174 -0.0180004945815695 0.0182283133411174
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	-0.034435694764589 0.324100656607896 0.324100656607896 0.0172178473822945 -0.0170256438250508 0.0172178473822945
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	-0.0324140600722062 0.324140600722064 0.324140600722064 0.0162070300361031 -0.0160465643921813 0.0162070300361031
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	-0.0303917608578604 0.324178782483844 0.324178782483844 0.0151958804289302 -0.0150634865045736 0.0151958804289302
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	-0.0283688339984627 0.324215245696716 0.324215245696716 0.0141844169992314 -0.0140766427035324 0.0141844169992314
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	-0.0263453150686286 0.324250031613892 0.324250031613892 0.0131726575343143 -0.0130862677200686 0.0131726575343143
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	-0.0243212384165152 0.324283178886869 0.324283178886869 0.0121606192082576 -0.0120925983425806 0.0121606192082576
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	-0.0222966372417997 0.324314723517088 0.324314723517088 0.0111483186208998 -0.0110958732823388 0.0111483186208998
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	-0.0202715436756743 0.324344698810789 0.324344698810789 0.0101357718378371 -0.0100963330369117 0.0101357718378371
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	-0.0182459888627142 0.324373135337139 0.324373135337139 0.00912299443135708 -0.00909421975167405 0.00912299443135708
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	-0.0162200030444847 0.324400060889695 0.324400060889695 0.00811000152224235 -0.00808977707954349 0.00811000152224235
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	-0.0141936156447432 0.324425500451272 0.324425500451272 0.00709680782237161 -0.00708325003909366 0.00709680782237161
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	-0.0121668553560847 0.324449476162262 0.324449476162262 0.00608342767804236 -0.00607488487119224 0.00608342767804236
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	-0.0101397502278897 0.324472007292471 0.324472007292471 0.00506987511394486 -0.0050649288943215 0.00506987511394486
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	-0.00811232775541285 0.32449311021651 0.32449311021651 0.00405616387770643 -0.00405363035873222 0.00405616387770643
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	-0.00608461496986468 0.324512798392786 0.324512798392786 0.00304230748493234 -0.00304123829959264 0.00304230748493234
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	-0.00405663852932662 0.324531082346125 0.324531082346125 0.00202831926466331 -0.00202800238928999 0.00202831926466331
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	-0.00202842481033773 0.324547969654056 0.324547969654056 0.00101421240516887 -0.00101417278904429 0.00101421240516887
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0.324563464936778 0.324563464936778 0 0 0
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	0.00202860981156759 0.324577569850832 0.324577569850832 -0.00101430490578379 0.00101426528604606 -0.00101430490578379
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	0.00405737853858107 0.324590283086481 0.324590283086481 -0.00202868926929053 0.00202837233611302 -0.00202868926929053
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	0.006086280006915 0.324601600368803 0.324601600368803 -0.0030431400034575 0.00304207052553837 -0.0030431400034575
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	0.00811528786156272 0.324611514462504 0.324611514462504 -0.00405764393078136 0.00405510948735177 -0.00405764393078136
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	0.0101443754743885 0.324620015180431 0.324620015180431 -0.00507218773719424 0.00506723926135308 -0.00507218773719424
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	0.0121735158523415 0.324627089395777 0.324627089395777 -0.00608675792617076 0.00607821044273566 -0.00608675792617076
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	0.0142026815462856 0.324632721057956 0.324632721057956 -0.00710134077314282 0.00708777433008913 -0.00710134077314282
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	0.0162318445606062 0.324636891212124 0.324636891212124 -0.00811592228030308 0.00809568307262152 -0.00811592228030308
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	0.0182609762637551 0.324639578022311 0.324639578022311 -0.00913048813187755 0.00910168981644272 -0.00913048813187755
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	0.0202900472998825 0.32464075679812 0.32464075679812 -0.0101450236499413 0.0101055488497469 -0.0101450236499413
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	0.0223190275017162 0.324640400024965 0.324640400024965 -0.0111595137508581 0.0111070157467427 -0.0111595137508581
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	0.0243478858048334 0.324638477397777 0.324638477397777 -0.0121739429024167 0.012105847510172 -0.0121739429024167
0	0	0 0 0	33 20 20	0	3.040625 0.5 0.5	0.0263765901634738 0.32463495585814 0.32463495585814 -0.0131882950817369 0.0131018027122692 -0.0131882950817369
0	0	0 0 0	34 20 20	0	3.04375 0.5 0.5	0.0284051074680434 0.324629799634781 0.324629799634781 -0.0142025537340217 0.0140946416340113 -0.0142025537340217
0	0	0 0 0	35 20 20	0	3.046875 0.5 0.5	0.0304334034644404 0.324622970287364 0.324622970287364 -0.0152167017322202 0.0150841264025106 -0.0152167017322202
0	0	0 0 0	36 20 20	0	3.05 0.5 0.5	0.0324614426753498 0.324614426753499 0.324614426753499 -0.0162307213376749 0.0160700211264108 -0.0162307213376749
0	0	0 0 0	37 20 20	0	3.053125 0.5 0.5	0.034489188323633 0.324604125398899 0.324604125398899 -0.0172445941618165 0.0170520920291438 -0.0172445941618165
0	0	0 0 0	38 20 20	0	3.05625 0.5 0.5	0.0365166022579427 0.324592020070603 0.324592020070603 -0.0182583011289714 0.0180301075799131 -0.0182583011289714
0	0	0 0 0	39 20 20	0	3.059375 0.5 0.5	0.0385436448806897 0.324578062153176 0.324578062153176 -0.0192718224403449 0.019003838622273 -0.0192718224403449
0	0	0 0 0	40 20 20	0	3.0625 0.5 0.5	0.0405702750784744 0.324562200627795 0.324562200627795 -0.0202851375392372 0.019973058500172 -0.0202851375392372


