# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 05:52:51+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunnear_1bh_p0.5_nos_30.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	1.2796778726681e-05
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	1.2796778726681e-05
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	5.30888693561771e-08
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	5.21709431393694e-08
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	5.12334562673827e-08
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	5.02836275703515e-08
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	4.92155093471426e-08
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	4.81577526632512e-08
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	4.7129504230671e-08
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	4.59479610787246e-08
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	4.49192152935513e-08
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	4.36914317069464e-08
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	4.25419265539899e-08
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	4.13515582808541e-08
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	4.02512315028115e-08
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	3.89888263271909e-08
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	3.78130317365936e-08
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	3.65802880482151e-08
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	3.53746443348783e-08
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	3.41318794690355e-08
0	0	0 0 0	20 20 20	0	3 0.5 0.5	3.28379524345071e-08
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	3.16608993384572e-08
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	3.03632563120049e-08
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	2.91972538368768e-08
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	2.80149031039317e-08
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	2.68284981387763e-08
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	2.56585044782279e-08
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	2.44943558188118e-08
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	2.32670183848704e-08
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	2.21509189142141e-08
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	2.10281128941794e-08
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	1.98239512765389e-08
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	1.87151639216392e-08
0	0	0 0 0	33 20 20	0	3.040625 0.5 0.5	1.76846117047255e-08
0	0	0 0 0	34 20 20	0	3.04375 0.5 0.5	1.66457871206456e-08
0	0	0 0 0	35 20 20	0	3.046875 0.5 0.5	1.55023084560252e-08
0	0	0 0 0	36 20 20	0	3.05 0.5 0.5	1.45590974723157e-08
0	0	0 0 0	37 20 20	0	3.053125 0.5 0.5	1.35710928215668e-08
0	0	0 0 0	38 20 20	0	3.05625 0.5 0.5	1.2569656010486e-08
0	0	0 0 0	39 20 20	0	3.059375 0.5 0.5	1.27728297834588e-05
0	0	0 0 0	40 20 20	0	3.0625 0.5 0.5	1.27728297834588e-05


