# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:09:25+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunnear_1bh_p0.5_nos_40.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	2.46403282338857e-06 -1.42472961182222e-07 -1.42472961234263e-07
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	2.46403282338857e-06 -1.42472961182222e-07 -1.42472961234263e-07
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	8.35845891654126e-12 4.25729863688662e-11 4.25730041497818e-11
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	1.06472854059982e-11 4.08267239460081e-11 4.08267759877123e-11
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	1.28290457492981e-11 3.89843656488364e-11 3.89843951391355e-11
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	1.48965659794537e-11 3.70637834659626e-11 3.70637487714931e-11
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	1.68785383991145e-11 3.50579469968193e-11 3.50579127360306e-11
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	1.87203957160964e-11 3.29688850005116e-11 3.29687809171031e-11
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	2.04735119129038e-11 3.08165077657352e-11 3.0816511668863e-11
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	2.20830730011092e-11 2.85938213211157e-11 2.85938213211157e-11
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	2.35718108119608e-11 2.63031475940256e-11 2.63031378362061e-11
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	2.49352173905823e-11 2.39523225472466e-11 2.39523919361856e-11
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	2.61644820291057e-11 2.15543255986661e-11 2.15542562097271e-11
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	2.72686225256075e-11 1.91132216390694e-11 1.91132238074737e-11
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	2.82195779035028e-11 1.66239657673276e-11 1.66240003533769e-11
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	2.90388986868825e-11 1.40970666129975e-11 1.4097053385731e-11
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	2.97222470762052e-11 1.15437188345606e-11 1.1543723008739e-11
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	3.02573512903507e-11 8.96631624199354e-12 8.96632483429576e-12
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	3.06534252637012e-11 6.36149232825843e-12 6.36149234858722e-12
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	3.09011438421047e-11 3.74709798237581e-12 3.74709798237581e-12
0	0	0 0 0	20 20 20	0	3 0.5 0.5	3.09962889112232e-11 1.13012632021667e-12 1.13012632021667e-12
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	3.09612292175043e-11 -1.4886340857917e-12 -1.4886340857917e-12
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	3.07696899325563e-11 -4.10569625172719e-12 -4.10570297378066e-12
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	3.04349787769658e-11 -6.71810805770445e-12 -6.71813386171616e-12
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	2.99611533206721e-11 -9.30692350444018e-12 -9.30693326225973e-12
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	2.93355076860014e-11 -1.18747288477966e-11 -1.18747123679236e-11
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	2.85731781212402e-11 -1.44185613969172e-11 -1.44185442665229e-11
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	2.76766422250082e-11 -1.69272135371046e-11 -1.69272157055089e-11
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	2.6634406918921e-11 -1.9393121657163e-11 -1.93930869626935e-11
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	2.54587574752231e-11 -2.18204404198175e-11 -2.18205098087565e-11
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	2.41409625125118e-11 -2.41989280176658e-11 -2.41989150072397e-11
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	2.27007449225158e-11 -2.65178096495178e-11 -2.65178105168795e-11
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	2.11403719059299e-11 -2.87785355441994e-11 -2.87785355441994e-11
