# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 15:52:14+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/twopunfar_1bh_p0.75_nos_40.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	0.00488184260033 0.012204606500825 0.0120520489195647 -0.00241449972710174 0.00210043197182147 -0.00246734287322826
0	0	0 0 0	20 20 1	0	5 5 4.940625	0.00487766422123537 0.0121941605530884 0.0120493548965205 -0.00241375870247376 0.00209883331097097 -0.00246390551876162
0	0	0 0 0	20 20 2	0	5 5 4.94375	0.00487348925910037 0.0121837231477509 0.0120466562623387 -0.00241301651177748 0.00209723485251337 -0.00246047274732289
0	0	0 0 0	20 20 3	0	5 5 4.946875	0.0048693177130234 0.0121732942825585 0.0120439530308063 -0.00241227315845604 0.00209563660015094 -0.00245704455456736
0	0	0 0 0	20 20 4	0	5 5 4.95	0.00486514958209584 0.0121628739552396 0.0120412452156872 -0.00241152864594908 0.00209403855757353 -0.00245362093614677
0	0	0 0 0	20 20 5	0	5 5 4.953125	0.0048609848654021 0.0121524621635052 0.0120385328307224 -0.00241078297769275 0.00209244072845869 -0.00245020188770935
0	0	0 0 0	20 20 6	0	5 5 4.95625	0.00485682356201959 0.012142058905049 0.0120358158896298 -0.00241003615711968 0.00209084311647158 -0.00244678740489991
0	0	0 0 0	20 20 7	0	5 5 4.959375	0.00485266567101882 0.012131664177547 0.0120330944061045 -0.00240928818765901 0.00208924572526509 -0.00244337748335981
0	0	0 0 0	20 20 8	0	5 5 4.9625	0.00484851119146335 0.0121212779786584 0.0120303683938184 -0.00240853907273632 0.00208764855847981 -0.00243997211872703
0	0	0 0 0	20 20 9	0	5 5 4.965625	0.0048443601224099 0.0121109003060248 0.0120276378664208 -0.00240778881577367 0.00208605161974406 -0.00243657130663624
0	0	0 0 0	20 20 10	0	5 5 4.96875	0.00484021246290831 0.0121005311572708 0.0120249028375378 -0.00240703742018955 0.00208445491267393 -0.00243317504271876
0	0	0 0 0	20 20 11	0	5 5 4.971875	0.00483606821200157 0.0120901705300039 0.0120221633207727 -0.00240628488939892 0.00208285844087329 -0.00242978332260266
0	0	0 0 0	20 20 12	0	5 5 4.975	0.0048319273687259 0.0120798184218147 0.0120194193297057 -0.00240553122681313 0.0020812622079338 -0.00242639614191277
0	0	0 0 0	20 20 13	0	5 5 4.978125	0.00482778993211071 0.0120694748302768 0.0120166708778943 -0.00240477643583998 0.00207966621743495 -0.00242301349627073
0	0	0 0 0	20 20 14	0	5 5 4.98125	0.00482365590117867 0.0120591397529467 0.0120139179788731 -0.00240402051988366 0.0020780704729441 -0.00241963538129501
0	0	0 0 0	20 20 15	0	5 5 4.984375	0.00481952527494573 0.0120488131873643 0.0120111606461538 -0.00240326348234477 0.00207647497801645 -0.00241626179260097
0	0	0 0 0	20 20 16	0	5 5 4.9875	0.00481539805242114 0.0120384951310528 0.0120083988932252 -0.00240250532662028 0.00207487973619513 -0.00241289272580086
0	0	0 0 0	20 20 17	0	5 5 4.990625	0.00481127423260746 0.0120281855815186 0.0120056327335533 -0.00240174605610356 0.00207328475101117 -0.0024095281765039
0	0	0 0 0	20 20 18	0	5 5 4.99375	0.0048071538145006 0.0120178845362515 0.0120028621805812 -0.00240098567418432 0.00207169002598352 -0.00240616814031628
0	0	0 0 0	20 20 19	0	5 5 4.996875	0.00480303679708987 0.0120075919927247 0.0120000872477292 -0.00240022418424865 0.00207009556461913 -0.00240281261284121
0	0	0 0 0	20 20 20	0	5 5 5	0.00479892317935796 0.0119973079483949 0.0119973079483949 -0.00239946158967898 0.00206850137041291 -0.00239946158967898
0	0	0 0 0	20 20 21	0	5 5 5.003125	0.00479481296028101 0.0119870324007025 0.011994524295953 -0.00239869789385408 0.00206690744684781 -0.00239611506642694
0	0	0 0 0	20 20 22	0	5 5 5.00625	0.0047907061388286 0.0119767653470715 0.0119917363037553 -0.00239793310014903 0.00206531379739476 -0.00239277303867957
0	0	0 0 0	20 20 23	0	5 5 5.009375	0.00478660271396378 0.0119665067849095 0.0119889439851312 -0.00239716721193525 0.00206372042551279 -0.00238943550202853
0	0	0 0 0	20 20 24	0	5 5 5.0125	0.00478250268464314 0.0119562567116078 0.0119861473533869 -0.00239640023258046 0.00206212733464899 -0.00238610245206267
0	0	0 0 0	20 20 25	0	5 5 5.015625	0.00477840604981676 0.0119460151245419 0.0119833464218061 -0.00239563216544869 0.00206053452823855 -0.00238277388436807
0	0	0 0 0	20 20 26	0	5 5 5.01875	0.00477431280842832 0.0119357820210708 0.0119805412036498 -0.00239486301390023 0.00205894200970479 -0.00237944979452808
0	0	0 0 0	20 20 27	0	5 5 5.021875	0.00477022295941503 0.0119255573985376 0.0119777317121562 -0.00239409278129168 0.00205734978245917 -0.00237613017812335
0	0	0 0 0	20 20 28	0	5 5 5.025	0.00476613650170777 0.0119153412542694 0.0119749179605408 -0.00239332147097591 0.00205575784990131 -0.00237281503073186
0	0	0 0 0	20 20 29	0	5 5 5.028125	0.004762053434231 0.0119051335855775 0.0119720999619964 -0.00239254908630201 0.00205416621541904 -0.00236950434792899
0	0	0 0 0	20 20 30	0	5 5 5.03125	0.00475797375590287 0.0118949343897572 0.0119692777296931 -0.00239177563061538 0.00205257488238839 -0.00236619812528749
0	0	0 0 0	20 20 31	0	5 5 5.034375	0.0047538974656352 0.011884743664088 0.0119664512767786 -0.00239100110725763 0.00205098385417363 -0.00236289635837756
0	0	0 0 0	20 20 32	0	5 5 5.0375	0.00474982456233352 0.0118745614058338 0.0119636206163775 -0.00239022551956661 0.00204939313412729 -0.00235959904276691
0	0	0 0 0	20 20 33	0	5 5 5.040625	0.00474575504489709 0.0118643876122427 0.0119607857615922 -0.00238944887087639 0.00204780272559019 -0.0023563061740207
0	0	0 0 0	20 20 34	0	5 5 5.04375	0.00474168891221896 0.0118542222805474 0.0119579467255022 -0.00238867116451727 0.00204621263189144 -0.00235301774770168
0	0	0 0 0	20 20 35	0	5 5 5.046875	0.00473762616318591 0.0118440654079648 0.0119551035211645 -0.00238789240381575 0.0020446228563485 -0.00234973375937016
0	0	0 0 0	20 20 36	0	5 5 5.05	0.00473356679667858 0.0118339169916964 0.0119522561616134 -0.00238711259209452 0.00204303340226715 -0.00234645420458405
0	0	0 0 0	20 20 37	0	5 5 5.053125	0.0047295108115714 0.0118237770289285 0.0119494046598609 -0.00238633173267247 0.00204144427294158 -0.00234317907889893
0	0	0 0 0	20 20 38	0	5 5 5.05625	0.0047254582067327 0.0118136455168318 0.0119465490288961 -0.00238554982886467 0.00203985547165435 -0.00233990837786803
0	0	0 0 0	20 20 39	0	5 5 5.059375	0.00472140898102468 0.0118035224525617 0.0119436892816859 -0.00238476688398237 0.00203826700167645 -0.00233664209704231
0	0	0 0 0	20 20 40	0	5 5 5.0625	0.00471736313330342 0.0117934078332585 0.0119408254311743 -0.00238398290133296 0.00203667886626732 -0.00233338023197046


