# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 15:52:14+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/twopunfar_1bh_p0.75_nos_40.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 20 20	0	4.9375 5 5	7.03206372799198e-10 2.31842936450517e-10 2.31842979493344e-10
0	0	0 0 0	1 20 20	0	4.940625 5 5	7.03206372799198e-10 2.31842936450517e-10 2.31842979493344e-10
0	0	0 0 0	2 20 20	0	4.94375 5 5	-7.20134020478954e-17 2.17165695148847e-16 2.17165695148847e-16
0	0	0 0 0	3 20 20	0	4.946875 5 5	-5.89527053500824e-16 1.60461921527855e-16 1.60570341745103e-16
0	0	0 0 0	4 20 20	0	4.95 5 5	-7.85998695341491e-16 3.38921599118969e-16 3.38921599118969e-16
0	0	0 0 0	5 20 20	0	4.953125 5 5	5.52952717876057e-16 -7.63820430516038e-16 -7.06357715374306e-16
0	0	0 0 0	6 20 20	0	4.95625 5 5	2.50533449075194e-16 3.25911173049143e-16 3.83265467973626e-16
0	0	0 0 0	7 20 20	0	4.959375 5 5	1.11930331446203e-15 2.12612046024407e-16 2.12612046024407e-16
0	0	0 0 0	8 20 20	0	4.9625 5 5	3.48506516945549e-16 -3.08021837203132e-16 -3.65376132127615e-16
0	0	0 0 0	9 20 20	0	4.965625 5 5	-1.7663280711263e-15 -6.03900610074426e-17 -2.92734586571086e-18
0	0	0 0 0	10 20 20	0	4.96875 5 5	-1.05184832816302e-15 -3.59413020178945e-16 -3.02058725254462e-16
0	0	0 0 0	11 20 20	0	4.971875 5 5	1.21843584670473e-15 -2.4459601011273e-16 -2.51751744451134e-16
0	0	0 0 0	12 20 20	0	4.975 5 5	-6.06499945265909e-16 4.55364912443912e-18 1.17093834628434e-17
0	0	0 0 0	13 20 20	0	4.978125 5 5	-8.78723300268281e-16 -2.44812850547227e-16 -2.08925758637957e-16
0	0	0 0 0	14 20 20	0	4.98125 5 5	-2.551085569891e-16 -1.23599047663348e-16 -1.23599047663348e-16
0	0	0 0 0	15 20 20	0	4.984375 5 5	-4.32455074368626e-16 3.96926415346943e-16 3.96926415346943e-16
0	0	0 0 0	16 20 20	0	4.9875 5 5	-7.94435283893834e-16 5.06322414550731e-17 4.34765071166687e-17
0	0	0 0 0	17 20 20	0	4.990625 5 5	-1.060080736058e-15 -1.15315743065558e-15 -1.15315743065558e-15
0	0	0 0 0	18 20 20	0	4.99375 5 5	6.7439110694256e-16 6.10731083761085e-16 6.25042552437893e-16
0	0	0 0 0	19 20 20	0	4.996875 5 5	-5.48017339032645e-16 5.65953534037433e-17 8.54351311918577e-17
0	0	0 0 0	20 20 20	0	5 5 5	-6.75693231836746e-16 -5.23452808876002e-16 -5.2356122909325e-16
0	0	0 0 0	21 20 20	0	5.003125 5 5	8.69431837573011e-16 3.41957365201928e-16 5.86228114662912e-16
0	0	0 0 0	22 20 20	0	5.00625 5 5	-7.01166981375386e-16 -5.19983361924048e-16 -5.7744607706578e-16
0	0	0 0 0	23 20 20	0	5.009375 5 5	-5.77521866040602e-16 -3.03468188078693e-16 -2.45897052719712e-16
0	0	0 0 0	24 20 20	0	5.0125 5 5	1.73227786948988e-15 8.66277535815918e-17 2.01444763647807e-16
0	0	0 0 0	25 20 20	0	5.015625 5 5	-2.28898266119188e-16 -8.22150507395758e-16 -8.29306241734162e-16
0	0	0 0 0	26 20 20	0	5.01875 5 5	-1.41227394340884e-16 -2.78639958328775e-17 -2.78639958328775e-17
0	0	0 0 0	27 20 20	0	5.021875 5 5	6.1606762322519e-16 5.48606299277665e-16 4.57533316788883e-17
0	0	0 0 0	28 20 20	0	5.025 5 5	-3.62242754589548e-16 -1.22048638556693e-15 -1.22048638556693e-15
0	0	0 0 0	29 20 20	0	5.028125 5 5	-1.29083765469766e-15 5.25512793003724e-16 5.9013124248386e-16
0	0	0 0 0	30 20 20	0	5.03125 5 5	-8.82218217334365e-16 6.23633089613662e-16 6.23633089613662e-16
0	0	0 0 0	31 20 20	0	5.034375 5 5	-9.45066467980507e-16 -5.21826505617273e-16 -5.21826505617273e-16
0	0	0 0 0	32 20 20	0	5.0375 5 5	-4.49859843581592e-16 -6.1409211049579e-16 -4.27284076176537e-16
0	0	0 0 0	33 20 20	0	5.040625 5 5	-1.01425739020067e-15 -8.97719398817998e-17 -8.97719398817998e-17
0	0	0 0 0	34 20 20	0	5.04375 5 5	-1.9489367144262e-15 7.41160605111091e-16 6.83697889969359e-16
0	0	0 0 0	35 20 20	0	5.046875 5 5	4.09046219820904e-16 3.45318391936633e-16 2.80591522239249e-16
0	0	0 0 0	36 20 20	0	5.05 5 5	-1.86570011688101e-15 -8.9229838795557e-16 -8.34944093031087e-16
0	0	0 0 0	37 20 20	0	5.053125 5 5	-6.53551344204292e-16 3.0292608699245e-16 2.95770352654046e-16
0	0	0 0 0	38 20 20	0	5.05625 5 5	9.50365714863201e-17 6.92154666914746e-16 5.12610787151146e-16
0	0	0 0 0	39 20 20	0	5.059375 5 5	7.01378516843224e-10 2.48436374662535e-10 2.48436374662535e-10
0	0	0 0 0	40 20 20	0	5.0625 5 5	7.01378516843224e-10 2.48436374662535e-10 2.48436374662535e-10


