# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 15:52:14+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/twopunfar_1bh_p0.75_nos_40.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 20 0	0	5 5 4.9375	7.20310051869792e-10 2.5807728729673e-10 2.38153566420492e-10
0	0	0 0 0	20 20 1	0	5 5 4.940625	7.20310051869792e-10 2.5807728729673e-10 2.38153566420492e-10
0	0	0 0 0	20 20 2	0	5 5 4.94375	-6.31781546566249e-16 1.90169061053957e-16 -1.795438797636e-16
0	0	0 0 0	20 20 3	0	5 5 4.946875	-4.86752565337367e-16 -5.75602933372554e-16 2.11202583200176e-16
0	0	0 0 0	20 20 4	0	5 5 4.95	-4.14016152090746e-16 8.52182907573606e-17 4.55798593312906e-16
0	0	0 0 0	20 20 5	0	5 5 4.953125	-1.49813362128152e-15 4.77374216545368e-16 -2.09793120375945e-16
0	0	0 0 0	20 20 6	0	5 5 4.95625	-4.62297030084241e-16 5.07948717809459e-16 9.51712667007776e-16
0	0	0 0 0	20 20 7	0	5 5 4.959375	-2.71477447726792e-16 -3.25260651745651e-18 -6.36209834814494e-16
0	0	0 0 0	20 20 8	0	5 5 4.9625	-3.73572022925248e-16 -8.34401991944844e-16 7.70542483985448e-16
0	0	0 0 0	20 20 9	0	5 5 4.965625	-2.5841958781192e-16 -7.9580439460436e-16 -2.27682456221956e-16
0	0	0 0 0	20 20 10	0	5 5 4.96875	2.92676988330673e-16 -2.71267383555873e-16 -1.57968256531138e-16
