# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 15:13:23+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/twopunmid_1bh_p0.75_nos_20.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 4 4	0	-2 0 0	-0.0344975868509228 0 0 0.0172487934254614 0 0.0172487934254614
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-0.0346044808094716 0 0 0.0173022404047358 0 0.0173022404047358
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-0.0347113718851233 0 0 0.0173556859425617 0 0.0173556859425617
0	0	0 0 0	3 4 4	0	-1.990625 0 0	-0.034818260868551 0 0 0.0174091304342755 0 0.0174091304342755
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-0.0349251485490496 0 0 0.0174625742745248 0 0.0174625742745248
0	0	0 0 0	5 4 4	0	-1.984375 0 0	-0.035032035714538 0 0 0.017516017857269 0 0.017516017857269
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-0.0351389231515615 0 0 0.0175694615757808 0 0.0175694615757808
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-0.0352458116452949 0 0 0.0176229058226475 0 0.0176229058226475
0	0	0 0 0	8 4 4	0	-1.975 0 0	-0.035352701979545 0 0 0.0176763509897725 0 0.0176763509897725
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-0.0354595949367546 0 0 0.0177297974683773 0 0.0177297974683773
0	0	0 0 0	10 4 4	0	-1.96875 0 0	-0.0355664912980058 0 0 0.0177832456490029 0 0.0177832456490029
0	0	0 0 0	11 4 4	0	-1.965625 0 0	-0.0356733918430239 0 0 0.0178366959215119 0 0.0178366959215119
0	0	0 0 0	12 4 4	0	-1.9625 0 0	-0.0357802973501818 0 0 0.0178901486750909 0 0.0178901486750909
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-0.0358872085965046 0 0 0.0179436042982523 0 0.0179436042982523
0	0	0 0 0	14 4 4	0	-1.95625 0 0	-0.0359941263576737 0 0 0.0179970631788368 0 0.0179970631788368
0	0	0 0 0	15 4 4	0	-1.953125 0 0	-0.0361010514080323 0 0 0.0180505257040162 0 0.0180505257040162
0	0	0 0 0	16 4 4	0	-1.95 0 0	-0.0362079845205907 0 0 0.0181039922602954 0 0.0181039922602954
0	0	0 0 0	17 4 4	0	-1.946875 0 0	-0.0363149264670311 0 0 0.0181574632335155 0 0.0181574632335155
0	0	0 0 0	18 4 4	0	-1.94375 0 0	-0.0364218780177137 0 0 0.0182109390088568 0 0.0182109390088568
0	0	0 0 0	19 4 4	0	-1.940625 0 0	-0.0365288399416826 0 0 0.0182644199708413 0 0.0182644199708413
0	0	0 0 0	20 4 4	0	-1.9375 0 0	-0.0366358130066716 0 0 0.0183179065033358 0 0.0183179065033358
0	0	0 0 0	21 4 4	0	-1.934375 0 0	-0.0367427979791107 0 0 0.0183713989895554 0 0.0183713989895554
0	0	0 0 0	22 4 4	0	-1.93125 0 0	-0.0368497956241326 0 0 0.0184248978120663 0 0.0184248978120663
0	0	0 0 0	23 4 4	0	-1.928125 0 0	-0.036956806705579 0 0 0.0184784033527895 0 0.0184784033527895
0	0	0 0 0	24 4 4	0	-1.925 0 0	-0.0370638319860079 0 0 0.0185319159930039 0 0.0185319159930039
0	0	0 0 0	25 4 4	0	-1.921875 0 0	-0.0371708722267004 0 0 0.0185854361133502 0 0.0185854361133502
0	0	0 0 0	26 4 4	0	-1.91875 0 0	-0.0372779281876681 0 0 0.0186389640938341 0 0.0186389640938341
0	0	0 0 0	27 4 4	0	-1.915625 0 0	-0.0373850006276603 0 0 0.0186925003138301 0 0.0186925003138301
0	0	0 0 0	28 4 4	0	-1.9125 0 0	-0.0374920903041714 0 0 0.0187460451520857 0 0.0187460451520857
0	0	0 0 0	29 4 4	0	-1.909375 0 0	-0.0375991979734491 0 0 0.0187995989867246 0 0.0187995989867246
0	0	0 0 0	30 4 4	0	-1.90625 0 0	-0.0377063243905018 0 0 0.0188531621952509 0 0.0188531621952509
0	0	0 0 0	31 4 4	0	-1.903125 0 0	-0.0378134703091068 0 0 0.0189067351545534 0 0.0189067351545534
0	0	0 0 0	32 4 4	0	-1.9 0 0	-0.0379206364818185 0 0 0.0189603182409093 0 0.0189603182409093
0	0	0 0 0	33 4 4	0	-1.896875 0 0	-0.0380278236599767 0 0 0.0190139118299884 0 0.0190139118299884
0	0	0 0 0	34 4 4	0	-1.89375 0 0	-0.0381350325937149 0 0 0.0190675162968574 0 0.0190675162968574
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-0.0382422640319689 0 0 0.0191211320159844 0 0.0191211320159844
0	0	0 0 0	36 4 4	0	-1.8875 0 0	-0.0383495187224857 0 0 0.0191747593612428 0 0.0191747593612428
0	0	0 0 0	37 4 4	0	-1.884375 0 0	-0.0384567974118321 0 0 0.019228398705916 0 0.019228398705916
0	0	0 0 0	38 4 4	0	-1.88125 0 0	-0.0385641008454037 0 0 0.0192820504227018 0 0.0192820504227018
0	0	0 0 0	39 4 4	0	-1.878125 0 0	-0.038671429767434 0 0 0.019335714883717 0 0.019335714883717
0	0	0 0 0	40 4 4	0	-1.875 0 0	-0.0387787849210037 0 0 0.0193893924605018 0 0.0193893924605018
0	0	0 0 0	41 4 4	0	-1.871875 0 0	-0.0388861670480495 0 0 0.0194430835240248 0 0.0194430835240248
0	0	0 0 0	42 4 4	0	-1.86875 0 0	-0.0389935768893742 0 0 0.0194967884446871 0 0.0194967884446871
0	0	0 0 0	43 4 4	0	-1.865625 0 0	-0.0391010151846557 0 0 0.0195505075923278 0 0.0195505075923278
0	0	0 0 0	44 4 4	0	-1.8625 0 0	-0.0392084826724564 0 0 0.0196042413362282 0 0.0196042413362282
0	0	0 0 0	45 4 4	0	-1.859375 0 0	-0.0393159800902336 0 0 0.0196579900451168 0 0.0196579900451168
0	0	0 0 0	46 4 4	0	-1.85625 0 0	-0.0394235081743486 0 0 0.0197117540871743 0 0.0197117540871743
