# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 15:12:32+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/twopunnear_1bh_p0.75_nos_40.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	3.86634795577351e-06 9.33156470487011e-09 8.22344120576801e-09
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	3.86634795577351e-06 9.33156470487011e-09 8.22344120576801e-09
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	6.33096179647463e-11 1.95638015336452e-12 1.73167090476017e-12
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	6.15080104904298e-11 1.92277097021964e-12 1.71962043129387e-12
0	0	0 0 0	20 20 4	0	3 0.5 0.45	5.98159802939202e-11 1.90156061469909e-12 1.709614329444e-12
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	5.8220652257579e-11 1.87307558786182e-12 1.69823703710659e-12
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	5.67111878291282e-11 1.84739550046498e-12 1.68480691637579e-12
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	5.52996502756198e-11 1.81953573302057e-12 1.66956520223499e-12
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	5.39651760778082e-11 1.79126657083584e-12 1.65814746915655e-12
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	5.27149157658613e-11 1.76796457248413e-12 1.64572392172269e-12
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	5.15395035677324e-11 1.74462148287008e-12 1.63732016226353e-12
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	5.04329746367493e-11 1.71828469421736e-12 1.62043718287402e-12
0	0	0 0 0	20 20 12	0	3 0.5 0.475	4.93981027957502e-11 1.69424825731401e-12 1.60947188736216e-12
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	4.84316059479184e-11 1.66936061328504e-12 1.59874012899824e-12
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	4.75189445084401e-11 1.6483809759868e-12 1.58637165903475e-12
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	4.66697002224348e-11 1.62461493910526e-12 1.57341294940855e-12
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	4.58587673043964e-11 1.59808505404563e-12 1.55634977561797e-12
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	4.51236183834913e-11 1.57538305317617e-12 1.54554082205938e-12
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	4.44329132948812e-11 1.55583282802213e-12 1.535850873563e-12
