# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:11:57+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhfar_One_BH_24x25x33.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 0 20	0	5 4.9375 5	-1.8091722510296e-12 -1.66954753705794e-10 1.5671728421346e-10
0	0	0 0 0	20 1 20	0	5 4.940625 5	-1.8091722510296e-12 -1.66954753705794e-10 1.5671728421346e-10
0	0	0 0 0	20 2 20	0	5 4.94375 5	4.00612702733394e-17 -6.68546164608874e-17 2.16250899565812e-16
0	0	0 0 0	20 3 20	0	5 4.946875 5	2.33238992355944e-17 -6.20976794291073e-17 1.08616728892313e-16
0	0	0 0 0	20 4 20	0	5 4.95 5	-1.30239785969821e-17 -6.77728001757111e-17 -1.81637745209212e-17
0	0	0 0 0	20 5 20	0	5 4.953125 5	-1.30510836512943e-17 -1.00593632815921e-17 9.59552803967562e-17
0	0	0 0 0	20 6 20	0	5 4.95625 5	-9.66295186227706e-18 -8.27585070785342e-17 1.51896724365219e-16
0	0	0 0 0	20 7 20	0	5 4.959375 5	6.7559347873003e-17 4.40931471022699e-17 6.4798020464954e-17
0	0	0 0 0	20 8 20	0	5 4.9625 5	4.18366513307844e-17 -2.78131738560422e-17 8.64312419378288e-17
0	0	0 0 0	20 9 20	0	5 4.965625 5	-1.42437060410283e-17 -6.82132573082833e-17 1.4179331537037e-17
0	0	0 0 0	20 10 20	0	5 4.96875 5	2.71457118936058e-17 5.7703272498752e-17 1.24056445454865e-16
0	0	0 0 0	20 11 20	0	5 4.971875 5	3.43692088677905e-17 -1.1697186188403e-16 4.50621527939288e-17
0	0	0 0 0	20 12 20	0	5 4.975 5	8.28059409235804e-18 -7.69986830372049e-17 3.50739402799061e-17
0	0	0 0 0	20 13 20	0	5 4.978125 5	5.54298360683214e-18 -2.68949901412185e-17 2.57159202786406e-18
0	0	0 0 0	20 14 20	0	5 4.98125 5	1.34305544116642e-17 5.44811591673966e-18 1.59360778696424e-16
0	0	0 0 0	20 15 20	0	5 4.984375 5	1.95562966862073e-17 6.43745039913268e-20 1.57131387979251e-16
0	0	0 0 0	20 16 20	0	5 4.9875 5	3.42336835962298e-17 -9.38580268193545e-17 5.49385569589139e-17
0	0	0 0 0	20 17 20	0	5 4.990625 5	-4.16062583691312e-18 -3.00595052321606e-17 4.67291136341252e-17
0	0	0 0 0	20 18 20	0	5 4.99375 5	4.07931067397671e-17 1.09412939862732e-16 1.76104925997747e-16
0	0	0 0 0	20 19 20	0	5 4.996875 5	-1.58022466639762e-17 -6.69562604145579e-17 3.45724967751315e-17
0	0	0 0 0	20 20 20	0	5 5 5	0 -1.35061097505593e-16 1.35061097505593e-16
0	0	0 0 0	20 21 20	0	5 5.003125 5	1.50297526160803e-17 -2.52551343553342e-17 7.27567420373554e-17
0	0	0 0 0	20 22 20	0	5 5.00625 5	6.01325629914773e-17 1.56768857877826e-17 8.36597501344127e-17
0	0	0 0 0	20 23 20	0	5 5.009375 5	6.41034534482054e-18 -2.31002825375193e-17 8.42255681431786e-17
0	0	0 0 0	20 24 20	0	5 5.0125 5	1.70084215808664e-17 -7.6226188989309e-17 1.23585495136191e-16
0	0	0 0 0	20 25 20	0	5 5.015625 5	2.96122718360103e-17 5.55009868358908e-17 1.33763443030399e-16
0	0	0 0 0	20 26 20	0	5 5.01875 5	-4.30563787748306e-17 -3.28411614309437e-17 -9.01243055878576e-19
0	0	0 0 0	20 27 20	0	5 5.021875 5	9.20081068625511e-17 -5.85469173142172e-17 1.82145964977565e-16
0	0	0 0 0	20 28 20	0	5 5.025 5	-2.8948198005363e-17 -5.8702771376512e-17 -2.80232380269613e-17
0	0	0 0 0	20 29 20	0	5 5.028125 5	-1.35660796832249e-17 -4.20602680288595e-17 -1.31459513413867e-17
0	0	0 0 0	20 30 20	0	5 5.03125 5	2.54516459990972e-17 2.0881056215713e-17 1.27363262080946e-16
0	0	0 0 0	20 31 20	0	5 5.034375 5	2.48282297499181e-17 -1.65035899443028e-16 1.53434936197433e-16
0	0	0 0 0	20 32 20	0	5 5.0375 5	1.56802739195716e-17 -2.56481576428602e-18 1.31049549467396e-16
0	0	0 0 0	20 33 20	0	5 5.040625 5	-1.00830802041152e-17 1.25594657287079e-16 -2.61055554343775e-17
0	0	0 0 0	20 34 20	0	5 5.04375 5	-2.80808362673746e-17 -1.54078681237346e-16 -2.87720151523341e-17
0	0	0 0 0	20 35 20	0	5 5.046875 5	2.71050543121376e-20 3.09675245516172e-17 8.46355320896497e-17
0	0	0 0 0	20 36 20	0	5 5.05 5	4.01561379634319e-17 9.95704170156375e-17 6.83047368665868e-17
0	0	0 0 0	20 37 20	0	5 5.053125 5	-5.05644788192927e-17 -1.2796973767118e-16 6.07864724267576e-17
0	0	0 0 0	20 38 20	0	5 5.05625 5	3.87602276663568e-17 1.65103662078808e-17 1.17266629349674e-16
0	0	0 0 0	20 39 20	0	5 5.059375 5	1.6588546129185e-12 -1.46273615758057e-10 1.55767685950753e-10
0	0	0 0 0	20 40 20	0	5 5.0625 5	1.6588546129185e-12 -1.46273615758057e-10 1.55767685950753e-10


