# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:12:12+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhfar_One_BH_32x33x41.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 20 20	0	4.9375 5 5	0 -0.00017358331223001 0.00017358331223001 -0.00080632248261682 0 0.00080632248261682
0	0	0 0 0	1 20 20	0	4.940625 5 5	0 -0.000173747647306896 0.000173747647306896 -0.000805786190408792 0 0.000805786190408792
0	0	0 0 0	2 20 20	0	4.94375 5 5	0 -0.000173911531842423 0.000173911531842423 -0.000805249536505109 0 0.000805249536505109
0	0	0 0 0	3 20 20	0	4.946875 5 5	0 -0.000174074965853389 0.000174074965853389 -0.000804712522725135 0 0.000804712522725135
0	0	0 0 0	4 20 20	0	4.95 5 5	0 -0.000174237949358888 0.000174237949358888 -0.000804175150887176 0 0.000804175150887176
0	0	0 0 0	5 20 20	0	4.953125 5 5	0 -0.000174400482380308 0.000174400482380308 -0.000803637422808461 0 0.000803637422808461
0	0	0 0 0	6 20 20	0	4.95625 5 5	0 -0.000174562564941324 0.000174562564941324 -0.000803099340305132 0 0.000803099340305132
0	0	0 0 0	7 20 20	0	4.959375 5 5	0 -0.000174724197067893 0.000174724197067893 -0.000802560905192237 0 0.000802560905192237
0	0	0 0 0	8 20 20	0	4.9625 5 5	0 -0.000174885378788254 0.000174885378788254 -0.000802022119283714 0 0.000802022119283714
0	0	0 0 0	9 20 20	0	4.965625 5 5	0 -0.000175046110132921 0.000175046110132921 -0.000801482984392388 0 0.000801482984392388
0	0	0 0 0	10 20 20	0	4.96875 5 5	0 -0.000175206391134677 0.000175206391134677 -0.00080094350232995 0 0.00080094350232995
0	0	0 0 0	11 20 20	0	4.971875 5 5	0 -0.000175366221828573 0.000175366221828573 -0.000800403674906959 0 0.000800403674906959
0	0	0 0 0	12 20 20	0	4.975 5 5	0 -0.000175525602251925 0.000175525602251925 -0.000799863503932821 0 0.000799863503932821
0	0	0 0 0	13 20 20	0	4.978125 5 5	0 -0.000175684532444302 0.000175684532444302 -0.000799322991215782 0 0.000799322991215782
0	0	0 0 0	14 20 20	0	4.98125 5 5	0 -0.000175843012447532 0.000175843012447532 -0.000798782138562924 0 0.000798782138562924
0	0	0 0 0	15 20 20	0	4.984375 5 5	0 -0.000176001042305691 0.000176001042305691 -0.000798240947780141 0 0.000798240947780141
0	0	0 0 0	16 20 20	0	4.9875 5 5	0 -0.000176158622065098 0.000176158622065098 -0.000797699420672144 0 0.000797699420672144
0	0	0 0 0	17 20 20	0	4.990625 5 5	0 -0.000176315751774317 0.000176315751774317 -0.000797157559042438 0 0.000797157559042438
0	0	0 0 0	18 20 20	0	4.99375 5 5	0 -0.000176472431484146 0.000176472431484146 -0.000796615364693321 0 0.000796615364693321
0	0	0 0 0	19 20 20	0	4.996875 5 5	0 -0.000176628661247614 0.000176628661247614 -0.000796072839425868 0 0.000796072839425868
0	0	0 0 0	20 20 20	0	5 5 5	0 -0.000176784441119983 0.000176784441119983 -0.000795529985039923 0 0.000795529985039923
0	0	0 0 0	21 20 20	0	5.003125 5 5	0 -0.000176939771158733 0.000176939771158733 -0.000794986803334088 0 0.000794986803334088
0	0	0 0 0	22 20 20	0	5.00625 5 5	0 -0.000177094651423565 0.000177094651423565 -0.000794443296105714 0 0.000794443296105714
0	0	0 0 0	23 20 20	0	5.009375 5 5	0 -0.000177249081976397 0.000177249081976397 -0.000793899465150893 0 0.000793899465150893
0	0	0 0 0	24 20 20	0	5.0125 5 5	0 -0.000177403062881354 0.000177403062881354 -0.000793355312264441 0 0.000793355312264441
0	0	0 0 0	25 20 20	0	5.015625 5 5	0 -0.000177556594204768 0.000177556594204768 -0.000792810839239894 0 0.000792810839239894
0	0	0 0 0	26 20 20	0	5.01875 5 5	0 -0.000177709676015172 0.000177709676015172 -0.000792266047869498 0 0.000792266047869498
0	0	0 0 0	27 20 20	0	5.021875 5 5	0 -0.000177862308383297 0.000177862308383297 -0.000791720939944196 0 0.000791720939944196
0	0	0 0 0	28 20 20	0	5.025 5 5	0 -0.000178014491382065 0.000178014491382065 -0.00079117551725362 0 0.00079117551725362
0	0	0 0 0	29 20 20	0	5.028125 5 5	0 -0.000178166225086585 0.000178166225086585 -0.000790629781586079 0 0.000790629781586079
0	0	0 0 0	30 20 20	0	5.03125 5 5	0 -0.000178317509574152 0.000178317509574152 -0.000790083734728553 0 0.000790083734728553
0	0	0 0 0	31 20 20	0	5.034375 5 5	0 -0.000178468344924239 0.000178468344924239 -0.00078953737846668 0 0.00078953737846668
0	0	0 0 0	32 20 20	0	5.0375 5 5	0 -0.000178618731218491 0.000178618731218491 -0.000788990714584747 0 0.000788990714584747
0	0	0 0 0	33 20 20	0	5.040625 5 5	0 -0.000178768668540725 0.000178768668540725 -0.00078844374486568 0 0.00078844374486568
0	0	0 0 0	34 20 20	0	5.04375 5 5	0 -0.000178918156976923 0.000178918156976923 -0.000787896471091037 0 0.000787896471091037
0	0	0 0 0	35 20 20	0	5.046875 5 5	0 -0.000179067196615226 0.000179067196615226 -0.000787348895040993 0 0.000787348895040993
0	0	0 0 0	36 20 20	0	5.05 5 5	0 -0.000179215787545932 0.000179215787545932 -0.000786801018494336 0 0.000786801018494336
0	0	0 0 0	37 20 20	0	5.053125 5 5	0 -0.000179363929861491 0.000179363929861491 -0.000786252843228452 0 0.000786252843228452
0	0	0 0 0	38 20 20	0	5.05625 5 5	0 -0.000179511623656498 0.000179511623656498 -0.000785704371019321 0 0.000785704371019321
0	0	0 0 0	39 20 20	0	5.059375 5 5	0 -0.000179658869027691 0.000179658869027691 -0.000785155603641503 0 0.000785155603641503
0	0	0 0 0	40 20 20	0	5.0625 5 5	0 -0.000179805666073947 0.000179805666073947 -0.000784606542868131 0 0.000784606542868131


