# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:12:12+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhfar_One_BH_32x33x41.par"
#
# ADMBASE::CURV y (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 0 20	0	5 4.9375 5	0 -0.000182294733488488 0.000179762862190037 -0.000808932879855164 -1.13142998649539e-05 0.000808932879855164
0	0	0 0 0	20 1 20	0	5 4.940625 5	0 -0.000182015389904035 0.000179613797953912 -0.000808262090792606 -1.07358665145329e-05 0.000808262090792606
0	0	0 0 0	20 2 20	0	5 4.94375 5	3.22574562815625e-20 -0.000181736451798456 0.000179464746150976 -0.00080759135767939 -1.01587836923278e-05 0.00080759135767939
0	0	0 0 0	20 3 20	0	5 4.946875 5	0 -0.000181457918768709 0.000179315707227689 -0.000806920682524602 -9.58304944052922e-06 0.000806920682524602
0	0	0 0 0	20 4 20	0	5 4.95 5	-3.22517275607791e-20 -0.000181179790411282 0.000179166681628935 -0.000806250067330206 -9.00866180100527e-06 0.000806250067330206
0	0	0 0 0	20 5 20	0	5 4.953125 5	0 -0.000180902066322203 0.000179017669798013 -0.000805579514091059 -8.43561881531765e-06 0.000805579514091059
0	0	0 0 0	20 6 20	0	5 4.95625 5	3.22460024060766e-20 -0.000180624746097037 0.000178868672176649 -0.00080490902479492 -7.86391852473683e-06 0.00080490902479492
0	0	0 0 0	20 7 20	0	5 4.959375 5	0 -0.000180347829330897 0.000178719689204993 -0.000804238601422467 -7.29355897026042e-06 0.000804238601422467
0	0	0 0 0	20 8 20	0	5 4.9625 5	0 -0.000180071315618445 0.000178570721321625 -0.000803568245947311 -6.7245381926262e-06 0.000803568245947311
0	0	0 0 0	20 9 20	0	5 4.965625 5	0 -0.0001797952045539 0.000178421768963558 -0.000802897960336009 -6.15685423233135e-06 0.000802897960336009
0	0	0 0 0	20 10 20	0	5 4.96875 5	-3.22345628357825e-20 -0.000179519495731037 0.000178272832566239 -0.000802227746548074 -5.59050512964499e-06 0.000802227746548073
0	0	0 0 0	20 11 20	0	5 4.971875 5	0 -0.000179244188743199 0.000178123912563554 -0.000801557606535993 -5.0254889246263e-06 0.000801557606535993
0	0	0 0 0	20 12 20	0	5 4.975 5	3.22288484404301e-20 -0.000178969283183294 0.000177975009387831 -0.00080088754224524 -4.46180365713903e-06 0.00080088754224524
0	0	0 0 0	20 13 20	0	5 4.978125 5	0 -0.000178694778643804 0.000177826123469841 -0.000800217555614286 -3.89944736686793e-06 0.000800217555614286
0	0	0 0 0	20 14 20	0	5 4.98125 5	0 -0.000178420674716791 0.000177677255238804 -0.000799547648574619 -3.33841809333377e-06 0.000799547648574619
0	0	0 0 0	20 15 20	0	5 4.984375 5	3.22202836128066e-20 -0.000178146970993895 0.000177528405122389 -0.00079887782305075 -2.77871387590856e-06 0.00079887782305075
0	0	0 0 0	20 16 20	0	5 4.9875 5	3.22174304793316e-20 -0.000177873667066347 0.000177379573546718 -0.000798208080960233 -2.22033275383169e-06 0.000798208080960233
0	0	0 0 0	20 17 20	0	5 4.990625 5	0 -0.000177600762524966 0.000177230760936372 -0.000797538424213675 -1.6632727662251e-06 0.000797538424213675
0	0	0 0 0	20 18 20	0	5 4.99375 5	3.22117269333608e-20 -0.000177328256960167 0.000177081967714389 -0.000796868854714751 -1.107531952108e-06 0.000796868854714751
0	0	0 0 0	20 19 20	0	5 4.996875 5	3.22088765233082e-20 -0.000177056149961966 0.00017693319430227 -0.000796199374360216 -5.53108350412956e-07 0.000796199374360216
0	0	0 0 0	20 20 20	0	5 5 5	0 -0.000176784441119983 0.000176784441119983 -0.000795529985039923 0 0.000795529985039923
0	0	0 0 0	20 21 20	0	5 5.003125 5	0 -0.000176513130023446 0.000176635708585962 -0.00079486068863683 5.51795060327194e-07 0.00079486068863683
0	0	0 0 0	20 22 20	0	5 5.00625 5	3.22003307594404e-20 -0.000176242216261197 0.000176486997117115 -0.000794191487027019 1.10227879180708e-06 0.000794191487027018
0	0	0 0 0	20 23 20	0	5 5.009375 5	0 -0.000175971699421695 0.000176338307128824 -0.000793522382079708 1.65145315570563e-06 0.000793522382079708
0	0	0 0 0	20 24 20	0	5 5.0125 5	3.21946381508079e-20 -0.000175701579093023 0.000176189639034948 -0.000792853375657265 2.19932011329981e-06 0.000792853375657265
0	0	0 0 0	20 25 20	0	5 5.015625 5	0 -0.000175431854862886 0.000176040993247827 -0.00079218446961522 2.745881625865e-06 0.00079218446961522
0	0	0 0 0	20 26 20	0	5 5.01875 5	-3.21889492071455e-20 -0.000175162526318624 0.000175892370178285 -0.000791515665802281 3.29113965465851e-06 0.000791515665802281
0	0	0 0 0	20 27 20	0	5 5.021875 5	0 -0.000174893593047209 0.000175743770235632 -0.000790846966060346 3.83509616090608e-06 0.000790846966060346
0	0	0 0 0	20 28 20	0	5 5.025 5	0 -0.000174625054635252 0.000175595193827671 -0.000790178372224517 4.37775310578664e-06 0.000790178372224517
0	0	0 0 0	20 29 20	0	5 5.028125 5	0 -0.000174356910669011 0.000175446641360693 -0.000789509886123116 4.91911245041776e-06 0.000789509886123116
0	0	0 0 0	20 30 20	0	5 5.03125 5	0 -0.000174089160734388 0.000175298113239488 -0.000788841509577694 5.4591761558419e-06 0.000788841509577694
0	0	0 0 0	20 31 20	0	5 5.034375 5	0 -0.000173821804416937 0.000175149609867344 -0.00078817324440305 5.99794618301101e-06 0.00078817324440305
0	0	0 0 0	20 32 20	0	5 5.0375 5	0 -0.000173554841301871 0.000175001131646053 -0.00078750509240724 6.53542449277352e-06 0.00078750509240724
0	0	0 0 0	20 33 20	0	5 5.040625 5	3.21690669020103e-20 -0.00017328827097406 0.000174852678975909 -0.000786837055391593 7.07161304585875e-06 0.000786837055391593
0	0	0 0 0	20 34 20	0	5 5.04375 5	0 -0.000173022093018042 0.000174704252255717 -0.000786169135150727 7.60651380286352e-06 0.000786169135150727
0	0	0 0 0	20 35 20	0	5 5.046875 5	0 -0.00017275630701802 0.000174555851882791 -0.000785501333472559 8.1401287242377e-06 0.000785501333472559
0	0	0 0 0	20 36 20	0	5 5.05 5	0 -0.000172490912557872 0.000174407478252959 -0.000784833652138317 8.67245977027072e-06 0.000784833652138317
0	0	0 0 0	20 37 20	0	5 5.053125 5	0 -0.000172225909221153 0.00017425913176057 -0.000784166092922564 9.20350890107691e-06 0.000784166092922564
0	0	0 0 0	20 38 20	0	5 5.05625 5	0 -0.0001719612965911 0.000174110812798488 -0.000783498657593198 9.7332780765822e-06 0.000783498657593198
0	0	0 0 0	20 39 20	0	5 5.059375 5	3.21520610538915e-20 -0.000171697074250632 0.000173962521758105 -0.000782831347911474 1.02617692565095e-05 0.000782831347911474
0	0	0 0 0	20 40 20	0	5 5.0625 5	0 -0.00017143324178236 0.000173814259029337 -0.000782164165632018 1.07889844003656e-05 0.000782164165632018


