# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:12:12+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhfar_One_BH_32x33x41.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.33908926024997 0 0 1.33908926024997 0 1.33908926024997
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.33897028226075 0 0 1.33897028226075 0 1.33897028226075
0	0	0 0 0	20 20 2	0	5 5 4.94375	1.33885134111343 0 0 1.33885134111343 0 1.33885134111343
0	0	0 0 0	20 20 3	0	5 5 4.946875	1.33873243686183 0 0 1.33873243686183 0 1.33873243686183
0	0	0 0 0	20 20 4	0	5 5 4.95	1.33861356955957 0 0 1.33861356955957 0 1.33861356955957
0	0	0 0 0	20 20 5	0	5 5 4.953125	1.33849473926006 0 0 1.33849473926006 0 1.33849473926006
0	0	0 0 0	20 20 6	0	5 5 4.95625	1.33837594601652 0 0 1.33837594601652 0 1.33837594601652
0	0	0 0 0	20 20 7	0	5 5 4.959375	1.33825718988194 0 0 1.33825718988194 0 1.33825718988194
0	0	0 0 0	20 20 8	0	5 5 4.9625	1.33813847090914 0 0 1.33813847090914 0 1.33813847090914
0	0	0 0 0	20 20 9	0	5 5 4.965625	1.33801978915072 0 0 1.33801978915072 0 1.33801978915072
0	0	0 0 0	20 20 10	0	5 5 4.96875	1.33790114465908 0 0 1.33790114465908 0 1.33790114465908
0	0	0 0 0	20 20 11	0	5 5 4.971875	1.33778253748641 0 0 1.33778253748641 0 1.33778253748641
0	0	0 0 0	20 20 12	0	5 5 4.975	1.33766396768472 0 0 1.33766396768472 0 1.33766396768472
0	0	0 0 0	20 20 13	0	5 5 4.978125	1.33754543530581 0 0 1.33754543530581 0 1.33754543530581
0	0	0 0 0	20 20 14	0	5 5 4.98125	1.33742694040127 0 0 1.33742694040127 0 1.33742694040127
0	0	0 0 0	20 20 15	0	5 5 4.984375	1.33730848302251 0 0 1.33730848302251 0 1.33730848302251
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.33719006322071 0 0 1.33719006322071 0 1.33719006322071
0	0	0 0 0	20 20 17	0	5 5 4.990625	1.33707168104688 0 0 1.33707168104688 0 1.33707168104688
0	0	0 0 0	20 20 18	0	5 5 4.99375	1.33695333655183 0 0 1.33695333655183 0 1.33695333655183
0	0	0 0 0	20 20 19	0	5 5 4.996875	1.33683502978615 0 0 1.33683502978615 0 1.33683502978615
0	0	0 0 0	20 20 20	0	5 5 5	1.33671676080025 0 0 1.33671676080025 0 1.33671676080025
0	0	0 0 0	20 20 21	0	5 5 5.003125	1.33659852964435 0 0 1.33659852964435 0 1.33659852964435
0	0	0 0 0	20 20 22	0	5 5 5.00625	1.33648033636844 0 0 1.33648033636844 0 1.33648033636844
0	0	0 0 0	20 20 23	0	5 5 5.009375	1.33636218102235 0 0 1.33636218102235 0 1.33636218102235
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.33624406365569 0 0 1.33624406365569 0 1.33624406365569
0	0	0 0 0	20 20 25	0	5 5 5.015625	1.33612598431788 0 0 1.33612598431788 0 1.33612598431788
0	0	0 0 0	20 20 26	0	5 5 5.01875	1.33600794305816 0 0 1.33600794305816 0 1.33600794305816
0	0	0 0 0	20 20 27	0	5 5 5.021875	1.33588993992556 0 0 1.33588993992556 0 1.33588993992556
0	0	0 0 0	20 20 28	0	5 5 5.025	1.33577197496891 0 0 1.33577197496891 0 1.33577197496891
0	0	0 0 0	20 20 29	0	5 5 5.028125	1.33565404823685 0 0 1.33565404823685 0 1.33565404823685
0	0	0 0 0	20 20 30	0	5 5 5.03125	1.33553615977785 0 0 1.33553615977785 0 1.33553615977785
0	0	0 0 0	20 20 31	0	5 5 5.034375	1.33541830964014 0 0 1.33541830964014 0 1.33541830964014
0	0	0 0 0	20 20 32	0	5 5 5.0375	1.33530049787181 0 0 1.33530049787181 0 1.33530049787181
0	0	0 0 0	20 20 33	0	5 5 5.040625	1.33518272452071 0 0 1.33518272452071 0 1.33518272452071
0	0	0 0 0	20 20 34	0	5 5 5.04375	1.33506498963452 0 0 1.33506498963452 0 1.33506498963452
0	0	0 0 0	20 20 35	0	5 5 5.046875	1.33494729326074 0 0 1.33494729326074 0 1.33494729326074
0	0	0 0 0	20 20 36	0	5 5 5.05	1.33482963544666 0 0 1.33482963544666 0 1.33482963544666
0	0	0 0 0	20 20 37	0	5 5 5.053125	1.33471201623938 0 0 1.33471201623938 0 1.33471201623938
0	0	0 0 0	20 20 38	0	5 5 5.05625	1.33459443568582 0 0 1.33459443568582 0 1.33459443568582
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.3344768938327 0 0 1.3344768938327 0 1.3344768938327
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.33435939072655 0 0 1.33435939072655 0 1.33435939072655


