# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:59:27+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhmid_One_BH_12x13x17.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	640 4 0	0	0 0 -0.0125	1.82777414617245 0 0 1.82777414617245 0 1.82777414617245
0	0	0 0 0	640 4 1	0	0 0 -0.009375	1.82794585901791 0 0 1.82794585901791 0 1.82794585901791
0	0	0 0 0	640 4 2	0	0 0 -0.00625	1.82811661929124 0 0 1.82811661929124 0 1.82811661929124
0	0	0 0 0	640 4 3	0	0 0 -0.003125	1.82828642528396 0 0 1.82828642528396 0 1.82828642528396
0	0	0 0 0	640 4 4	0	0 0 0	1.82845527529549 0 0 1.82845527529549 0 1.82845527529549
0	0	0 0 0	640 4 5	0	0 0 0.003125	1.82862316763316 0 0 1.82862316763316 0 1.82862316763316
0	0	0 0 0	640 4 6	0	0 0 0.00625	1.82879010061229 0 0 1.82879010061229 0 1.82879010061229
0	0	0 0 0	640 4 7	0	0 0 0.009375	1.82895607255622 0 0 1.82895607255622 0 1.82895607255622
0	0	0 0 0	640 4 8	0	0 0 0.0125	1.82912108179634 0 0 1.82912108179634 0 1.82912108179634


# iteration 1   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
1	0	0 0 0	640 4 0	0.00078125	0 0 -0.0125	1.82777414617245 0 0 1.82777414617245 0 1.82777414617245
1	0	0 0 0	640 4 1	0.00078125	0 0 -0.009375	1.82794585901791 0 0 1.82794585901791 0 1.82794585901791
1	0	0 0 0	640 4 2	0.00078125	0 0 -0.00625	1.82811661929124 0 0 1.82811661929124 0 1.82811661929124
1	0	0 0 0	640 4 3	0.00078125	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 4	0.00078125	0 0 0	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 5	0.00078125	0 0 0.003125	-nan -nan -nan -nan -nan -nan
