# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:59:35+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhmid_One_BH_16x17x25.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 4 4	0	-2 0 0	1.46091720866094 0 0 1.46091720866094 0 1.46091720866094
0	0	0 0 0	1 4 4	0	-1.996875 0 0	1.46124114314558 0 0 1.46124114314558 0 1.46124114314558
0	0	0 0 0	2 4 4	0	-1.99375 0 0	1.46156552502112 0 0 1.46156552502112 0 1.46156552502112
0	0	0 0 0	3 4 4	0	-1.990625 0 0	1.46189035520009 0 0 1.46189035520009 0 1.46189035520009
0	0	0 0 0	4 4 4	0	-1.9875 0 0	1.46221563459749 0 0 1.46221563459749 0 1.46221563459749
0	0	0 0 0	5 4 4	0	-1.984375 0 0	1.46254136413077 0 0 1.46254136413077 0 1.46254136413077
0	0	0 0 0	6 4 4	0	-1.98125 0 0	1.46286754471983 0 0 1.46286754471983 0 1.46286754471983
0	0	0 0 0	7 4 4	0	-1.978125 0 0	1.46319417728706 0 0 1.46319417728706 0 1.46319417728706
0	0	0 0 0	8 4 4	0	-1.975 0 0	1.46352126275732 0 0 1.46352126275732 0 1.46352126275732
0	0	0 0 0	9 4 4	0	-1.971875 0 0	1.46384880205795 0 0 1.46384880205795 0 1.46384880205795
0	0	0 0 0	10 4 4	0	-1.96875 0 0	1.46417679611881 0 0 1.46417679611881 0 1.46417679611881
0	0	0 0 0	11 4 4	0	-1.965625 0 0	1.46450524587223 0 0 1.46450524587223 0 1.46450524587223
0	0	0 0 0	12 4 4	0	-1.9625 0 0	1.46483415225309 0 0 1.46483415225309 0 1.46483415225309
0	0	0 0 0	13 4 4	0	-1.959375 0 0	1.46516351619876 0 0 1.46516351619876 0 1.46516351619876
0	0	0 0 0	14 4 4	0	-1.95625 0 0	1.46549333864915 0 0 1.46549333864915 0 1.46549333864915
0	0	0 0 0	15 4 4	0	-1.953125 0 0	1.46582362054672 0 0 1.46582362054672 0 1.46582362054672
0	0	0 0 0	16 4 4	0	-1.95 0 0	1.46615436283646 0 0 1.46615436283646 0 1.46615436283646
0	0	0 0 0	17 4 4	0	-1.946875 0 0	1.46648556646592 0 0 1.46648556646592 0 1.46648556646592
0	0	0 0 0	18 4 4	0	-1.94375 0 0	1.46681723238522 0 0 1.46681723238522 0 1.46681723238522
0	0	0 0 0	19 4 4	0	-1.940625 0 0	1.46714936154703 0 0 1.46714936154703 0 1.46714936154703
0	0	0 0 0	20 4 4	0	-1.9375 0 0	1.46748195490664 0 0 1.46748195490664 0 1.46748195490664
0	0	0 0 0	21 4 4	0	-1.934375 0 0	1.46781501342188 0 0 1.46781501342188 0 1.46781501342188
0	0	0 0 0	22 4 4	0	-1.93125 0 0	1.46814853805322 0 0 1.46814853805322 0 1.46814853805322
0	0	0 0 0	23 4 4	0	-1.928125 0 0	1.46848252976371 0 0 1.46848252976371 0 1.46848252976371
0	0	0 0 0	24 4 4	0	-1.925 0 0	1.46881698951903 0 0 1.46881698951903 0 1.46881698951903
0	0	0 0 0	25 4 4	0	-1.921875 0 0	1.46915191828748 0 0 1.46915191828748 0 1.46915191828748
0	0	0 0 0	26 4 4	0	-1.91875 0 0	1.46948731703998 0 0 1.46948731703998 0 1.46948731703998
0	0	0 0 0	27 4 4	0	-1.915625 0 0	1.46982318675011 0 0 1.46982318675011 0 1.46982318675011
0	0	0 0 0	28 4 4	0	-1.9125 0 0	1.47015952839409 0 0 1.47015952839409 0 1.47015952839409
0	0	0 0 0	29 4 4	0	-1.909375 0 0	1.4704963429508 0 0 1.4704963429508 0 1.4704963429508
0	0	0 0 0	30 4 4	0	-1.90625 0 0	1.47083363140179 0 0 1.47083363140179 0 1.47083363140179
0	0	0 0 0	31 4 4	0	-1.903125 0 0	1.47117139473128 0 0 1.47117139473128 0 1.47117139473128
0	0	0 0 0	32 4 4	0	-1.9 0 0	1.4715096339262 0 0 1.4715096339262 0 1.4715096339262
0	0	0 0 0	33 4 4	0	-1.896875 0 0	1.47184834997615 0 0 1.47184834997615 0 1.47184834997615
0	0	0 0 0	34 4 4	0	-1.89375 0 0	1.47218754387344 0 0 1.47218754387344 0 1.47218754387344
0	0	0 0 0	35 4 4	0	-1.890625 0 0	1.47252721661309 0 0 1.47252721661309 0 1.47252721661309
0	0	0 0 0	36 4 4	0	-1.8875 0 0	1.47286736919286 0 0 1.47286736919286 0 1.47286736919286
0	0	0 0 0	37 4 4	0	-1.884375 0 0	1.47320800261322 0 0 1.47320800261322 0 1.47320800261322
0	0	0 0 0	38 4 4	0	-1.88125 0 0	1.47354911787739 0 0 1.47354911787739 0 1.47354911787739
0	0	0 0 0	39 4 4	0	-1.878125 0 0	1.47389071599135 0 0 1.47389071599135 0 1.47389071599135
0	0	0 0 0	40 4 4	0	-1.875 0 0	1.47423279796383 0 0 1.47423279796383 0 1.47423279796383
0	0	0 0 0	41 4 4	0	-1.871875 0 0	1.47457536480632 0 0 1.47457536480632 0 1.47457536480632
0	0	0 0 0	42 4 4	0	-1.86875 0 0	1.4749184175331 0 0 1.4749184175331 0 1.4749184175331
0	0	0 0 0	43 4 4	0	-1.865625 0 0	1.47526195716124 0 0 1.47526195716124 0 1.47526195716124
0	0	0 0 0	44 4 4	0	-1.8625 0 0	1.47560598471059 0 0 1.47560598471059 0 1.47560598471059
0	0	0 0 0	45 4 4	0	-1.859375 0 0	1.47595050120383 0 0 1.47595050120383 0 1.47595050120383
0	0	0 0 0	46 4 4	0	-1.85625 0 0	1.47629550766645 0 0 1.47629550766645 0 1.47629550766645
0	0	0 0 0	47 4 4	0	-1.853125 0 0	1.47664100512674 0 0 1.47664100512674 0 1.47664100512674
0	0	0 0 0	48 4 4	0	-1.85 0 0	1.47698699461586 0 0 1.47698699461586 0 1.47698699461586
0	0	0 0 0	49 4 4	0	-1.846875 0 0	1.47733347716779 0 0 1.47733347716779 0 1.47733347716779
0	0	0 0 0	50 4 4	0	-1.84375 0 0	1.47768045381938 0 0 1.47768045381938 0 1.47768045381938
0	0	0 0 0	51 4 4	0	-1.840625 0 0	1.47802792561034 0 0 1.47802792561034 0 1.47802792561034
0	0	0 0 0	52 4 4	0	-1.8375 0 0	1.47837589358325 0 0 1.47837589358325 0 1.47837589358325
0	0	0 0 0	53 4 4	0	-1.834375 0 0	1.47872435878357 0 0 1.47872435878357 0 1.47872435878357
0	0	0 0 0	54 4 4	0	-1.83125 0 0	1.47907332225968 0 0 1.47907332225968 0 1.47907332225968
0	0	0 0 0	55 4 4	0	-1.828125 0 0	1.47942278506282 0 0 1.47942278506282 0 1.47942278506282
0	0	0 0 0	56 4 4	0	-1.825 0 0	1.47977274824718 0 0 1.47977274824718 0 1.47977274824718
0	0	0 0 0	57 4 4	0	-1.821875 0 0	1.48012321286985 0 0 1.48012321286985 0 1.48012321286985
0	0	0 0 0	58 4 4	0	-1.81875 0 0	1.48047417999088 0 0 1.48047417999088 0 1.48047417999088
0	0	0 0 0	59 4 4	0	-1.815625 0 0	1.48082565067323 0 0 1.48082565067323 0 1.48082565067323
0	0	0 0 0	60 4 4	0	-1.8125 0 0	1.48117762598284 0 0 1.48117762598284 0 1.48117762598284
0	0	0 0 0	61 4 4	0	-1.809375 0 0	1.48153010698859 0 0 1.48153010698859 0 1.48153010698859
0	0	0 0 0	62 4 4	0	-1.80625 0 0	1.48188309476237 0 0 1.48188309476237 0 1.48188309476237
0	0	0 0 0	63 4 4	0	-1.803125 0 0	1.48223659037901 0 0 1.48223659037901 0 1.48223659037901
0	0	0 0 0	64 4 4	0	-1.8 0 0	1.48259059491637 0 0 1.48259059491637 0 1.48259059491637
0	0	0 0 0	65 4 4	0	-1.796875 0 0	1.48294510945529 0 0 1.48294510945529 0 1.48294510945529
