# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:46:59+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhnear_One_BH_24x25x33.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	6572.30780479166 0 0 6572.30780479166 0 6572.30780479166
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	7890.66514954105 0 0 7890.66514954105 0 7890.66514954105
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	9577.96757600618 0 0 9577.96757600618 0 9577.96757600618
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	11769.2197577049 0 0 11769.2197577049 0 11769.2197577049
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	14661.803210476 0 0 14661.803210476 0 14661.803210476
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	18551.0966573343 0 0 18551.0966573343 0 18551.0966573343
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	23890.8989858178 0 0 23890.8989858178 0 23890.8989858178
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	31399.539703049 0 0 31399.539703049 0 31399.539703049
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	42253.7385668475 0 0 42253.7385668475 0 42253.7385668475
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	58459.287527213 0 0 58459.287527213 0 58459.287527213
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	83598.4839472183 0 0 83598.4839472183 0 83598.4839472183
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	124434.788582537 0 0 124434.788582537 0 124434.788582537
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	194627.385445777 0 0 194627.385445777 0 194627.385445777
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	324161.661338387 0 0 324161.661338387 0 324161.661338387
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	586240.545347324 0 0 586240.545347324 0 586240.545347324
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	1186490.48527324 0 0 1186490.48527324 0 1186490.48527324
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	2826853.8327186 0 0 2826853.8327186 0 2826853.8327186
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	8717504.53139482 0 0 8717504.53139482 0 8717504.53139482
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	43055154.479065 0 0 43055154.479065 0 43055154.479065
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	671964479.743221 0 0 671964479.743221 0 671964479.743221
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-nan -nan -nan -nan -nan -nan
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	671964479.743221 0 0 671964479.743221 0 671964479.743221
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	43055154.479065 0 0 43055154.479065 0 43055154.479065
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	8717504.53139482 0 0 8717504.53139482 0 8717504.53139482
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	2826853.8327186 0 0 2826853.8327186 0 2826853.8327186
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	1186490.48527324 0 0 1186490.48527324 0 1186490.48527324
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	586240.545347324 0 0 586240.545347324 0 586240.545347324
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	324161.661338387 0 0 324161.661338387 0 324161.661338387
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	194627.385445777 0 0 194627.385445777 0 194627.385445777
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	124434.788582537 0 0 124434.788582537 0 124434.788582537
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	83598.4839472183 0 0 83598.4839472183 0 83598.4839472183
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	58459.287527213 0 0 58459.287527213 0 58459.287527213
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	42253.7385668475 0 0 42253.7385668475 0 42253.7385668475
0	0	0 0 0	33 20 20	0	3.040625 0.5 0.5	31399.539703049 0 0 31399.539703049 0 31399.539703049
0	0	0 0 0	34 20 20	0	3.04375 0.5 0.5	23890.8989858178 0 0 23890.8989858178 0 23890.8989858178
0	0	0 0 0	35 20 20	0	3.046875 0.5 0.5	18551.0966573343 0 0 18551.0966573343 0 18551.0966573343
0	0	0 0 0	36 20 20	0	3.05 0.5 0.5	14661.803210476 0 0 14661.803210476 0 14661.803210476
0	0	0 0 0	37 20 20	0	3.053125 0.5 0.5	11769.2197577049 0 0 11769.2197577049 0 11769.2197577049
0	0	0 0 0	38 20 20	0	3.05625 0.5 0.5	9577.96757600618 0 0 9577.96757600618 0 9577.96757600618
0	0	0 0 0	39 20 20	0	3.059375 0.5 0.5	7890.66514954105 0 0 7890.66514954105 0 7890.66514954105
0	0	0 0 0	40 20 20	0	3.0625 0.5 0.5	6572.30780479166 0 0 6572.30780479166 0 6572.30780479166


