# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:00:35+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunfar_One_BH_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	4.9375 5 5	1.10565471215412e-09
0	0	0 0 0	1 20 20	0	4.940625 5 5	1.10565471215412e-09
0	0	0 0 0	2 20 20	0	4.94375 5 5	-7.34749771380361e-10
0	0	0 0 0	3 20 20	0	4.946875 5 5	-1.3692135605083e-10
0	0	0 0 0	4 20 20	0	4.95 5 5	-1.25529356844415e-10
0	0	0 0 0	5 20 20	0	4.953125 5 5	-4.05932235987775e-11
0	0	0 0 0	6 20 20	0	4.95625 5 5	1.83305539076666e-11
0	0	0 0 0	7 20 20	0	4.959375 5 5	-1.16249846174159e-09
0	0	0 0 0	8 20 20	0	4.9625 5 5	-9.47593119601762e-10
0	0	0 0 0	9 20 20	0	4.965625 5 5	-3.47899296214861e-10
0	0	0 0 0	10 20 20	0	4.96875 5 5	-1.21468003125613e-10
0	0	0 0 0	11 20 20	0	4.971875 5 5	-5.70777746523406e-10
0	0	0 0 0	12 20 20	0	4.975 5 5	-7.23583515503348e-11
0	0	0 0 0	13 20 20	0	4.978125 5 5	-9.05143738501699e-10
0	0	0 0 0	14 20 20	0	4.98125 5 5	-5.83617498584994e-10
0	0	0 0 0	15 20 20	0	4.984375 5 5	2.86047081867553e-10
0	0	0 0 0	16 20 20	0	4.9875 5 5	-7.28332062403053e-10
0	0	0 0 0	17 20 20	0	4.990625 5 5	2.79559520332169e-10
0	0	0 0 0	18 20 20	0	4.99375 5 5	-1.15132512052762e-09
0	0	0 0 0	19 20 20	0	4.996875 5 5	-1.16466484883143e-09
0	0	0 0 0	20 20 20	0	5 5 5	3.89507405660361e-11
0	0	0 0 0	21 20 20	0	5.003125 5 5	-8.364881602388e-10
0	0	0 0 0	22 20 20	0	5.00625 5 5	-3.89798341895877e-10
0	0	0 0 0	23 20 20	0	5.009375 5 5	-2.42787966121233e-10
0	0	0 0 0	24 20 20	0	5.0125 5 5	-1.39988211097455e-10
0	0	0 0 0	25 20 20	0	5.015625 5 5	-5.36626595612413e-10
0	0	0 0 0	26 20 20	0	5.01875 5 5	-3.64668978312708e-10
0	0	0 0 0	27 20 20	0	5.021875 5 5	-2.84061731643674e-11
0	0	0 0 0	28 20 20	0	5.025 5 5	-7.44933179355673e-10
0	0	0 0 0	29 20 20	0	5.028125 5 5	4.33365613676153e-10
0	0	0 0 0	30 20 20	0	5.03125 5 5	-8.60062685092777e-10
0	0	0 0 0	31 20 20	0	5.034375 5 5	-4.07171982404691e-10
0	0	0 0 0	32 20 20	0	5.0375 5 5	3.20862359101837e-10
0	0	0 0 0	33 20 20	0	5.040625 5 5	-1.11361251583397e-09
0	0	0 0 0	34 20 20	0	5.04375 5 5	1.76165581944514e-11
0	0	0 0 0	35 20 20	0	5.046875 5 5	-7.05496550058833e-10
0	0	0 0 0	36 20 20	0	5.05 5 5	-2.82096587293662e-10
0	0	0 0 0	37 20 20	0	5.053125 5 5	-6.42221955348974e-10
0	0	0 0 0	38 20 20	0	5.05625 5 5	-4.43663816388482e-12
0	0	0 0 0	39 20 20	0	5.059375 5 5	1.84679371402246e-09
0	0	0 0 0	40 20 20	0	5.0625 5 5	1.84679371402246e-09


