# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:02:45+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunfar_One_BH_30.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 20 20	0	4.9375 5 5	0 -6.81920069592551e-11 6.81920069592551e-11
0	0	0 0 0	1 20 20	0	4.940625 5 5	0 -6.81920069592551e-11 6.81920069592551e-11
0	0	0 0 0	2 20 20	0	4.94375 5 5	0 1.27393755267047e-18 -1.27393755267047e-18
0	0	0 0 0	3 20 20	0	4.946875 5 5	0 4.44658415990618e-17 -4.44658415990618e-17
0	0	0 0 0	4 20 20	0	4.95 5 5	0 -2.95038516187618e-17 2.95038516187618e-17
0	0	0 0 0	5 20 20	0	4.953125 5 5	0 -5.78625146928358e-17 5.78625146928358e-17
0	0	0 0 0	6 20 20	0	4.95625 5 5	0 9.62907054438689e-18 -9.62907054438689e-18
0	0	0 0 0	7 20 20	0	4.959375 5 5	0 -3.0930255101938e-17 3.0930255101938e-17
0	0	0 0 0	8 20 20	0	4.9625 5 5	0 -3.74896782454753e-17 3.74896782454753e-17
0	0	0 0 0	9 20 20	0	4.965625 5 5	0 5.24584444893533e-17 -5.24584444893533e-17
0	0	0 0 0	10 20 20	0	4.96875 5 5	0 9.78492460668168e-18 -9.78492460668168e-18
0	0	0 0 0	11 20 20	0	4.971875 5 5	0 -4.89923856691887e-17 4.89923856691887e-17
0	0	0 0 0	12 20 20	0	4.975 5 5	0 1.97561964617593e-17 -1.97561964617593e-17
0	0	0 0 0	13 20 20	0	4.978125 5 5	-1.16890546721093e-18 8.65023927053982e-17 -7.12388589958757e-17
0	0	0 0 0	14 20 20	0	4.98125 5 5	0 -2.61563774112128e-17 2.61563774112128e-17
0	0	0 0 0	15 20 20	0	4.984375 5 5	0 2.18534500391609e-17 -2.18534500391609e-17
0	0	0 0 0	16 20 20	0	4.9875 5 5	0 -9.76459581594757e-18 9.76459581594757e-18
0	0	0 0 0	17 20 20	0	4.990625 5 5	0 2.39473154847736e-17 -2.39473154847736e-17
0	0	0 0 0	18 20 20	0	4.99375 5 5	0 -2.22159801405858e-17 2.22159801405858e-17
0	0	0 0 0	19 20 20	0	4.996875 5 5	7.01343280326561e-19 1.37761438541439e-17 -1.57853060050311e-17
0	0	0 0 0	20 20 20	0	5 5 5	0 -3.22380739724987e-17 3.22380739724987e-17
0	0	0 0 0	21 20 20	0	5.003125 5 5	0 1.79977560632594e-17 -1.989172173332e-17
0	0	0 0 0	22 20 20	0	5.00625 5 5	0 2.22803546445771e-17 -2.22803546445771e-17
0	0	0 0 0	23 20 20	0	5.009375 5 5	-7.6232965252887e-19 4.23177660448248e-18 -7.35224598216733e-19
0	0	0 0 0	24 20 20	0	5.0125 5 5	0 -5.55213156266249e-17 5.55213156266249e-17
0	0	0 0 0	25 20 20	0	5.015625 5 5	0 4.057626630527e-17 -4.057626630527e-17
0	0	0 0 0	26 20 20	0	5.01875 5 5	0 -1.72150976199964e-17 1.72150976199964e-17
0	0	0 0 0	27 20 20	0	5.021875 5 5	3.04254234653745e-18 -4.5705897833842e-17 6.03765084802865e-17
0	0	0 0 0	28 20 20	0	5.025 5 5	0 -3.32036915323686e-18 3.32036915323686e-18
0	0	0 0 0	29 20 20	0	5.028125 5 5	0 2.20228566286118e-17 -2.20228566286118e-17
0	0	0 0 0	30 20 20	0	5.03125 5 5	0 1.65781288436612e-17 -1.65781288436612e-17
0	0	0 0 0	31 20 20	0	5.034375 5 5	3.3881317890172e-21 -4.39813387532323e-17 4.39813387532323e-17
0	0	0 0 0	32 20 20	0	5.0375 5 5	0 -2.50891158976724e-17 2.50891158976724e-17
0	0	0 0 0	33 20 20	0	5.040625 5 5	0 2.83925443919641e-17 -2.83925443919641e-17
0	0	0 0 0	34 20 20	0	5.04375 5 5	0 -1.37253218773087e-17 1.37253218773087e-17
0	0	0 0 0	35 20 20	0	5.046875 5 5	0 -4.90974177546483e-17 4.90974177546483e-17
0	0	0 0 0	36 20 20	0	5.05 5 5	0 2.59598657674498e-17 -2.59598657674498e-17
0	0	0 0 0	37 20 20	0	5.053125 5 5	0 1.60089227031063e-17 -1.60089227031063e-17
0	0	0 0 0	38 20 20	0	5.05625 5 5	1.17229359899995e-18 -4.20805968195936e-18 3.42167429372847e-17
0	0	0 0 0	39 20 20	0	5.059375 5 5	0 -6.75328888303909e-11 6.75328888303909e-11
0	0	0 0 0	40 20 20	0	5.0625 5 5	0 -6.75328888303909e-11 6.75328888303909e-11


