# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:11:42+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunfar_One_BH_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.4701575061418e-09
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.4701575061418e-09
0	0	0 0 0	20 20 2	0	5 5 4.94375	8.00195723394962e-10
0	0	0 0 0	20 20 3	0	5 5 4.946875	-5.1088046319622e-10
0	0	0 0 0	20 20 4	0	5 5 4.95	2.6795837942729e-10
0	0	0 0 0	20 20 5	0	5 5 4.953125	-3.03539617557371e-10
0	0	0 0 0	20 20 6	0	5 5 4.95625	-2.53611603662053e-10
0	0	0 0 0	20 20 7	0	5 5 4.959375	-5.44654033127483e-10
0	0	0 0 0	20 20 8	0	5 5 4.9625	3.40849044690435e-10
0	0	0 0 0	20 20 9	0	5 5 4.965625	-1.29173344474277e-10
0	0	0 0 0	20 20 10	0	5 5 4.96875	2.21114504738254e-10
0	0	0 0 0	20 20 11	0	5 5 4.971875	-2.80379246410565e-10
0	0	0 0 0	20 20 12	0	5 5 4.975	2.89891052196168e-10
0	0	0 0 0	20 20 13	0	5 5 4.978125	4.62023488968746e-10
0	0	0 0 0	20 20 14	0	5 5 4.98125	4.37507801239678e-10
0	0	0 0 0	20 20 15	0	5 5 4.984375	-1.90434711908153e-10
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.48476375667253e-10
0	0	0 0 0	20 20 17	0	5 5 4.990625	8.46319199467629e-11
0	0	0 0 0	20 20 18	0	5 5 4.99375	1.23847038887715e-10
0	0	0 0 0	20 20 19	0	5 5 4.996875	-3.43607938305323e-10
0	0	0 0 0	20 20 20	0	5 5 5	2.02995699881911e-10
0	0	0 0 0	20 20 21	0	5 5 5.003125	-1.29674606762599e-11
0	0	0 0 0	20 20 22	0	5 5 5.00625	-6.37755239806244e-10
0	0	0 0 0	20 20 23	0	5 5 5.009375	2.56412324228739e-10
0	0	0 0 0	20 20 24	0	5 5 5.0125	2.90152710446218e-11
0	0	0 0 0	20 20 25	0	5 5 5.015625	3.54146750394936e-10
0	0	0 0 0	20 20 26	0	5 5 5.01875	-4.45173093723343e-10
0	0	0 0 0	20 20 27	0	5 5 5.021875	5.75960608518877e-10
0	0	0 0 0	20 20 28	0	5 5 5.025	-3.78618682377971e-11
0	0	0 0 0	20 20 29	0	5 5 5.028125	-4.08205613611884e-10
0	0	0 0 0	20 20 30	0	5 5 5.03125	7.3890130255988e-11
0	0	0 0 0	20 20 31	0	5 5 5.034375	-3.20811678315177e-10
0	0	0 0 0	20 20 32	0	5 5 5.0375	3.32685972056389e-11
0	0	0 0 0	20 20 33	0	5 5 5.040625	7.28635182469908e-10
0	0	0 0 0	20 20 34	0	5 5 5.04375	-2.19689029171783e-10
0	0	0 0 0	20 20 35	0	5 5 5.046875	-9.82055058990487e-10
0	0	0 0 0	20 20 36	0	5 5 5.05	9.34129701196788e-10
0	0	0 0 0	20 20 37	0	5 5 5.053125	-5.27795927989882e-10
0	0	0 0 0	20 20 38	0	5 5 5.05625	7.62897623135288e-11
0	0	0 0 0	20 20 39	0	5 5 5.059375	2.2053556634699e-09
0	0	0 0 0	20 20 40	0	5 5 5.0625	2.2053556634699e-09


