# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:11:42+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunfar_One_BH_40.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 0 20	0	5 4.9375 5	-6.8091514279214e-13 -7.21210089499531e-11 6.79001608763644e-11
0	0	0 0 0	20 1 20	0	5 4.940625 5	-6.8091514279214e-13 -7.21210089499531e-11 6.79001608763644e-11
0	0	0 0 0	20 2 20	0	5 4.94375 5	4.7674402403261e-17 -4.23618117580821e-17 2.9347997556467e-17
0	0	0 0 0	20 3 20	0	5 4.946875 5	2.07150377580512e-17 2.93005637114208e-17 5.57246035339659e-17
0	0	0 0 0	20 4 20	0	5 4.95 5	2.54889154487764e-17 2.60852266436434e-17 6.67021505303816e-17
0	0	0 0 0	20 5 20	0	5 4.953125 5	2.3039296165317e-19 1.31120700234966e-17 -1.73065771782999e-17
0	0	0 0 0	20 6 20	0	5 4.95625 5	4.69256252778882e-18 -4.33443699768971e-17 4.26633554873046e-17
0	0	0 0 0	20 7 20	0	5 4.959375 5	2.26666016685251e-18 2.37745207635337e-17 6.68139588794192e-18
0	0	0 0 0	20 8 20	0	5 4.9625 5	3.00086832553254e-17 8.1142368215173e-17 4.65597070446744e-17
0	0	0 0 0	20 9 20	0	5 4.965625 5	-3.53009451097702e-17 -3.84383551464001e-17 -8.61263100768173e-18
0	0	0 0 0	20 10 20	0	5 4.96875 5	2.94360889829814e-17 -4.99037931204344e-17 2.89177048192618e-17
0	0	0 0 0	20 11 20	0	5 4.971875 5	-6.63396204289568e-18 1.30714124420284e-17 -1.17568173078897e-18
0	0	0 0 0	20 12 20	0	5 4.975 5	-1.36338423190052e-17 -6.42389787197661e-18 -3.3478130207279e-17
0	0	0 0 0	20 13 20	0	5 4.978125 5	2.1277467635028e-18 -1.60258633620514e-18 2.2070290473658e-17
0	0	0 0 0	20 14 20	0	5 4.98125 5	-1.4369066917222e-17 -1.8505975831612e-17 4.2351647362715e-19
0	0	0 0 0	20 15 20	0	5 4.984375 5	1.84111081415195e-17 2.30291317699499e-17 2.37304750502765e-17
0	0	0 0 0	20 16 20	0	5 4.9875 5	-2.80876125309526e-18 1.42572585681844e-17 -4.23211541766139e-17
0	0	0 0 0	20 17 20	0	5 4.990625 5	7.88757080483204e-18 2.08471748978228e-17 2.15485181781494e-18
0	0	0 0 0	20 18 20	0	5 4.99375 5	8.00276728565863e-18 -2.39100460350944e-17 2.54482578673082e-17
0	0	0 0 0	20 19 20	0	5 4.996875 5	-1.0842021724855e-17 -3.05778893958802e-17 -1.24378317974821e-17
0	0	0 0 0	20 20 20	0	5 5 5	0 -1.51178440425948e-17 1.51178440425948e-17
0	0	0 0 0	20 21 20	0	5 5.003125 5	2.4428430198814e-18 -7.03714972578873e-18 7.33903226819016e-17
0	0	0 0 0	20 22 20	0	5 5.00625 5	1.05235373366874e-17 1.56633332606265e-17 7.25805591843265e-17
0	0	0 0 0	20 23 20	0	5 5.009375 5	3.66968554068453e-17 -3.41388159061373e-17 4.52620525694808e-17
0	0	0 0 0	20 24 20	0	5 5.0125 5	2.68611088233284e-17 1.01847241577857e-17 9.95060425116462e-17
0	0	0 0 0	20 25 20	0	5 5.015625 5	-9.51726219534932e-18 3.03915421474843e-17 -4.87890977618477e-17
0	0	0 0 0	20 26 20	0	5 5.01875 5	-8.26704156520197e-19 -5.81234008405901e-17 -2.30731774832071e-17
0	0	0 0 0	20 27 20	0	5 5.021875 5	1.16551733542192e-18 4.87890977618477e-19 1.07064964532944e-18
0	0	0 0 0	20 28 20	0	5 5.025 5	-8.8836815508031e-18 8.59907848052566e-18 3.24515262752068e-17
0	0	0 0 0	20 29 20	0	5 5.028125 5	8.62279540304878e-18 3.14045935524004e-17 -2.85416221906809e-17
0	0	0 0 0	20 30 20	0	5 5.03125 5	1.22718133398203e-17 -1.5951324462693e-17 7.48912650644362e-17
0	0	0 0 0	20 31 20	0	5 5.034375 5	-1.21667812543608e-17 7.90112333198811e-18 -4.17790530903711e-17
0	0	0 0 0	20 32 20	0	5 5.0375 5	-5.72594272343907e-19 -5.02595469582812e-17 5.46200725707463e-17
0	0	0 0 0	20 33 20	0	5 5.040625 5	1.19194476337625e-17 -5.1804535054073e-18 8.61161456814502e-17
0	0	0 0 0	20 34 20	0	5 5.04375 5	-1.89735380184963e-19 7.3475025976627e-17 -2.53974358904729e-17
0	0	0 0 0	20 35 20	0	5 5.046875 5	-8.95822045016148e-18 -5.9678553331749e-17 2.18500619073719e-17
0	0	0 0 0	20 36 20	0	5 5.05 5	-8.06375365786094e-19 -1.27732568445948e-18 1.9298798670242e-17
0	0	0 0 0	20 37 20	0	5 5.053125 5	1.1621292036329e-18 -1.86110079170715e-17 2.53398376500596e-17
0	0	0 0 0	20 38 20	0	5 5.05625 5	1.27427636584937e-17 -2.63122314735076e-17 1.13519355591021e-16
0	0	0 0 0	20 39 20	0	5 5.059375 5	6.28825469342967e-13 -6.37806828802012e-11 6.7719900498207e-11
0	0	0 0 0	20 40 20	0	5 5.0625 5	6.28825469342967e-13 -6.37806828802012e-11 6.7719900498207e-11


