# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:59:24+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunmid_One_BH_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-1.36419922419639e-05
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-1.36419922419639e-05
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-1.15322333071877e-08
0	0	0 0 0	3 4 4	0	-1.990625 0 0	-1.12975913624247e-08
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-1.15034259895452e-08
0	0	0 0 0	5 4 4	0	-1.984375 0 0	-1.15105850684305e-08
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-1.15716798088084e-08
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-1.15301794778588e-08
0	0	0 0 0	8 4 4	0	-1.975 0 0	-1.16129353910921e-08
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-1.15836210345943e-08
0	0	0 0 0	10 4 4	0	-1.96875 0 0	-1.15959827573509e-08
0	0	0 0 0	11 4 4	0	-1.965625 0 0	-1.16937836358577e-08
0	0	0 0 0	12 4 4	0	-1.9625 0 0	-1.17474005800755e-08
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-1.19021843492106e-08
0	0	0 0 0	14 4 4	0	-1.95625 0 0	-1.1803138855182e-08
0	0	0 0 0	15 4 4	0	-1.953125 0 0	-1.17915860686768e-08
0	0	0 0 0	16 4 4	0	-1.95 0 0	-1.19734941128602e-08
0	0	0 0 0	17 4 4	0	-1.946875 0 0	-1.21085996229731e-08
0	0	0 0 0	18 4 4	0	-1.94375 0 0	-1.21863328039762e-08
0	0	0 0 0	19 4 4	0	-1.940625 0 0	-1.20437731454537e-08
0	0	0 0 0	20 4 4	0	-1.9375 0 0	-1.20309268103469e-08
0	0	0 0 0	21 4 4	0	-1.934375 0 0	-1.21342492442889e-08
0	0	0 0 0	22 4 4	0	-1.93125 0 0	-1.21317120516107e-08
0	0	0 0 0	23 4 4	0	-1.928125 0 0	-1.2392512210857e-08
0	0	0 0 0	24 4 4	0	-1.925 0 0	-1.2389152842518e-08
0	0	0 0 0	25 4 4	0	-1.921875 0 0	-1.23103733318253e-08
0	0	0 0 0	26 4 4	0	-1.91875 0 0	-1.24850405569532e-08
0	0	0 0 0	27 4 4	0	-1.915625 0 0	-1.25141224882608e-08
0	0	0 0 0	28 4 4	0	-1.9125 0 0	-1.24567006709597e-08
0	0	0 0 0	29 4 4	0	-1.909375 0 0	-1.26780109604985e-08
0	0	0 0 0	30 4 4	0	-1.90625 0 0	-1.27528106269592e-08
0	0	0 0 0	31 4 4	0	-1.903125 0 0	-1.26944617595548e-08
0	0	0 0 0	32 4 4	0	-1.9 0 0	-1.26670383487903e-08
0	0	0 0 0	33 4 4	0	-1.896875 0 0	-1.28074034155823e-08
0	0	0 0 0	34 4 4	0	-1.89375 0 0	-1.27514549752572e-08
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-1.2957404038616e-08
0	0	0 0 0	36 4 4	0	-1.8875 0 0	-1.28191001008693e-08
0	0	0 0 0	37 4 4	0	-1.884375 0 0	-1.3112863350706e-08
0	0	0 0 0	38 4 4	0	-1.88125 0 0	-1.30339463388918e-08
0	0	0 0 0	39 4 4	0	-1.878125 0 0	-1.30359048416961e-08
0	0	0 0 0	40 4 4	0	-1.875 0 0	-1.30485151572657e-08
0	0	0 0 0	41 4 4	0	-1.871875 0 0	-1.31834447664181e-08
0	0	0 0 0	42 4 4	0	-1.86875 0 0	-1.32562152088678e-08
0	0	0 0 0	43 4 4	0	-1.865625 0 0	-1.33568164722986e-08
0	0	0 0 0	44 4 4	0	-1.8625 0 0	-1.35052351524223e-08
0	0	0 0 0	45 4 4	0	-1.859375 0 0	-1.34463600393042e-08
0	0	0 0 0	46 4 4	0	-1.85625 0 0	-1.33729836371277e-08
0	0	0 0 0	47 4 4	0	-1.853125 0 0	-1.33993533074639e-08
0	0	0 0 0	48 4 4	0	-1.85 0 0	-1.33419927744738e-08
0	0	0 0 0	49 4 4	0	-1.846875 0 0	-1.36334686873241e-08
0	0	0 0 0	50 4 4	0	-1.84375 0 0	-1.34199593659901e-08
0	0	0 0 0	51 4 4	0	-1.840625 0 0	-1.3620793007374e-08
0	0	0 0 0	52 4 4	0	-1.8375 0 0	-1.36355305657698e-08
0	0	0 0 0	53 4 4	0	-1.834375 0 0	-1.38346323980132e-08
0	0	0 0 0	54 4 4	0	-1.83125 0 0	-1.37036264419299e-08
0	0	0 0 0	55 4 4	0	-1.828125 0 0	-1.37137023403788e-08
0	0	0 0 0	56 4 4	0	-1.825 0 0	-1.38930050797015e-08
0	0	0 0 0	57 4 4	0	-1.821875 0 0	-1.39987843816858e-08
0	0	0 0 0	58 4 4	0	-1.81875 0 0	-1.41606043280174e-08
0	0	0 0 0	59 4 4	0	-1.815625 0 0	-1.40367415468745e-08
0	0	0 0 0	60 4 4	0	-1.8125 0 0	-1.4035112808064e-08
0	0	0 0 0	61 4 4	0	-1.809375 0 0	-1.41340492920694e-08
0	0	0 0 0	62 4 4	0	-1.80625 0 0	-1.40772716539228e-08
0	0	0 0 0	63 4 4	0	-1.803125 0 0	-1.42400233549278e-08
0	0	0 0 0	64 4 4	0	-1.8 0 0	-1.40260091596733e-08
0	0	0 0 0	65 4 4	0	-1.796875 0 0	-1.41514072266036e-08
0	0	0 0 0	66 4 4	0	-1.79375 0 0	-1.43586174755628e-08
0	0	0 0 0	67 4 4	0	-1.790625 0 0	-1.43309831224236e-08
0	0	0 0 0	68 4 4	0	-1.7875 0 0	-1.41633219180592e-08
0	0	0 0 0	69 4 4	0	-1.784375 0 0	-1.43877767755374e-08
0	0	0 0 0	70 4 4	0	-1.78125 0 0	-1.44893429476767e-08
0	0	0 0 0	71 4 4	0	-1.778125 0 0	-1.43865884760785e-08
0	0	0 0 0	72 4 4	0	-1.775 0 0	-1.4470679751688e-08
0	0	0 0 0	73 4 4	0	-1.771875 0 0	-1.45543880558652e-08
0	0	0 0 0	74 4 4	0	-1.76875 0 0	-1.46004706380598e-08
0	0	0 0 0	75 4 4	0	-1.765625 0 0	-1.4839161538438e-08
0	0	0 0 0	76 4 4	0	-1.7625 0 0	-1.4673700102219e-08
0	0	0 0 0	77 4 4	0	-1.759375 0 0	-1.47881312750897e-08
0	0	0 0 0	78 4 4	0	-1.75625 0 0	-1.50001779053444e-08
0	0	0 0 0	79 4 4	0	-1.753125 0 0	-1.47836691222203e-08
0	0	0 0 0	80 4 4	0	-1.75 0 0	-1.51817618337935e-08
0	0	0 0 0	81 4 4	0	-1.746875 0 0	-1.48223079643461e-08
0	0	0 0 0	82 4 4	0	-1.74375 0 0	-1.51255810237894e-08
0	0	0 0 0	83 4 4	0	-1.740625 0 0	-1.50503568635552e-08
0	0	0 0 0	84 4 4	0	-1.7375 0 0	-1.51214825105939e-08
0	0	0 0 0	85 4 4	0	-1.734375 0 0	-1.52084499854821e-08
0	0	0 0 0	86 4 4	0	-1.73125 0 0	-1.52965282107509e-08
0	0	0 0 0	87 4 4	0	-1.728125 0 0	-1.51924233610101e-08
0	0	0 0 0	88 4 4	0	-1.725 0 0	-1.4998599320859e-08
0	0	0 0 0	89 4 4	0	-1.721875 0 0	-1.52905323541619e-08
0	0	0 0 0	90 4 4	0	-1.71875 0 0	-1.54795920248585e-08
0	0	0 0 0	91 4 4	0	-1.715625 0 0	-1.53796980012499e-08
0	0	0 0 0	92 4 4	0	-1.7125 0 0	-1.53742753528086e-08
0	0	0 0 0	93 4 4	0	-1.709375 0 0	-1.55065993101555e-08
0	0	0 0 0	94 4 4	0	-1.70625 0 0	-1.57391726596234e-08
0	0	0 0 0	95 4 4	0	-1.703125 0 0	-1.53459490809249e-08
0	0	0 0 0	96 4 4	0	-1.7 0 0	-1.54577621119811e-08
0	0	0 0 0	97 4 4	0	-1.696875 0 0	-1.56977296855709e-08
0	0	0 0 0	98 4 4	0	-1.69375 0 0	-1.5780316942049e-08
0	0	0 0 0	99 4 4	0	-1.690625 0 0	-1.58461927746156e-08
0	0	0 0 0	100 4 4	0	-1.6875 0 0	-1.55892165704108e-08
0	0	0 0 0	101 4 4	0	-1.684375 0 0	-1.59729592469349e-08
0	0	0 0 0	102 4 4	0	-1.68125 0 0	-1.59572363933602e-08
0	0	0 0 0	103 4 4	0	-1.678125 0 0	-1.56596319383917e-08
0	0	0 0 0	104 4 4	0	-1.675 0 0	-1.61067713749796e-08
0	0	0 0 0	105 4 4	0	-1.671875 0 0	-1.59788895864876e-08
0	0	0 0 0	106 4 4	0	-1.66875 0 0	-1.58746718270653e-08
0	0	0 0 0	107 4 4	0	-1.665625 0 0	-1.58985550696711e-08
0	0	0 0 0	108 4 4	0	-1.6625 0 0	-1.61066357612372e-08
0	0	0 0 0	109 4 4	0	-1.659375 0 0	-1.63320884177809e-08
0	0	0 0 0	110 4 4	0	-1.65625 0 0	-1.61501299278388e-08
0	0	0 0 0	111 4 4	0	-1.653125 0 0	-1.59619131384625e-08
0	0	0 0 0	112 4 4	0	-1.65 0 0	-1.64658813250895e-08
0	0	0 0 0	113 4 4	0	-1.646875 0 0	-1.62295437922122e-08
0	0	0 0 0	114 4 4	0	-1.64375 0 0	-1.61511121421487e-08
0	0	0 0 0	115 4 4	0	-1.640625 0 0	-1.65328319368108e-08
0	0	0 0 0	116 4 4	0	-1.6375 0 0	-1.63253040391664e-08
0	0	0 0 0	117 4 4	0	-1.634375 0 0	-1.65248365546766e-08
