# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:35:36+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunnear_One_BH_20.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	10.2597936003518 0 0 10.2597936003518 0 10.2597936003518
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	10.264922191408 0 0 10.264922191408 0 10.264922191408
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	10.2697460181698 0 0 10.2697460181698 0 10.2697460181698
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	10.2742637502434 0 0 10.2742637502434 0 10.2742637502434
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	10.2784741280278 0 0 10.2784741280278 0 10.2784741280278
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	10.2823759634918 0 0 10.2823759634918 0 10.2823759634918
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	10.28596814091 0 0 10.28596814091 0 10.28596814091
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	10.2892496175564 0 0 10.2892496175564 0 10.2892496175564
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	10.2922194243564 0 0 10.2922194243564 0 10.2922194243564
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	10.2948766664941 0 0 10.2948766664941 0 10.2948766664941
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	10.2972205239772 0 0 10.2972205239772 0 10.2972205239772
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	10.2992502521553 0 0 10.2992502521553 0 10.2992502521553
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	10.300965182195 0 0 10.300965182195 0 10.300965182195
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	10.3023647215071 0 0 10.3023647215071 0 10.3023647215071
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	10.3034483541291 0 0 10.3034483541291 0 10.3034483541291
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	10.3042156410597 0 0 10.3042156410597 0 10.3042156410597
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	10.3046662205471 0 0 10.3046662205471 0 10.3046662205471
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	10.304799808329 0 0 10.304799808329 0 10.304799808329
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	10.304616197825 0 0 10.304616197825 0 10.304616197825
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	10.3041152602815 0 0 10.3041152602815 0 10.3041152602815
0	0	0 0 0	20 20 20	0	3 0.5 0.5	10.3032969448674 0 0 10.3032969448674 0 10.3032969448674
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	10.302161278722 0 0 10.302161278722 0 10.302161278722
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	10.3007083669549 0 0 10.3007083669549 0 10.3007083669549
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	10.2989383925966 0 0 10.2989383925966 0 10.2989383925966
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	10.2968516165014 0 0 10.2968516165014 0 10.2968516165014
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	10.2944483772017 0 0 10.2944483772017 0 10.2944483772017
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	10.2917290907145 0 0 10.2917290907145 0 10.2917290907145
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	10.2886942502995 0 0 10.2886942502995 0 10.2886942502995
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	10.2853444261702 0 0 10.2853444261702 0 10.2853444261702
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	10.2816802651574 0 0 10.2816802651574 0 10.2816802651574
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	10.2777024903253 0 0 10.2777024903253 0 10.2777024903253
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	10.2734119005427 0 0 10.2734119005427 0 10.2734119005427
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	10.2688093700057 0 0 10.2688093700057 0 10.2688093700057
0	0	0 0 0	33 20 20	0	3.040625 0.5 0.5	10.2638958477178 0 0 10.2638958477178 0 10.2638958477178
0	0	0 0 0	34 20 20	0	3.04375 0.5 0.5	10.2586723569225 0 0 10.2586723569225 0 10.2586723569225
0	0	0 0 0	35 20 20	0	3.046875 0.5 0.5	10.2531399944937 0 0 10.2531399944937 0 10.2531399944937
0	0	0 0 0	36 20 20	0	3.05 0.5 0.5	10.2472999302813 0 0 10.2472999302813 0 10.2472999302813
0	0	0 0 0	37 20 20	0	3.053125 0.5 0.5	10.2411534064143 0 0 10.2411534064143 0 10.2411534064143
0	0	0 0 0	38 20 20	0	3.05625 0.5 0.5	10.2347017365625 0 0 10.2347017365625 0 10.2347017365625
0	0	0 0 0	39 20 20	0	3.059375 0.5 0.5	10.2279463051559 0 0 10.2279463051559 0 10.2279463051559
0	0	0 0 0	40 20 20	0	3.0625 0.5 0.5	10.2208885665646 0 0 10.2208885665646 0 10.2208885665646


