# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:37:46+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunnear_One_BH_30.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	3 0.4375 0.5	1.49423073480016e-05
0	0	0 0 0	20 1 20	0	3 0.440625 0.5	1.49423073480016e-05
0	0	0 0 0	20 2 20	0	3 0.44375 0.5	1.03313553473979e-08
0	0	0 0 0	20 3 20	0	3 0.446875 0.5	1.08747682523499e-08
0	0	0 0 0	20 4 20	0	3 0.45 0.5	1.11280740527301e-08
0	0	0 0 0	20 5 20	0	3 0.453125 0.5	1.1541301654823e-08
0	0	0 0 0	20 6 20	0	3 0.45625 0.5	1.18892673364821e-08
0	0	0 0 0	20 7 20	0	3 0.459375 0.5	1.22469761716908e-08
0	0	0 0 0	20 8 20	0	3 0.4625 0.5	1.25671318481832e-08
0	0	0 0 0	20 9 20	0	3 0.465625 0.5	1.28028299131982e-08
0	0	0 0 0	20 10 20	0	3 0.46875 0.5	1.31820028865994e-08
0	0	0 0 0	20 11 20	0	3 0.471875 0.5	1.33719879704709e-08
0	0	0 0 0	20 12 20	0	3 0.475 0.5	1.37105589550872e-08
0	0	0 0 0	20 13 20	0	3 0.478125 0.5	1.38487633717481e-08
0	0	0 0 0	20 14 20	0	3 0.48125 0.5	1.41545240025381e-08
0	0	0 0 0	20 15 20	0	3 0.484375 0.5	1.43761117415812e-08
0	0	0 0 0	20 16 20	0	3 0.4875 0.5	1.44321762878159e-08
0	0	0 0 0	20 17 20	0	3 0.490625 0.5	1.47345125876917e-08
0	0	0 0 0	20 18 20	0	3 0.49375 0.5	1.49771473515348e-08
0	0	0 0 0	20 19 20	0	3 0.496875 0.5	1.50140529711542e-08
0	0	0 0 0	20 20 20	0	3 0.5 0.5	1.51557614704728e-08
0	0	0 0 0	20 21 20	0	3 0.503125 0.5	1.52859844649699e-08
0	0	0 0 0	20 22 20	0	3 0.50625 0.5	1.52914246150365e-08
0	0	0 0 0	20 23 20	0	3 0.509375 0.5	1.55461418625477e-08
0	0	0 0 0	20 24 20	0	3 0.5125 0.5	1.55129919179528e-08
0	0	0 0 0	20 25 20	0	3 0.515625 0.5	1.56525073403881e-08
0	0	0 0 0	20 26 20	0	3 0.51875 0.5	1.56605135151044e-08
0	0	0 0 0	20 27 20	0	3 0.521875 0.5	1.56397313756402e-08
0	0	0 0 0	20 28 20	0	3 0.525 0.5	1.57681950120701e-08
0	0	0 0 0	20 29 20	0	3 0.528125 0.5	1.57275791147059e-08
0	0	0 0 0	20 30 20	0	3 0.53125 0.5	1.59036247402659e-08
0	0	0 0 0	20 31 20	0	3 0.534375 0.5	1.56573768869944e-08
0	0	0 0 0	20 32 20	0	3 0.5375 0.5	1.58065377917592e-08
0	0	0 0 0	20 33 20	0	3 0.540625 0.5	1.56146868534116e-08
0	0	0 0 0	20 34 20	0	3 0.54375 0.5	1.56239607965701e-08
0	0	0 0 0	20 35 20	0	3 0.546875 0.5	1.55047599919612e-08
0	0	0 0 0	20 36 20	0	3 0.55 0.5	1.55268517296886e-08
0	0	0 0 0	20 37 20	0	3 0.553125 0.5	1.53502520629407e-08
0	0	0 0 0	20 38 20	0	3 0.55625 0.5	1.53943592346318e-08
0	0	0 0 0	20 39 20	0	3 0.559375 0.5	9.868252860317e-06
0	0	0 0 0	20 40 20	0	3 0.5625 0.5	9.868252860317e-06


