# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:37:46+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunnear_One_BH_30.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	0 -3.29741259233636e-06 3.29741259233636e-06
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	0 -3.29741259233636e-06 3.29741259233636e-06
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	0 1.18103066389097e-10 -1.18103066389097e-10
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	0 1.21485400732257e-10 -1.21485400732257e-10
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	1.12757025938492e-17 1.24703758604128e-10 -1.24703919933411e-10
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	-8.67361737988404e-19 1.27762927841502e-10 -1.27762927841502e-10
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	-2.60208521396521e-18 1.30634435560606e-10 -1.30634538776653e-10
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	0 1.33340365658652e-10 -1.33340365658652e-10
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	8.67361737988404e-19 1.35855768475246e-10 -1.35855768475246e-10
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	0 1.38195307627931e-10 -1.38195307627931e-10
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	0 1.40344200670606e-10 -1.40344200670606e-10
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	0 1.42299057953599e-10 -1.42299057953599e-10
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	-4.33680868994202e-19 1.44060951536018e-10 -1.44060951536018e-10
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	0 1.45628742571902e-10 -1.45628742571902e-10
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	0 1.46997354392997e-10 -1.46997354392997e-10
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	4.33680868994202e-19 1.48165371464948e-10 -1.48165554478275e-10
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	1.95156391047391e-18 1.49129169950413e-10 -1.49129331279696e-10
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	0 1.49891518468059e-10 -1.49891518468059e-10
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	1.30104260698261e-18 1.50444223918911e-10 -1.50443632378205e-10
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	0 1.50796438704026e-10 -1.50796438704026e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 1.50943131257963e-10 -1.5094310436975e-10
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	-1.0842021724855e-19 1.5087841653133e-10 -1.5087841653133e-10
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	-2.81892564846231e-18 1.50608749430181e-10 -1.50609085099174e-10
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	-8.80914265144472e-20 1.50140298631196e-10 -1.50140298631196e-10
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	-1.02999206386123e-18 1.49458794299062e-10 -1.4945891312762e-10
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	-1.0842021724855e-19 1.48575261468831e-10 -1.48575261468831e-10
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	0 1.47487749443953e-10 -1.47487749443953e-10
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	1.47451495458029e-17 1.4620097493756e-10 -1.46199502157329e-10
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	0 1.44707015467538e-10 -1.44707015467538e-10
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	0 1.43021655282793e-10 -1.43021655282793e-10
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	0 1.41140017208274e-10 -1.41140017208274e-10
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	0 1.39066992296821e-10 -1.39066992296821e-10
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	4.33680868994202e-19 1.36798100625057e-10 -1.36798100625057e-10
0	0	0 0 0	33 20 20	0	3.040625 0.5 0.5	-4.33680868994202e-19 1.3434370629839e-10 -1.3434370629839e-10
0	0	0 0 0	34 20 20	0	3.04375 0.5 0.5	0 1.31707194629682e-10 -1.31707194629682e-10
0	0	0 0 0	35 20 20	0	3.046875 0.5 0.5	4.33680868994202e-19 1.28895668444207e-10 -1.28895668444207e-10
0	0	0 0 0	36 20 20	0	3.05 0.5 0.5	-1.12757025938492e-17 1.25899209460489e-10 -1.25899382932837e-10
0	0	0 0 0	37 20 20	0	3.053125 0.5 0.5	8.67361737988404e-19 1.22736564835135e-10 -1.22736564835135e-10
0	0	0 0 0	38 20 20	0	3.05625 0.5 0.5	1.73472347597681e-17 1.19409419852001e-10 -1.19409137959436e-10
0	0	0 0 0	39 20 20	0	3.059375 0.5 0.5	0 -3.30965866052971e-06 3.30965866052971e-06
0	0	0 0 0	40 20 20	0	3.0625 0.5 0.5	0 -3.30965866052971e-06 3.30965866052971e-06


