# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:46:43+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunnear_One_BH_40.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	4.39203846356311e-18 0 0 -0.300385469142601 0.0402301967601698 0.300385469142601
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	0 0 0 -0.298638539056268 0.0378526995758599 0.298638539056268
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	0 0 0 -0.29688203576871 0.0355160815677532 0.29688203576871
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	0 0 0 -0.29511666279364 0.033219972247597 0.29511666279364
0	0	0 0 0	20 20 4	0	3 0.5 0.45	0 0 0 -0.293343106370991 0.0309639945613824 0.293343106370991
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	-8.56386685554048e-18 0 0 -0.291562035645876 0.0287477653681009 0.291562035645876
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	0 0 0 -0.289774102855256 0.0265708959039366 0.289774102855256
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	0 0 0 -0.287979943521718 0.0244329922320404 0.287979943521718
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	0 0 0 -0.286180176653819 0.0223336556780514 0.286180176653819
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	0 0 0 -0.284375404952424 0.0202724832515371 0.284375404952424
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	0 0 0 -0.282566215022548 0.0182490680535396 0.282566215022548
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	-2.07712648510993e-17 0 0 -0.280753177590168 0.0162629996704238 0.280753177590168
0	0	0 0 0	20 20 12	0	3 0.5 0.475	0 0 0 -0.278936847723543 0.0143138645542345 0.278936847723543
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	0 0 0 -0.277117765058567 0.0124012463897737 0.277117765058567
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	0 0 0 -0.275296454027712 0.0105247264486244 0.275296454027712
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	0 0 0 -0.273473424092136 0.00868388393034504 0.273473424092136
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	1.21547213811775e-17 0 0 -0.271649169976547 0.00687829629107284 0.271649169976547
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	0 0 0 -0.269824171906428 0.00510753955977335 0.269824171906428
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	0 0 0 -0.267998895847265 0.00337118864238256 0.267998895847265
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	0 0 0 -0.266173793745401 0.00166881761408771 0.266173793745401
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0 0 -0.264349303770195 0 0.264349303770195
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	0 0 0 -0.262525850557158 -0.0016356909555289 0.262525850557158
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	0 0 0 -0.260703845451761 -0.00323868203068931 0.260703845451761
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	0 0 0 -0.258883686753614 -0.00480939977883918 0.258883686753614
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	0 0 0 -0.257065759960761 -0.00634827029171391 0.257065759960761
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	0 0 0 -0.25525043801381 -0.00785571897296291 0.25525043801381
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	1.54252082805087e-17 0 0 -0.253438081539665 -0.00933217032175427 0.253438081539665
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	1.5350025459273e-17 0 0 -0.251629039094613 -0.0107780477261895 0.251629039094613
0	0	0 0 0	20 20 28	0	3 0.5 0.525	0 0 0 -0.249823647406567 -0.0121937732662729 0.249823647406567
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	0 0 0 -0.248022231616234 -0.0135797675261773 0.248022231616234
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	0 0 0 -0.246225105517036 -0.0149364494155555 0.246225105517036
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	-7.52726686389757e-18 0 0 -0.244432571793584 -0.0162642359996426 0.244432571793584
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	0 0 0 -0.242644922258547 -0.0175635423379006 0.242644922258547
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	7.4549521667612e-18 0 0 -0.240862438087747 -0.0188347813309584 0.240862438087747
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	-7.41918072849889e-18 0 0 -0.239085390053344 -0.0200783635756005 0.239085390053344
