# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:46:43+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunnear_One_BH_40.par"
#
# ADMBASE::METRIC y (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 0 20	0	3 0.4375 0.5	11.3932700858303 0 0 11.3932700858303 0 11.3932700858303
0	0	0 0 0	20 1 20	0	3 0.440625 0.5	11.335451716701 0 0 11.335451716701 0 11.335451716701
0	0	0 0 0	20 2 20	0	3 0.44375 0.5	11.2779795134966 0 0 11.2779795134966 0 11.2779795134966
0	0	0 0 0	20 3 20	0	3 0.446875 0.5	11.2208545024277 0 0 11.2208545024277 0 11.2208545024277
0	0	0 0 0	20 4 20	0	3 0.45 0.5	11.1640775852426 0 0 11.1640775852426 0 11.1640775852426
0	0	0 0 0	20 5 20	0	3 0.453125 0.5	11.1076495428852 0 0 11.1076495428852 0 11.1076495428852
0	0	0 0 0	20 6 20	0	3 0.45625 0.5	11.0515710390953 0 0 11.0515710390953 0 11.0515710390953
0	0	0 0 0	20 7 20	0	3 0.459375 0.5	10.9958426239473 0 0 10.9958426239473 0 10.9958426239473
0	0	0 0 0	20 8 20	0	3 0.4625 0.5	10.9404647373303 0 0 10.9404647373303 0 10.9404647373303
0	0	0 0 0	20 9 20	0	3 0.465625 0.5	10.8854377123658 0 0 10.8854377123658 0 10.8854377123658
0	0	0 0 0	20 10 20	0	3 0.46875 0.5	10.8307617787647 0 0 10.8307617787647 0 10.8307617787647
0	0	0 0 0	20 11 20	0	3 0.471875 0.5	10.7764370661225 0 0 10.7764370661225 0 10.7764370661225
0	0	0 0 0	20 12 20	0	3 0.475 0.5	10.7224636071518 0 0 10.7224636071518 0 10.7224636071518
0	0	0 0 0	20 13 20	0	3 0.478125 0.5	10.6688413408529 0 0 10.6688413408529 0 10.6688413408529
0	0	0 0 0	20 14 20	0	3 0.48125 0.5	10.6155701156227 0 0 10.6155701156227 0 10.6155701156227
0	0	0 0 0	20 15 20	0	3 0.484375 0.5	10.5626496922997 0 0 10.5626496922997 0 10.5626496922997
0	0	0 0 0	20 16 20	0	3 0.4875 0.5	10.5100797471481 0 0 10.5100797471481 0 10.5100797471481
0	0	0 0 0	20 17 20	0	3 0.490625 0.5	10.4578598747792 0 0 10.4578598747792 0 10.4578598747792
0	0	0 0 0	20 18 20	0	3 0.49375 0.5	10.4059895910104 0 0 10.4059895910104 0 10.4059895910104
0	0	0 0 0	20 19 20	0	3 0.496875 0.5	10.3544683356634 0 0 10.3544683356634 0 10.3544683356634
0	0	0 0 0	20 20 20	0	3 0.5 0.5	10.3032954753001 0 0 10.3032954753001 0 10.3032954753001
0	0	0 0 0	20 21 20	0	3 0.503125 0.5	10.2524703058983 0 0 10.2524703058983 0 10.2524703058983
0	0	0 0 0	20 22 20	0	3 0.50625 0.5	10.2019920554658 0 0 10.2019920554658 0 10.2019920554658
0	0	0 0 0	20 23 20	0	3 0.509375 0.5	10.1518598865956 0 0 10.1518598865956 0 10.1518598865956
0	0	0 0 0	20 24 20	0	3 0.5125 0.5	10.1020728989608 0 0 10.1020728989608 0 10.1020728989608
0	0	0 0 0	20 25 20	0	3 0.515625 0.5	10.0526301317502 0 0 10.0526301317502 0 10.0526301317502
0	0	0 0 0	20 26 20	0	3 0.51875 0.5	10.0035305660464 0 0 10.0035305660464 0 10.0035305660464
0	0	0 0 0	20 27 20	0	3 0.521875 0.5	9.95477312714536 0 0 9.95477312714536 0 9.95477312714536
0	0	0 0 0	20 28 20	0	3 0.525 0.5	9.90635668681895 0 0 9.90635668681895 0 9.90635668681895
0	0	0 0 0	20 29 20	0	3 0.528125 0.5	9.85828006552142 0 0 9.85828006552142 0 9.85828006552142
0	0	0 0 0	20 30 20	0	3 0.53125 0.5	9.81054203453986 0 0 9.81054203453986 0 9.81054203453986
0	0	0 0 0	20 31 20	0	3 0.534375 0.5	9.7631413180898 0 0 9.7631413180898 0 9.7631413180898
0	0	0 0 0	20 32 20	0	3 0.5375 0.5	9.71607659535667 0 0 9.71607659535667 0 9.71607659535667
0	0	0 0 0	20 33 20	0	3 0.540625 0.5	9.66934650248369 0 0 9.66934650248369 0 9.66934650248369
0	0	0 0 0	20 34 20	0	3 0.54375 0.5	9.62294963450745 0 0 9.62294963450745 0 9.62294963450745
0	0	0 0 0	20 35 20	0	3 0.546875 0.5	9.57688454724144 0 0 9.57688454724144 0 9.57688454724144
0	0	0 0 0	20 36 20	0	3 0.55 0.5	9.5311497591088 0 0 9.5311497591088 0 9.5311497591088
0	0	0 0 0	20 37 20	0	3 0.553125 0.5	9.48574375292489 0 0 9.48574375292489 0 9.48574375292489
0	0	0 0 0	20 38 20	0	3 0.55625 0.5	9.44066497763069 0 0 9.44066497763069 0 9.44066497763069
0	0	0 0 0	20 39 20	0	3 0.559375 0.5	9.39591184997771 0 0 9.39591184997771 0 9.39591184997771
0	0	0 0 0	20 40 20	0	3 0.5625 0.5	9.3514827561655 0 0 9.3514827561655 0 9.3514827561655


