variables	global	near	mid	far
exename	manybhexe_puncpow			
domain		full	full	full
precis	1.00E-009			
nz	10			
puncpower	2			
xmin_shift		0.0625	1.0000	1.9375
xmax_shift		0.0625	1.0000	2.0625
ymin_shift		0.4375	0.0125	4.9375
ymax_shift		0.5625	0.0125	5.0625
zmin_shift		0.4375	0.0125	4.9375
zmax_shift		0.5625	0.0125	5.0625
dxyz		0.0031250	0.003125	0.0031250
xmin		2.9375000	-2.000000	4.9375000
ymin		0.4375000	-0.012500	4.9375000
zmin		0.4375000	-0.012500	4.9375000
xmax		3.0625000	2.000000	5.0625000
ymax		0.5625000	0.012500	5.0625000
zmax		0.5625000	0.012500	5.0625000
global_nx		41.0000000	1281.000000	41.0000000
global_ny		41.0000000	9.000000	41.0000000
global_nz		41.0000000	9.000000	41.0000000
out1D_xline_y		0.5000000	0.000000	5.0000000
out1D_xline_z		0.5000000	0.000000	5.0000000
out1D_yline_x		3.0000000	0.000000	5.0000000
out1D_yline_z		0.5000000	0.000000	5.0000000
out1D_zline_x		3.0000000	0.000000	5.0000000
out1D_zline_y		0.5000000	0.000000	5.0000000
