# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 26 2016 at 19:25:02+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/mysimname/manybhfar_mysimname_12x13x17.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 20 20	0	1.234375 5 5	-0.00102237002816821 -0.00312224783601231 -0.000902588433802808 0.00124077327929556 0.00124077327929556 -0.000218403251127345
0	0	0 0 0	1 20 20	0	1.23515625 5 5	-0.00102295312405138 -0.00312184694701888 -0.000902436444864524 0.0012414886723739 0.0012414886723739 -0.000218535548322518
0	0	0 0 0	2 20 20	0	1.2359375 5 5	-0.00102353610068211 -0.00312144583395319 -0.00090228437141338 0.00124220393553769 0.00124220393553769 -0.000218667834855578
0	0	0 0 0	3 20 20	0	1.23671875 5 5	-0.00102411895799233 -0.00312104449687134 -0.000902132213471959 0.00124291906871382 0.00124291906871382 -0.000218800110721493
0	0	0 0 0	4 20 20	0	1.2375 5 5	-0.00102470169591399 -0.00312064293582945 -0.000901979971062856 0.00124363407182923 0.00124363407182923 -0.000218932375915236
0	0	0 0 0	5 20 20	0	1.23828125 5 5	-0.00102528431437906 -0.00312024115088367 -0.00090182764420868 0.00124434894481084 0.00124434894481084 -0.000219064630431784
0	0	0 0 0	6 20 20	0	1.2390625 5 5	-0.0010258668133195 -0.0031198391420902 -0.000901675232932057 0.00124506368758562 0.00124506368758562 -0.000219196874266114
0	0	0 0 0	7 20 20	0	1.23984375 5 5	-0.00102644919266732 -0.00311943690950527 -0.00090152273725563 0.00124577830008052 0.00124577830008052 -0.000219329107413205
0	0	0 0 0	8 20 20	0	1.240625 5 5	-0.00102703145235452 -0.00311903445318514 -0.000901370157202053 0.00124649278222256 0.00124649278222256 -0.000219461329868041
0	0	0 0 0	9 20 20	0	1.24140625 5 5	-0.00102761359231312 -0.00311863177318611 -0.000901217492793999 0.00124720713393873 0.00124720713393873 -0.000219593541625607
0	0	0 0 0	10 20 20	0	1.2421875 5 5	-0.00102819561247518 -0.00311822886956451 -0.000901064744054156 0.00124792135515607 0.00124792135515607 -0.000219725742680891
0	0	0 0 0	11 20 20	0	1.24296875 5 5	-0.00102877751277274 -0.00311782574237671 -0.000900911911005224 0.00124863544580163 0.00124863544580163 -0.000219857933028883
0	0	0 0 0	12 20 20	0	1.24375 5 5	-0.00102935929313789 -0.00311742239167911 -0.000900758993669923 0.00124934940580246 0.00124934940580246 -0.000219990112664576
0	0	0 0 0	13 20 20	0	1.24453125 5 5	-0.0010299409535027 -0.00311701881752815 -0.000900605992070984 0.00125006323508566 0.00125006323508566 -0.000220122281582964
0	0	0 0 0	14 20 20	0	1.2453125 5 5	-0.00103052249379929 -0.0031166150199803 -0.000900452906231158 0.00125077693357833 0.00125077693357833 -0.000220254439779047
0	0	0 0 0	15 20 20	0	1.24609375 5 5	-0.00103110391395977 -0.00311621099909206 -0.000900299736173206 0.0012514905012076 0.00125149050120759 -0.000220386587247823
