# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 26 2016 at 19:25:02+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/mysimname/manybhfar_mysimname_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	1.234375 5 5	-4.79407584021872e-08
0	0	0 0 0	1 20 20	0	1.23515625 5 5	-4.79407584021872e-08
0	0	0 0 0	2 20 20	0	1.2359375 5 5	-4.66891919788357e-08
0	0	0 0 0	3 20 20	0	1.23671875 5 5	-4.95541208536287e-08
0	0	0 0 0	4 20 20	0	1.2375 5 5	-4.81381855729699e-08
0	0	0 0 0	5 20 20	0	1.23828125 5 5	-4.85862049079628e-08
0	0	0 0 0	6 20 20	0	1.2390625 5 5	-4.40869374084254e-08
0	0	0 0 0	7 20 20	0	1.23984375 5 5	-4.96696606848272e-08
0	0	0 0 0	8 20 20	0	1.240625 5 5	-4.72696260686691e-08
0	0	0 0 0	9 20 20	0	1.24140625 5 5	-4.74739931729565e-08
0	0	0 0 0	10 20 20	0	1.2421875 5 5	-4.56184677300156e-08
0	0	0 0 0	11 20 20	0	1.24296875 5 5	-4.67375292195569e-08
0	0	0 0 0	12 20 20	0	1.24375 5 5	-4.90543619812716e-08
0	0	0 0 0	13 20 20	0	1.24453125 5 5	-4.67199688568233e-08
0	0	0 0 0	14 20 20	0	1.2453125 5 5	-4.47689105321231e-08
0	0	0 0 0	15 20 20	0	1.24609375 5 5	-5.29002036144021e-08
0	0	0 0 0	16 20 20	0	1.246875 5 5	-4.59408361841511e-08
0	0	0 0 0	17 20 20	0	1.24765625 5 5	-4.50657737983006e-08
0	0	0 0 0	18 20 20	0	1.2484375 5 5	-5.07193451141906e-08
0	0	0 0 0	19 20 20	0	1.24921875 5 5	-4.6612909264502e-08
0	0	0 0 0	20 20 20	0	1.25 5 5	-4.71100860045463e-08
0	0	0 0 0	21 20 20	0	1.25078125 5 5	-4.79906754566181e-08
0	0	0 0 0	22 20 20	0	1.2515625 5 5	-5.10316341729525e-08
0	0	0 0 0	23 20 20	0	1.25234375 5 5	-4.87548817948095e-08
0	0	0 0 0	24 20 20	0	1.253125 5 5	-5.0193351240632e-08
0	0	0 0 0	25 20 20	0	1.25390625 5 5	-4.92757232586295e-08
0	0	0 0 0	26 20 20	0	1.2546875 5 5	-4.4521084507244e-08
0	0	0 0 0	27 20 20	0	1.25546875 5 5	-5.00715373896743e-08
0	0	0 0 0	28 20 20	0	1.25625 5 5	-4.9415675886692e-08
0	0	0 0 0	29 20 20	0	1.25703125 5 5	-4.69960028962602e-08
0	0	0 0 0	30 20 20	0	1.2578125 5 5	-4.72550996306163e-08
0	0	0 0 0	31 20 20	0	1.25859375 5 5	-4.90083033157502e-08
0	0	0 0 0	32 20 20	0	1.259375 5 5	-4.90717317908282e-08
0	0	0 0 0	33 20 20	0	1.26015625 5 5	-4.56683358494659e-08
0	0	0 0 0	34 20 20	0	1.2609375 5 5	-5.16818640681516e-08
0	0	0 0 0	35 20 20	0	1.26171875 5 5	-5.13408191053698e-08
0	0	0 0 0	36 20 20	0	1.2625 5 5	-4.523747703177e-08
0	0	0 0 0	37 20 20	0	1.26328125 5 5	-5.29938988223392e-08
0	0	0 0 0	38 20 20	0	1.2640625 5 5	-4.69910956046326e-08
0	0	0 0 0	39 20 20	0	1.26484375 5 5	-4.87241652534419e-08
0	0	0 0 0	40 20 20	0	1.265625 5 5	-4.87241652534419e-08


