# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 26 2016 at 19:24:52+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/mysimname/manybhmid_mysimname_12x13x17.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 4 4	0	-0.5 0 0	1.8629582987588 0 0 1.8629582987588 0 1.8629582987588
0	0	0 0 0	1 4 4	0	-0.49921875 0 0	1.86286361222419 0 0 1.86286361222419 0 1.86286361222419
0	0	0 0 0	2 4 4	0	-0.4984375 0 0	1.86276909407694 0 0 1.86276909407694 0 1.86276909407694
0	0	0 0 0	3 4 4	0	-0.49765625 0 0	1.86267474421522 0 0 1.86267474421522 0 1.86267474421522
0	0	0 0 0	4 4 4	0	-0.496875 0 0	1.86258056253739 0 0 1.86258056253739 0 1.86258056253739
0	0	0 0 0	5 4 4	0	-0.49609375 0 0	1.86248654894203 0 0 1.86248654894203 0 1.86248654894203
0	0	0 0 0	6 4 4	0	-0.4953125 0 0	1.86239270332793 0 0 1.86239270332793 0 1.86239270332793
0	0	0 0 0	7 4 4	0	-0.49453125 0 0	1.86229902559411 0 0 1.86229902559411 0 1.86229902559411
0	0	0 0 0	8 4 4	0	-0.49375 0 0	1.86220551563977 0 0 1.86220551563977 0 1.86220551563977
0	0	0 0 0	9 4 4	0	-0.49296875 0 0	1.86211217336435 0 0 1.86211217336435 0 1.86211217336435
0	0	0 0 0	10 4 4	0	-0.4921875 0 0	1.86201899866748 0 0 1.86201899866748 0 1.86201899866748
0	0	0 0 0	11 4 4	0	-0.49140625 0 0	1.86192599144901 0 0 1.86192599144901 0 1.86192599144901
0	0	0 0 0	12 4 4	0	-0.490625 0 0	1.861833151609 0 0 1.861833151609 0 1.861833151609
0	0	0 0 0	13 4 4	0	-0.48984375 0 0	1.86174047904772 0 0 1.86174047904772 0 1.86174047904772
0	0	0 0 0	14 4 4	0	-0.4890625 0 0	1.86164797366566 0 0 1.86164797366566 0 1.86164797366566
0	0	0 0 0	15 4 4	0	-0.48828125 0 0	1.86155563536348 0 0 1.86155563536348 0 1.86155563536348
0	0	0 0 0	16 4 4	0	-0.4875 0 0	1.86146346404211 0 0 1.86146346404211 0 1.86146346404211
0	0	0 0 0	17 4 4	0	-0.48671875 0 0	1.86137145960263 0 0 1.86137145960263 0 1.86137145960263
0	0	0 0 0	18 4 4	0	-0.4859375 0 0	1.86127962194637 0 0 1.86127962194637 0 1.86127962194637
0	0	0 0 0	19 4 4	0	-0.48515625 0 0	1.86118795097485 0 0 1.86118795097485 0 1.86118795097485
0	0	0 0 0	20 4 4	0	-0.484375 0 0	1.8610964465898 0 0 1.8610964465898 0 1.8610964465898
0	0	0 0 0	21 4 4	0	-0.48359375 0 0	1.86100510869316 0 0 1.86100510869316 0 1.86100510869316
0	0	0 0 0	22 4 4	0	-0.4828125 0 0	1.86091393718708 0 0 1.86091393718708 0 1.86091393718708
0	0	0 0 0	23 4 4	0	-0.48203125 0 0	1.86082293197391 0 0 1.86082293197391 0 1.86082293197391
0	0	0 0 0	24 4 4	0	-0.48125 0 0	1.86073209295621 0 0 1.86073209295621 0 1.86073209295621
0	0	0 0 0	25 4 4	0	-0.48046875 0 0	1.86064142003676 0 0 1.86064142003676 0 1.86064142003676
0	0	0 0 0	26 4 4	0	-0.4796875 0 0	1.86055091311851 0 0 1.86055091311851 0 1.86055091311851
0	0	0 0 0	27 4 4	0	-0.47890625 0 0	1.86046057210466 0 0 1.86046057210466 0 1.86046057210466
0	0	0 0 0	28 4 4	0	-0.478125 0 0	1.8603703968986 0 0 1.8603703968986 0 1.8603703968986
0	0	0 0 0	29 4 4	0	-0.47734375 0 0	1.86028038740391 0 0 1.86028038740391 0 1.86028038740391
0	0	0 0 0	30 4 4	0	-0.4765625 0 0	1.86019054352439 0 0 1.86019054352439 0 1.86019054352439
0	0	0 0 0	31 4 4	0	-0.47578125 0 0	1.86010086516405 0 0 1.86010086516405 0 1.86010086516405
0	0	0 0 0	32 4 4	0	-0.475 0 0	1.86001135222709 0 0 1.86001135222709 0 1.86001135222709
0	0	0 0 0	33 4 4	0	-0.47421875 0 0	1.85992200461793 0 0 1.85992200461793 0 1.85992200461793
0	0	0 0 0	34 4 4	0	-0.4734375 0 0	1.85983282224118 0 0 1.85983282224118 0 1.85983282224118
0	0	0 0 0	35 4 4	0	-0.47265625 0 0	1.85974380500166 0 0 1.85974380500166 0 1.85974380500166
