# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 27 2016 at 00:59:38+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/mysimname/manybhmid_mysimname_12x13x17.par"
#
# ADMBASE::METRIC y (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	640 0 4	0	0 -0.0125 0	1.83363347602236 0 0 1.83363347602236 0 1.83363347602236
0	0	0 0 0	640 1 4	0	0 -0.009375 0	1.83363736102779 0 0 1.83363736102779 0 1.83363736102779
0	0	0 0 0	640 2 4	0	0 -0.00625 0	1.83364013606231 0 0 1.83364013606231 0 1.83364013606231
0	0	0 0 0	640 3 4	0	0 -0.003125 0	1.83364180109528 0 0 1.83364180109528 0 1.83364180109528
0	0	0 0 0	640 4 4	0	0 0 0	1.83364235610831 0 0 1.83364235610831 0 1.83364235610831
0	0	0 0 0	640 5 4	0	0 0.003125 0	1.83364180109528 0 0 1.83364180109528 0 1.83364180109528
0	0	0 0 0	640 6 4	0	0 0.00625 0	1.83364013606231 0 0 1.83364013606231 0 1.83364013606231
0	0	0 0 0	640 7 4	0	0 0.009375 0	1.83363736102779 0 0 1.83363736102779 0 1.83363736102779
0	0	0 0 0	640 8 4	0	0 0.0125 0	1.83363347602236 0 0 1.83363347602236 0 1.83363347602236


# iteration 1   time 0.0001953125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
1	0	0 0 0	640 0 4	0.0001953125	0 -0.0125 0	1.83363347602236 0 0 1.83363347602236 0 1.83363347602236
1	0	0 0 0	640 1 4	0.0001953125	0 -0.009375 0	1.83363736102779 0 0 1.83363736102779 0 1.83363736102779
1	0	0 0 0	640 2 4	0.0001953125	0 -0.00625 0	1.83364013606231 0 0 1.83364013606231 0 1.83364013606231
1	0	0 0 0	640 3 4	0.0001953125	0 -0.003125 0	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 4	0.0001953125	0 0 0	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 5 4	0.0001953125	0 0.003125 0	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 6 4	0.0001953125	0 0.00625 0	1.83364013606231 0 0 1.83364013606231 0 1.83364013606231
1	0	0 0 0	640 7 4	0.0001953125	0 0.009375 0	1.83363736102779 0 0 1.83363736102779 0 1.83363736102779
1	0	0 0 0	640 8 4	0.0001953125	0 0.0125 0	1.83363347602236 0 0 1.83363347602236 0 1.83363347602236


# iteration 2   time 0.000390625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
2	0	0 0 0	640 0 4	0.000390625	0 -0.0125 0	1.83363347602236 0 0 1.83363347602236 0 1.83363347602236
2	0	0 0 0	640 1 4	0.000390625	0 -0.009375 0	1.83363736102779 0 0 1.83363736102779 0 1.83363736102779
2	0	0 0 0	640 2 4	0.000390625	0 -0.00625 0	1.83364013606231 0 0 1.83364013606231 0 1.83364013606231
2	0	0 0 0	640 3 4	0.000390625	0 -0.003125 0	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 4 4	0.000390625	0 0 0	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 5 4	0.000390625	0 0.003125 0	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 6 4	0.000390625	0 0.00625 0	1.83364013606231 0 0 1.83364013606231 0 1.83364013606231
2	0	0 0 0	640 7 4	0.000390625	0 0.009375 0	1.83363736102779 0 0 1.83363736102779 0 1.83363736102779
2	0	0 0 0	640 8 4	0.000390625	0 0.0125 0	1.83363347602236 0 0 1.83363347602236 0 1.83363347602236


# iteration 3   time 0.0005859375
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
3	0	0 0 0	640 0 4	0.0005859375	0 -0.0125 0	1.83363347602236 0 0 1.83363347602236 0 1.83363347602236
3	0	0 0 0	640 1 4	0.0005859375	0 -0.009375 0	1.83363736102779 0 0 1.83363736102779 0 1.83363736102779
3	0	0 0 0	640 2 4	0.0005859375	0 -0.00625 0	1.83364013606231 0 0 1.83364013606231 0 1.83364013606231
3	0	0 0 0	640 3 4	0.0005859375	0 -0.003125 0	-nan -nan -nan -nan -nan -nan
3	0	0 0 0	640 4 4	0.0005859375	0 0 0	-nan -nan -nan -nan -nan -nan
3	0	0 0 0	640 5 4	0.0005859375	0 0.003125 0	-nan -nan -nan -nan -nan -nan
3	0	0 0 0	640 6 4	0.0005859375	0 0.00625 0	1.83364013606231 0 0 1.83364013606231 0 1.83364013606231
3	0	0 0 0	640 7 4	0.0005859375	0 0.009375 0	1.83363736102779 0 0 1.83363736102779 0 1.83363736102779
3	0	0 0 0	640 8 4	0.0005859375	0 0.0125 0	1.83363347602236 0 0 1.83363347602236 0 1.83363347602236


# iteration 4   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
4	0	0 0 0	640 0 4	0.00078125	0 -0.0125 0	1.83363347602236 0 0 1.83363347602236 0 1.83363347602236
4	0	0 0 0	640 1 4	0.00078125	0 -0.009375 0	1.83363736102779 0 0 1.83363736102779 0 1.83363736102779
4	0	0 0 0	640 2 4	0.00078125	0 -0.00625 0	1.83364013606231 0 0 1.83364013606231 0 1.83364013606231
