# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 08:26:32+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/manybhfar_1bh_p0.1_dx0.0015625_near_12x13x17.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 20 20	0	4.9375 5 5	0.000690959084561977 0.00178312021822446 0.00178312021822446 -0.000345479542280989 0.00030037618130666 -0.000345479542280989
0	0	0 0 0	1 20 20	0	4.940625 5 5	0.000691985127553284 0.00178289243814051 0.00178289243814051 -0.000345992563776642 0.000300695489799403 -0.000345992563776642
0	0	0 0 0	2 20 20	0	4.94375 5 5	0.000693010716073571 0.00178266422141112 0.00178266422141112 -0.000346505358036786 0.000301014127659647 -0.000346505358036786
0	0	0 0 0	3 20 20	0	4.946875 5 5	0.000694035849252961 0.00178243556790488 0.00178243556790488 -0.000347017924626481 0.000301332094709489 -0.000347017924626481
0	0	0 0 0	4 20 20	0	4.95 5 5	0.000695060526221665 0.00178220647749145 0.00178220647749145 -0.000347530263110833 0.000301649390774093 -0.000347530263110833
0	0	0 0 0	5 20 20	0	4.953125 5 5	0.000696084746109993 0.00178197695004158 0.00178197695004158 -0.000348042373054996 0.000301966015681691 -0.000348042373054996
0	0	0 0 0	6 20 20	0	4.95625 5 5	0.000697108508048355 0.00178174698542711 0.00178174698542711 -0.000348554254024177 0.000302281969263578 -0.000348554254024177
0	0	0 0 0	7 20 20	0	4.959375 5 5	0.000698131811167268 0.00178151658352094 0.00178151658352094 -0.000349065905583634 0.000302597251354107 -0.000349065905583634
0	0	0 0 0	8 20 20	0	4.9625 5 5	0.000699154654597359 0.00178128574419709 0.00178128574419709 -0.000349577327298679 0.000302911861790688 -0.000349577327298679
0	0	0 0 0	9 20 20	0	4.965625 5 5	0.000700177037469367 0.00178105446733066 0.00178105446733066 -0.000350088518734684 0.000303225800413782 -0.000350088518734684
0	0	0 0 0	10 20 20	0	4.96875 5 5	0.000701198958914156 0.00178082275279786 0.00178082275279786 -0.000350599479457078 0.000303539067066901 -0.000350599479457078
0	0	0 0 0	11 20 20	0	4.971875 5 5	0.000702220418062709 0.00178059060047597 0.00178059060047597 -0.000351110209031354 0.000303851661596602 -0.000351110209031354
0	0	0 0 0	12 20 20	0	4.975 5 5	0.000703241414046139 0.00178035801024339 0.00178035801024339 -0.000351620707023069 0.000304163583852485 -0.000351620707023069
0	0	0 0 0	13 20 20	0	4.978125 5 5	0.000704261945995691 0.00178012498197963 0.00178012498197963 -0.000352130972997846 0.000304474833687187 -0.000352130972997846
0	0	0 0 0	14 20 20	0	4.98125 5 5	0.000705282013042748 0.00177989151556529 0.00177989151556529 -0.000352641006521374 0.000304785410956381 -0.000352641006521374
0	0	0 0 0	15 20 20	0	4.984375 5 5	0.000706301614318835 0.0017796576108821 0.0017796576108821 -0.000353150807159418 0.000305095315518771 -0.000353150807159418
0	0	0 0 0	16 20 20	0	4.9875 5 5	0.000707320748955624 0.00177942326781289 0.00177942326781289 -0.000353660374477812 0.00030540454723609 -0.000353660374477812
0	0	0 0 0	17 20 20	0	4.990625 5 5	0.000708339416084936 0.0017791884862416 0.0017791884862416 -0.000354169708042468 0.000305713105973094 -0.000354169708042468
0	0	0 0 0	18 20 20	0	4.99375 5 5	0.000709357614838749 0.00177895326605329 0.00177895326605329 -0.000354678807419375 0.000306020991597563 -0.000354678807419375
0	0	0 0 0	19 20 20	0	4.996875 5 5	0.000710375344349201 0.00177871760713415 0.00177871760713415 -0.0003551876721746 0.00030632820398029 -0.0003551876721746
0	0	0 0 0	20 20 20	0	5 5 5	0.000711392603748593 0.00177848150937148 0.00177848150937148 -0.000355696301874297 0.000306634742995083 -0.000355696301874297
0	0	0 0 0	21 20 20	0	5.003125 5 5	0.000712409392169398 0.00177824497265372 0.00177824497265372 -0.000356204696084699 0.000306940608518762 -0.000356204696084699
0	0	0 0 0	22 20 20	0	5.00625 5 5	0.000713425708744259 0.00177800799687043 0.00177800799687043 -0.00035671285437213 0.000307245800431151 -0.00035671285437213
0	0	0 0 0	23 20 20	0	5.009375 5 5	0.000714441552606002 0.00177777058191229 0.00177777058191229 -0.000357220776303001 0.000307550318615077 -0.000357220776303001
0	0	0 0 0	24 20 20	0	5.0125 5 5	0.00071545692288763 0.00177753272767113 0.00177753272767113 -0.000357728461443815 0.000307854162956366 -0.000357728461443815
0	0	0 0 0	25 20 20	0	5.015625 5 5	0.000716471818722339 0.00177729443403991 0.00177729443403991 -0.000358235909361169 0.000308157333343837 -0.000358235909361169
0	0	0 0 0	26 20 20	0	5.01875 5 5	0.000717486239243513 0.00177705570091273 0.00177705570091273 -0.000358743119621757 0.000308459829669305 -0.000358743119621757
0	0	0 0 0	27 20 20	0	5.021875 5 5	0.000718500183584734 0.00177681652818481 0.00177681652818481 -0.000359250091792367 0.000308761651827568 -0.000359250091792367
0	0	0 0 0	28 20 20	0	5.025 5 5	0.000719513650879786 0.00177657691575256 0.00177657691575256 -0.000359756825439893 0.000309062799716409 -0.000359756825439893
0	0	0 0 0	29 20 20	0	5.028125 5 5	0.000720526640262657 0.00177633686351348 0.00177633686351348 -0.000360263320131328 0.000309363273236592 -0.000360263320131328
0	0	0 0 0	30 20 20	0	5.03125 5 5	0.000721539150867546 0.00177609637136627 0.00177609637136627 -0.000360769575433773 0.000309663072291855 -0.000360769575433773
0	0	0 0 0	31 20 20	0	5.034375 5 5	0.000722551181828866 0.00177585543921073 0.00177585543921073 -0.000361275590914433 0.000309962196788911 -0.000361275590914433
0	0	0 0 0	32 20 20	0	5.0375 5 5	0.000723562732281252 0.00177561406694786 0.00177561406694786 -0.000361781366140626 0.000310260646637438 -0.000361781366140626
0	0	0 0 0	33 20 20	0	5.040625 5 5	0.00072457380135956 0.00177537225447978 0.00177537225447978 -0.00036228690067978 0.000310558421750081 -0.00036228690067978
0	0	0 0 0	34 20 20	0	5.04375 5 5	0.000725584388198876 0.00177513000170979 0.00177513000170979 -0.000362792194099438 0.000310855522042444 -0.000362792194099438
0	0	0 0 0	35 20 20	0	5.046875 5 5	0.00072659449193452 0.00177488730854234 0.00177488730854234 -0.00036329724596726 0.000311151947433088 -0.00036329724596726
0	0	0 0 0	36 20 20	0	5.05 5 5	0.000727604111702048 0.00177464417488304 0.00177464417488304 -0.000363802055851024 0.000311447697843527 -0.000363802055851024
