# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 08:26:32+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/manybhfar_1bh_p0.1_dx0.0015625_near_12x13x17.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	0.000723888513268071 0.00180972128317018 0.00178709976713055 -0.000358026417652157 0.000311455878810961 -0.000365862095615914
0	0	0 0 0	20 20 1	0	5 5 4.940625	0.000723258766706993 0.00180814691676748 0.00178667517213087 -0.000357911504994349 0.000311214450844661 -0.000365347261712644
0	0	0 0 0	20 20 2	0	5 5 4.94375	0.000722629542208465 0.00180657385552116 0.00178624989964655 -0.000357796421525121 0.000310973058685911 -0.000364833120683344
0	0	0 0 0	20 20 3	0	5 5 4.946875	0.000722000839627666 0.00180500209906916 0.00178582395176656 -0.000357681167765725 0.000310731702886558 -0.000364319671861941
0	0	0 0 0	20 20 4	0	5 5 4.95	0.000721372658818709 0.00180343164704677 0.00178539733057631 -0.000357565744236864 0.000310490383996575 -0.000363806914581845
0	0	0 0 0	20 20 5	0	5 5 4.953125	0.000720744999634651 0.00180186249908663 0.00178497003815769 -0.00035745015145869 0.000310249102564061 -0.000363294848175961
0	0	0 0 0	20 20 6	0	5 5 4.95625	0.000720117861927494 0.00180029465481873 0.00178454207658907 -0.000357334389950808 0.00031000785913525 -0.000362783471976686
0	0	0 0 0	20 20 7	0	5 5 4.959375	0.000719491245548189 0.00179872811387047 0.00178411344794527 -0.000357218460232267 0.000309766654254509 -0.000362272785315922
0	0	0 0 0	20 20 8	0	5 5 4.9625	0.000718865150346642 0.0017971628758666 0.00178368415429761 -0.000357102362821563 0.000309525488464345 -0.000361762787525079
0	0	0 0 0	20 20 9	0	5 5 4.965625	0.000718239576171717 0.00179559894042929 0.00178325419771384 -0.000356986098236639 0.000309284362305409 -0.000361253477935078
0	0	0 0 0	20 20 10	0	5 5 4.96875	0.000717614522871239 0.0017940363071781 0.00178282358025823 -0.000356869666994877 0.000309043276316495 -0.000360744855876362
0	0	0 0 0	20 20 11	0	5 5 4.971875	0.000716989990292001 0.00179247497573 0.00178239230399152 -0.000356753069613104 0.00030880223103455 -0.000360236920678897
0	0	0 0 0	20 20 12	0	5 5 4.975	0.000716365978279763 0.00179091494569941 0.00178196037097091 -0.000356636306607584 0.000308561226994671 -0.000359729671672179
0	0	0 0 0	20 20 13	0	5 5 4.978125	0.000715742486679262 0.00178935621669815 0.0017815277832501 -0.000356519378494021 0.000308320264730113 -0.000359223108185241
0	0	0 0 0	20 20 14	0	5 5 4.98125	0.000715119515334212 0.00178779878833553 0.00178109454287927 -0.000356402285787554 0.000308079344772291 -0.000358717229546657
0	0	0 0 0	20 20 15	0	5 5 4.984375	0.000714497064087308 0.00178624266021827 0.00178066065190509 -0.00035628502900276 0.000307838467650783 -0.000358212035084548
0	0	0 0 0	20 20 16	0	5 5 4.9875	0.000713875132780232 0.00178468783195058 0.0017802261123707 -0.000356167608653647 0.000307597633893335 -0.000357707524126585
0	0	0 0 0	20 20 17	0	5 5 4.990625	0.000713253721253658 0.00178313430313415 0.00177979092631577 -0.000356050025253658 0.000307356844025862 -0.000357203696
0	0	0 0 0	20 20 18	0	5 5 4.99375	0.00071263282934725 0.00178158207336812 0.00177935509577641 -0.000355932279315664 0.000307116098572454 -0.000356700550031586
0	0	0 0 0	20 20 19	0	5 5 4.996875	0.000712012456899673 0.00178003114224918 0.00177891862278528 -0.000355814371351967 0.000306875398055378 -0.000356198085547706
0	0	0 0 0	20 20 20	0	5 5 5	0.000711392603748593 0.00177848150937148 0.00177848150937148 -0.000355696301874297 0.000306634742995083 -0.000355696301874297
0	0	0 0 0	20 20 21	0	5 5 5.003125	0.000710773269730682 0.00177693317432671 0.00177804375756066 -0.000355578071393809 0.000306394133910202 -0.000355195198336873
0	0	0 0 0	20 20 22	0	5 5 5.00625	0.000710154454681622 0.00177538613670405 0.00177760536937493 -0.000355459680421085 0.000306153571317554 -0.000354694774260537
0	0	0 0 0	20 20 23	0	5 5 5.009375	0.000709536158436106 0.00177384039609027 0.00177716634683294 -0.000355341129466129 0.000305913055732152 -0.000354195028969977
0	0	0 0 0	20 20 24	0	5 5 5.0125	0.000708918380827851 0.00177229595206963 0.0017767266919498 -0.000355222419038369 0.000305672587667203 -0.000353695961789482
0	0	0 0 0	20 20 25	0	5 5 5.015625	0.00070830112168959 0.00177075280422397 0.00177628640673717 -0.000355103549646652 0.000305432167634114 -0.000353197572042938
0	0	0 0 0	20 20 26	0	5 5 5.01875	0.000707684380853082 0.00176921095213271 0.0017758454932032 -0.000354984521799244 0.000305191796142491 -0.000352699859053838
0	0	0 0 0	20 20 27	0	5 5 5.021875	0.000707068158149118 0.0017676703953728 0.00177540395335255 -0.000354865336003832 0.000304951473700148 -0.000352202822145286
0	0	0 0 0	20 20 28	0	5 5 5.025	0.000706452453407521 0.0017661311335188 0.0017749617891864 -0.000354745992767517 0.000304711200813107 -0.000351706460640004
0	0	0 0 0	20 20 29	0	5 5 5.028125	0.00070583726645715 0.00176459316614288 0.00177451900270243 -0.000354626492596817 0.000304470977985602 -0.000351210773860334
0	0	0 0 0	20 20 30	0	5 5 5.03125	0.000705222597125906 0.00176305649281477 0.00177407559589486 -0.000354506835997661 0.000304230805720083 -0.000350715761128245
0	0	0 0 0	20 20 31	0	5 5 5.034375	0.000704608445240737 0.00176152111310184 0.00177363157075442 -0.000354387023475395 0.000303990684517223 -0.000350221421765342
0	0	0 0 0	20 20 32	0	5 5 5.0375	0.000703994810627634 0.00175998702656909 0.00177318692926835 -0.000354267055534772 0.000303750614875912 -0.000349727755092861
0	0	0 0 0	20 20 33	0	5 5 5.040625	0.000703381693111647 0.00175845423277912 0.00177274167342045 -0.00035414693267996 0.000303510597293271 -0.000349234760431687
0	0	0 0 0	20 20 34	0	5 5 5.04375	0.000702769092516877 0.00175692273129219 0.001772295805191 -0.00035402665541453 0.000303270632264649 -0.000348742437102347
0	0	0 0 0	20 20 35	0	5 5 5.046875	0.00070215700866649 0.00175539252166622 0.00177184932655685 -0.000353906224241465 0.000303030720283629 -0.000348250784425026
0	0	0 0 0	20 20 36	0	5 5 5.05	0.000701545441382713 0.00175386360345678 0.00177140223949135 -0.000353785639663151 0.000302790861842032 -0.000347759801719562
0	0	0 0 0	20 20 37	0	5 5 5.053125	0.00070093439048684 0.0017523359762171 0.00177095454596441 -0.000353664902181381 0.000302551057429918 -0.000347269488305459
0	0	0 0 0	20 20 38	0	5 5 5.05625	0.000700323855799241 0.0017508096394981 0.00177050624794246 -0.000353544012297351 0.000302311307535591 -0.000346779843501889
0	0	0 0 0	20 20 39	0	5 5 5.059375	0.000699713837139355 0.00174928459284839 0.00177005734738846 -0.000353422970511659 0.000302071612645604 -0.000346290866627696
0	0	0 0 0	20 20 40	0	5 5 5.0625	0.000699104334325707 0.00174776083581427 0.00176960784626195 -0.000353301777324305 0.000301831973244759 -0.000345802557001402


