# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 08:26:36+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/manybhfar_1bh_p0.1_dx0.0015625_near_16x17x25.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 20 20	0	4.9375 5 5	1.32920050348519e-10 4.43621650644734e-11 4.43621650373684e-11
0	0	0 0 0	1 20 20	0	4.940625 5 5	1.32920050348519e-10 4.43621650644734e-11 4.43621650373684e-11
0	0	0 0 0	2 20 20	0	4.94375 5 5	-9.00739064656505e-17 -5.62158826433734e-17 -5.62158826433734e-17
0	0	0 0 0	3 20 20	0	4.946875 5 5	-1.50959254575217e-16 -1.8671316662916e-16 -1.8671316662916e-16
0	0	0 0 0	4 20 20	0	4.95 5 5	-1.36283144812492e-16 1.00695276769591e-16 1.00708829296747e-16
0	0	0 0 0	5 20 20	0	4.953125 5 5	6.42549799784633e-17 6.24771501894772e-17 6.24771501894772e-17
0	0	0 0 0	6 20 20	0	4.95625 5 5	-3.09846932653988e-17 -9.21165270797997e-17 -9.21165270797997e-17
0	0	0 0 0	7 20 20	0	4.959375 5 5	-5.94341139788466e-17 1.28477957439532e-16 1.28477957439532e-16
0	0	0 0 0	8 20 20	0	4.9625 5 5	1.5801034054445e-16 1.40404181336873e-17 1.40404181336873e-17
0	0	0 0 0	9 20 20	0	4.965625 5 5	-1.52857314867077e-16 -4.7067926813027e-17 -4.7067926813027e-17
0	0	0 0 0	10 20 20	0	4.96875 5 5	-3.35048062664516e-16 -9.22113947698922e-17 -9.22113947698922e-17
0	0	0 0 0	11 20 20	0	4.971875 5 5	-3.8726116405557e-17 -1.10561516539209e-16 -1.10561516539209e-16
0	0	0 0 0	12 20 20	0	4.975 5 5	-3.08466083888757e-16 1.20359993673047e-16 1.20359993673047e-16
0	0	0 0 0	13 20 20	0	4.978125 5 5	-2.75840949837659e-16 -9.85268724246202e-18 -6.5187655620691e-18
0	0	0 0 0	14 20 20	0	4.98125 5 5	-3.14911367632034e-17 -7.92416262815343e-17 -7.92416262815343e-17
0	0	0 0 0	15 20 20	0	4.984375 5 5	-3.59017829422776e-17 -2.89075404238948e-17 -2.89075404238948e-17
0	0	0 0 0	16 20 20	0	4.9875 5 5	-1.01093742216294e-16 5.81674465538473e-17 5.81674465538473e-17
0	0	0 0 0	17 20 20	0	4.990625 5 5	-1.60340230732086e-16 3.68899789188193e-17 3.68899789188193e-17
0	0	0 0 0	18 20 20	0	4.99375 5 5	5.87459999573397e-17 6.8345394448055e-17 6.8345394448055e-17
0	0	0 0 0	19 20 20	0	4.996875 5 5	-3.26732267799704e-16 -8.43780340736844e-17 -9.32684918880655e-17
0	0	0 0 0	20 20 20	0	5 5 5	9.39076192163521e-17 6.1853733940298e-17 6.1853733940298e-17
0	0	0 0 0	21 20 20	0	5.003125 5 5	4.54364891987303e-17 3.02356880851895e-17 3.02085830308774e-17
0	0	0 0 0	22 20 20	0	5.00625 5 5	3.873866787318e-17 -1.11998084417753e-16 -1.11998084417753e-16
0	0	0 0 0	23 20 20	0	5.009375 5 5	-2.39679214866157e-16 1.10182045778839e-16 1.10182045778839e-16
0	0	0 0 0	24 20 20	0	5.0125 5 5	2.18047986768847e-17 3.86382549219522e-17 3.86382549219522e-17
0	0	0 0 0	25 20 20	0	5.015625 5 5	-1.24632280244585e-16 -1.27271782522642e-16 -1.27271782522642e-16
0	0	0 0 0	26 20 20	0	5.01875 5 5	-2.48439691214694e-17 -5.35189297393157e-17 -5.35189297393157e-17
0	0	0 0 0	27 20 20	0	5.021875 5 5	-1.2226760134245e-16 3.77437881296516e-17 4.11048148643567e-17
0	0	0 0 0	28 20 20	0	5.025 5 5	-6.64210068411618e-17 4.57668842060444e-17 4.57668842060444e-17
0	0	0 0 0	29 20 20	0	5.028125 5 5	-1.72404289445738e-16 4.70001641772466e-17 4.70001641772466e-17
0	0	0 0 0	30 20 20	0	5.03125 5 5	-8.39884776826672e-17 -2.50044126029469e-17 -2.50044126029469e-17
0	0	0 0 0	31 20 20	0	5.034375 5 5	5.03612999063838e-17 9.35124373768748e-17 9.35124373768748e-17
0	0	0 0 0	32 20 20	0	5.0375 5 5	-2.55976269653961e-16 2.60479571939642e-17 2.60479571939642e-17
0	0	0 0 0	33 20 20	0	5.040625 5 5	-1.61457199027215e-16 -1.9615927805694e-16 -1.96145725529784e-16
0	0	0 0 0	34 20 20	0	5.04375 5 5	-3.56619270628408e-16 -4.60785923306339e-18 -4.60785923306339e-18
0	0	0 0 0	35 20 20	0	5.046875 5 5	3.45078816782574e-17 6.58788345056505e-17 6.58788345056505e-17
0	0	0 0 0	36 20 20	0	5.05 5 5	-3.79390004562733e-16 -5.33562994134429e-17 -5.33562994134429e-17
0	0	0 0 0	37 20 20	0	5.053125 5 5	-1.87660934261669e-16 -6.16911036144252e-17 -6.16911036144252e-17
0	0	0 0 0	38 20 20	0	5.05625 5 5	-1.12358510414556e-16 1.66018457661843e-17 -3.77979982382759e-17
0	0	0 0 0	39 20 20	0	5.059375 5 5	1.32341010058072e-10 4.73388860392204e-11 4.73388860392204e-11
0	0	0 0 0	40 20 20	0	5.0625 5 5	1.32341010058072e-10 4.73388860392204e-11 4.73388860392204e-11


