# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 08:26:45+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/manybhfar_1bh_p0.1_dx0.0015625_near_24x25x33.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.36152973197728e-10 4.55318665258143e-11 4.92734232322017e-11
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.36152973197728e-10 4.55318665258143e-11 4.92734232322017e-11
0	0	0 0 0	20 2 20	0	5 4.94375 5	4.49384859836297e-17 -1.70355266351785e-17 1.06522863446701e-17
0	0	0 0 0	20 3 20	0	5 4.946875 5	-1.38928649942756e-16 8.4106983530563e-17 -7.7005459300783e-17
0	0	0 0 0	20 4 20	0	5 4.95 5	2.87474511968637e-17 1.28884533254214e-16 7.87537353039158e-17
0	0	0 0 0	20 5 20	0	5 4.953125 5	-2.88215665797485e-16 -1.71168417981149e-16 -5.9292306307801e-17
0	0	0 0 0	20 6 20	0	5 4.95625 5	7.61872254737353e-17 -4.11048148643567e-17 2.31206113282534e-17
0	0	0 0 0	20 7 20	0	5 4.959375 5	-1.77554199370499e-16 -6.45506868443557e-17 -6.94567016748526e-17
0	0	0 0 0	20 8 20	0	5 4.9625 5	2.88080140525924e-17 -7.74797977512454e-17 -1.01833689050701e-16
0	0	0 0 0	20 9 20	0	5 4.965625 5	-2.28570570267152e-16 -3.7432080005062e-17 -3.81910215258019e-17
0	0	0 0 0	20 10 20	0	5 4.96875 5	-8.10737585464454e-18 1.42667453371936e-16 7.61245450356385e-17
0	0	0 0 0	20 11 20	0	5 4.971875 5	-1.27647865151223e-17 6.76542155630955e-17 1.76846926859542e-16
0	0	0 0 0	20 12 20	0	5 4.975 5	-2.87045066264379e-16 -5.13098678128765e-17 3.47080220466922e-17
0	0	0 0 0	20 13 20	0	5 4.978125 5	-4.18146284741558e-17 -8.71698546678346e-17 -1.17513962970273e-16
0	0	0 0 0	20 14 20	0	5 4.98125 5	-4.83679106288255e-17 -1.25225350922076e-16 -1.90507874232859e-16
0	0	0 0 0	20 15 20	0	5 4.984375 5	-1.57612502693291e-16 1.89626959967715e-16 -1.15196480826585e-17
0	0	0 0 0	20 16 20	0	5 4.9875 5	-2.21181054835306e-16 -5.79506061193502e-17 3.75269476951545e-17
0	0	0 0 0	20 17 20	0	5 4.990625 5	-1.58800572280934e-16 -1.12824788574273e-16 7.26550980836849e-17
