# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 08:27:02+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/manybhfar_1bh_p0.1_dx0.0015625_near_32x33x41.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.36152844759581e-10 4.9273284101958e-11 4.55316813034257e-11
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.36152844759581e-10 4.9273284101958e-11 4.55316813034257e-11
0	0	0 0 0	20 20 2	0	5 5 4.94375	-5.55967015589305e-17 8.75493254282045e-18 -3.67273485929465e-18
0	0	0 0 0	20 20 3	0	5 5 4.946875	-1.28954836988836e-16 9.81067440827821e-17 1.67875153882224e-16
0	0	0 0 0	20 20 4	0	5 5 4.95	-3.72152395705649e-17 -4.60243822220097e-17 5.77608707391652e-17
0	0	0 0 0	20 20 5	0	5 5 4.953125	-3.06387910647878e-16 -1.24046281059498e-16 -1.07403777711845e-16
0	0	0 0 0	20 20 6	0	5 5 4.95625	1.00231949747443e-16 5.84656021512808e-17 -3.06558164270276e-17
0	0	0 0 0	20 20 7	0	5 5 4.959375	-1.81378553127352e-16 -8.38901430960659e-18 -5.40339257712463e-17
0	0	0 0 0	20 20 8	0	5 5 4.9625	-7.10957104277897e-17 -8.40256683676266e-19 -4.30428262476745e-17
0	0	0 0 0	20 20 9	0	5 5 4.965625	-3.47757846824726e-17 -7.8984128265569e-17 6.54587061638123e-18
0	0	0 0 0	20 20 10	0	5 5 4.96875	9.62907054438689e-17 1.15196480826585e-18 8.47303997797422e-17
0	0	0 0 0	20 20 11	0	5 5 4.971875	-7.04773763762941e-18 7.77779533486789e-17 -5.67579837296162e-17
0	0	0 0 0	20 20 12	0	5 5 4.975	-1.88785009218144e-16 1.29020058525775e-17 -7.91332060642858e-17
