# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 06:57:38+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/manybhnear_1bh_p0.1_dx0.0015625_near_16x17x25.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	1.701969434866e-07 -4.86977792216615e-09 -4.86977777525675e-09
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	1.701969434866e-07 -4.86977792216615e-09 -4.86977777525675e-09
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	4.26351356410631e-13 3.86977559371782e-13 3.86977667791999e-13
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	4.38136313760904e-13 3.63091284469319e-13 3.62917270020635e-13
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	4.37558349377712e-13 3.43269900351939e-13 3.43269791931722e-13
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	4.56665147435474e-13 3.24826266145245e-13 3.24826049304811e-13
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	4.60885075090796e-13 3.04900364938437e-13 3.04900364938437e-13
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	4.71087401860243e-13 2.81922055145323e-13 2.81922000935214e-13
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	4.80612997030958e-13 2.59981435251494e-13 2.59981381041385e-13
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	4.85566864901139e-13 2.40332872960408e-13 2.403328187503e-13
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	4.93571043342997e-13 2.18413666059486e-13 2.18413611849377e-13
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	4.98591184842222e-13 1.94950284214401e-13 1.9495033842451e-13
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	5.02779958182631e-13 1.75836938325763e-13 1.75836992535872e-13
0	0	0 0 0	13 20 20	0	2.9890625 0.5 0.5	5.13156018816444e-13 1.55546528348566e-13 1.55546474138457e-13
0	0	0 0 0	14 20 20	0	2.990625 0.5 0.5	5.12534105053565e-13 1.32441529531596e-13 1.32441529531596e-13
0	0	0 0 0	15 20 20	0	2.9921875 0.5 0.5	5.18125641661906e-13 1.10672376211346e-13 1.10672376211346e-13
0	0	0 0 0	16 20 20	0	2.99375 0.5 0.5	5.17815045305408e-13 8.67015877495381e-14 8.67015877495381e-14
0	0	0 0 0	17 20 20	0	2.9953125 0.5 0.5	5.24477819609263e-13 6.66000322382607e-14 6.66000322382607e-14
0	0	0 0 0	18 20 20	0	2.996875 0.5 0.5	5.22936836836035e-13 4.2533047938699e-14 4.25330208336447e-14
0	0	0 0 0	19 20 20	0	2.9984375 0.5 0.5	5.23471582097975e-13 2.08832381725851e-14 2.08832381725851e-14
0	0	0 0 0	20 20 20	0	3 0.5 0.5	5.26603520832134e-13 0 0
0	0	0 0 0	21 20 20	0	3.0015625 0.5 0.5	5.23471582097975e-13 -2.08832381725851e-14 -2.08832381725851e-14
0	0	0 0 0	22 20 20	0	3.003125 0.5 0.5	5.22936836836035e-13 -4.2533047938699e-14 -4.25330208336447e-14
0	0	0 0 0	23 20 20	0	3.0046875 0.5 0.5	5.24477819609263e-13 -6.66000322382607e-14 -6.66000322382607e-14
0	0	0 0 0	24 20 20	0	3.00625 0.5 0.5	5.17815045305408e-13 -8.67015877495381e-14 -8.67015877495381e-14
0	0	0 0 0	25 20 20	0	3.0078125 0.5 0.5	5.18125641661906e-13 -1.10672376211346e-13 -1.10672376211346e-13
0	0	0 0 0	26 20 20	0	3.009375 0.5 0.5	5.12534105053565e-13 -1.32441529531596e-13 -1.32441529531596e-13
0	0	0 0 0	27 20 20	0	3.0109375 0.5 0.5	5.13156018816444e-13 -1.55546528348566e-13 -1.55546474138457e-13
0	0	0 0 0	28 20 20	0	3.0125 0.5 0.5	5.02779958182631e-13 -1.75836938325763e-13 -1.75836992535872e-13
0	0	0 0 0	29 20 20	0	3.0140625 0.5 0.5	4.98591184842222e-13 -1.94950284214401e-13 -1.9495033842451e-13
0	0	0 0 0	30 20 20	0	3.015625 0.5 0.5	4.93571043342997e-13 -2.18413666059486e-13 -2.18413611849377e-13
0	0	0 0 0	31 20 20	0	3.0171875 0.5 0.5	4.85566864901139e-13 -2.40332872960408e-13 -2.403328187503e-13
0	0	0 0 0	32 20 20	0	3.01875 0.5 0.5	4.80612997030958e-13 -2.59981435251494e-13 -2.59981381041385e-13
0	0	0 0 0	33 20 20	0	3.0203125 0.5 0.5	4.71087401860243e-13 -2.81922055145323e-13 -2.81922000935214e-13
0	0	0 0 0	34 20 20	0	3.021875 0.5 0.5	4.60885075090796e-13 -3.04900364938437e-13 -3.04900364938437e-13
0	0	0 0 0	35 20 20	0	3.0234375 0.5 0.5	4.56665147435474e-13 -3.24826266145245e-13 -3.24826049304811e-13
0	0	0 0 0	36 20 20	0	3.025 0.5 0.5	4.37558349377712e-13 -3.43269900351939e-13 -3.43269791931722e-13
0	0	0 0 0	37 20 20	0	3.0265625 0.5 0.5	4.38136313760904e-13 -3.63091284469319e-13 -3.62917270020635e-13
0	0	0 0 0	38 20 20	0	3.028125 0.5 0.5	4.26351356410631e-13 -3.86977559371782e-13 -3.86977667791999e-13
0	0	0 0 0	39 20 20	0	3.0296875 0.5 0.5	1.701969434866e-07 4.86977792216615e-09 4.86977777525675e-09
0	0	0 0 0	40 20 20	0	3.03125 0.5 0.5	1.701969434866e-07 4.86977792216615e-09 4.86977777525675e-09


