# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 07:45:26+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/twopunfar_1bh_p0.1_dx0.0015625_near_20.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	0.000664373928131067 0.00166093482032767 0.00164017313507357 -0.000328591230708162 0.000285849494573377 -0.000335782697422904
0	0	0 0 0	20 20 1	0	5 5 4.940625	0.000663802493612741 0.00165950623403185 0.00163979959750272 -0.000328489000679043 0.000285630728625094 -0.000335313492933697
0	0	0 0 0	20 20 2	0	5 5 4.94375	0.000663231529149524 0.00165807882287381 0.00163942543611648 -0.000328386612934621 0.000285411992161625 -0.000334844916214903
0	0	0 0 0	20 20 3	0	5 5 4.946875	0.000662661034613462 0.00165665258653365 0.00163905065280173 -0.000328284067945985 0.000285193285686754 -0.000334376966667477
0	0	0 0 0	20 20 4	0	5 5 4.95	0.000662091009875639 0.0016552275246891 0.00163867524944221 -0.000328181366183738 0.000284974609702571 -0.000333909643691901
0	0	0 0 0	20 20 5	0	5 5 4.953125	0.000661521454806187 0.00165380363701547 0.00163829922791845 -0.000328078508118 0.00028475596470947 -0.000333442946688187
0	0	0 0 0	20 20 6	0	5 5 4.95625	0.000660952369274283 0.00165238092318571 0.00163792259010783 -0.0003279754942184 0.000284537351206159 -0.000332976875055884
0	0	0 0 0	20 20 7	0	5 5 4.959375	0.000660383753148162 0.00165095938287041 0.00163754533788458 -0.00032787232495408 0.00028431876968966 -0.000332511428194082
0	0	0 0 0	20 20 8	0	5 5 4.9625	0.000659815606295109 0.00164953901573777 0.00163716747311974 -0.000327769000793692 0.000284100220655307 -0.000332046605501417
0	0	0 0 0	20 20 9	0	5 5 4.965625	0.00065924792858147 0.00164811982145368 0.00163678899768118 -0.000327665522205393 0.00028388170459676 -0.000331582406376078
0	0	0 0 0	20 20 10	0	5 5 4.96875	0.000658680719872657 0.00164670179968164 0.00163640991343363 -0.000327561889656849 0.000283663222005999 -0.000331118830215808
0	0	0 0 0	20 20 11	0	5 5 4.971875	0.000658113980033145 0.00164528495008286 0.00163603022223865 -0.000327458103615231 0.00028344477337333 -0.000330655876417914
0	0	0 0 0	20 20 12	0	5 5 4.975	0.000657547708926482 0.00164386927231621 0.00163564992595462 -0.000327354164547214 0.00028322635918739 -0.000330193544379268
0	0	0 0 0	20 20 13	0	5 5 4.978125	0.000656981906415288 0.00164245476603822 0.0016352690264368 -0.000327250072918973 0.000283007979935146 -0.000329731833496316
0	0	0 0 0	20 20 14	0	5 5 4.98125	0.000656416572361263 0.00164104143090316 0.00163488752553727 -0.000327145829196186 0.000282789636101903 -0.000329270743165077
0	0	0 0 0	20 20 15	0	5 5 4.984375	0.000655851706625186 0.00163962926656296 0.00163450542510495 -0.000327041433844032 0.000282571328171304 -0.000328810272781154
0	0	0 0 0	20 20 16	0	5 5 4.9875	0.00065528730906692 0.0016382182726673 0.00163412272698563 -0.000326936887327183 0.000282353056625334 -0.000328350421739737
0	0	0 0 0	20 20 17	0	5 5 4.990625	0.00065472337954542 0.00163680844886355 0.00163373943302193 -0.000326832190109813 0.000282134821944324 -0.000327891189435607
0	0	0 0 0	20 20 18	0	5 5 4.99375	0.000654159917918731 0.00163539979479683 0.00163335554505333 -0.00032672734265559 0.00028191662460695 -0.000327432575263141
0	0	0 0 0	20 20 19	0	5 5 4.996875	0.000653596924043992 0.00163399231010998 0.00163297106491616 -0.000326622345427675 0.000281698465090243 -0.000326974578616317
0	0	0 0 0	20 20 20	0	5 5 5	0.000653034397777443 0.00163258599444361 0.00163258599444361 -0.000326517198888722 0.000281480343869588 -0.000326517198888722
0	0	0 0 0	20 20 21	0	5 5 5.003125	0.000652472338974427 0.00163118084743607 0.00163220033546571 -0.000326411903500877 0.000281262261418725 -0.00032606043547355
0	0	0 0 0	20 20 22	0	5 5 5.00625	0.00065191074748939 0.00162977686872348 0.00163181408980938 -0.000326306459725777 0.000281044218209757 -0.000325604287763614
0	0	0 0 0	20 20 23	0	5 5 5.009375	0.000651349623175892 0.00162837405793973 0.00163142725929837 -0.000326200868024545 0.000280826214713151 -0.000325148755151347
0	0	0 0 0	20 20 24	0	5 5 5.0125	0.000650788965886604 0.00162697241471651 0.0016310398457533 -0.000326095128857795 0.000280608251397742 -0.000324693837028808
0	0	0 0 0	20 20 25	0	5 5 5.015625	0.000650228775473313 0.00162557193868328 0.00163065185099167 -0.000325989242685626 0.000280390328730731 -0.000324239532787686
0	0	0 0 0	20 20 26	0	5 5 5.01875	0.000649669051786927 0.00162417262946732 0.00163026327682782 -0.000325883209967621 0.000280172447177697 -0.000323785841819306
0	0	0 0 0	20 20 27	0	5 5 5.021875	0.000649109794677479 0.0016227744866937 0.00162987412507298 -0.000325777031162847 0.000279954607202594 -0.000323332763514632
0	0	0 0 0	20 20 28	0	5 5 5.025	0.000648551003994128 0.00162137750998532 0.00162948439753525 -0.000325670706729855 0.000279736809267754 -0.000322880297264273
0	0	0 0 0	20 20 29	0	5 5 5.028125	0.000647992679585164 0.00161998169896291 0.00162909409601958 -0.000325564237126674 0.000279519053833895 -0.000322428442458489
0	0	0 0 0	20 20 30	0	5 5 5.03125	0.00064743482129801 0.00161858705324502 0.00162870322232781 -0.000325457622810818 0.000279301341360118 -0.000321977198487192
0	0	0 0 0	20 20 31	0	5 5 5.034375	0.000646877428979229 0.00161719357244807 0.00162831177825865 -0.000325350864239274 0.000279083672303915 -0.000321526564739955
0	0	0 0 0	20 20 32	0	5 5 5.0375	0.000646320502474523 0.00161580125618631 0.00162791976560771 -0.000325243961868511 0.00027886604712117 -0.000321076540606012
0	0	0 0 0	20 20 33	0	5 5 5.040625	0.000645764041628741 0.00161441010407185 0.00162752718616744 -0.000325136916154473 0.000278648466266161 -0.000320627125474269
0	0	0 0 0	20 20 34	0	5 5 5.04375	0.000645208046285879 0.0016130201157147 0.0016271340417272 -0.000325029727552578 0.000278430930191567 -0.000320178318733301
0	0	0 0 0	20 20 35	0	5 5 5.046875	0.000644652516289083 0.00161163129072271 0.00162674033407323 -0.000324922396517719 0.000278213439348466 -0.000319730119771364
0	0	0 0 0	20 20 36	0	5 5 5.05	0.000644097451480656 0.00161024362870164 0.00162634606498865 -0.000324814923504261 0.000277995994186343 -0.000319282527976394
0	0	0 0 0	20 20 37	0	5 5 5.053125	0.000643542851702057 0.00160885712925514 0.00162595123625348 -0.000324707308966042 0.000277778595153091 -0.000318835542736015
0	0	0 0 0	20 20 38	0	5 5 5.05625	0.00064298871679391 0.00160747179198478 0.0016255558496446 -0.00032459955335637 0.000277561242695011 -0.00031838916343754
0	0	0 0 0	20 20 39	0	5 5 5.059375	0.000642435046596003 0.00160608761649001 0.00162515990693583 -0.000324491657128021 0.000277343937256823 -0.000317943389467982
0	0	0 0 0	20 20 40	0	5 5 5.0625	0.000641881840947291 0.00160470460236823 0.00162476340989783 -0.00032438362073324 0.000277126679281661 -0.000317498220214051


