# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 08:26:29+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/twopunfar_1bh_p0.1_dx0.0015625_near_50.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 20 20	0	4.9375 5 5	1.00013020396207e-10 3.31693242073021e-11 3.31693242073021e-11
0	0	0 0 0	1 20 20	0	4.940625 5 5	1.00013020396207e-10 3.31693242073021e-11 3.31693242073021e-11
0	0	0 0 0	2 20 20	0	4.94375 5 5	-3.48185670664048e-17 1.72659195968317e-17 8.863352760069e-18
0	0	0 0 0	3 20 20	0	4.946875 5 5	-1.93558927419572e-16 -1.24412199292712e-17 -1.24412199292712e-17
0	0	0 0 0	4 20 20	0	4.95 5 5	-9.41632699840934e-17 2.99917425963803e-17 3.74727375865302e-17
0	0	0 0 0	5 20 20	0	4.953125 5 5	-1.3671808753996e-16 -4.38153202955704e-17 -2.88668828424266e-17
0	0	0 0 0	6 20 20	0	4.95625 5 5	-1.07722930700134e-16 -5.94413841065178e-17 -5.94413841065178e-17
0	0	0 0 0	7 20 20	0	4.959375 5 5	-1.2651542841817e-16 2.96258243631664e-17 2.21583819001725e-17
0	0	0 0 0	8 20 20	0	4.9625 5 5	8.69620041761409e-17 8.19927892942163e-18 1.66153982933404e-17
0	0	0 0 0	9 20 20	0	4.965625 5 5	-2.54614001495381e-16 1.44605464755254e-17 7.91467585914418e-18
0	0	0 0 0	10 20 20	0	4.96875 5 5	-1.17859356268443e-16 -1.09707707328377e-16 -1.08772582954608e-16
0	0	0 0 0	11 20 20	0	4.971875 5 5	-2.63153090310844e-17 -6.50250252948181e-17 -6.50250252948181e-17
0	0	0 0 0	12 20 20	0	4.975 5 5	-9.45713062382267e-17 6.79930287419972e-17 6.89146005886099e-17
0	0	0 0 0	13 20 20	0	4.978125 5 5	-2.2103700320795e-16 1.56667213924155e-17 2.96664819446346e-17
0	0	0 0 0	14 20 20	0	4.98125 5 5	-1.36412410441442e-16 -1.00342911063533e-16 -1.16240025417602e-16
0	0	0 0 0	15 20 20	0	4.984375 5 5	6.03464151349729e-17 -8.05020113070487e-17 -8.23858125817423e-17
0	0	0 0 0	16 20 20	0	4.9875 5 5	-6.1156529363959e-17 -8.13151629364128e-17 -7.94449141888753e-17
0	0	0 0 0	17 20 20	0	4.990625 5 5	-7.60234137756982e-17 2.55194086348776e-17 1.05709711817337e-17
0	0	0 0 0	18 20 20	0	4.99375 5 5	2.30065764976691e-16 7.68292764477541e-17 7.68292764477541e-17
0	0	0 0 0	19 20 20	0	4.996875 5 5	-1.13765115481781e-16 -4.42625536917207e-17 -4.80030511867957e-17
0	0	0 0 0	20 20 20	0	5 5 5	2.07472701543572e-17 -2.1467203015213e-17 -2.89346454782069e-17
0	0	0 0 0	21 20 20	0	5.003125 5 5	-1.47203890326981e-16 -3.28242207719986e-17 1.39184453892827e-17
0	0	0 0 0	22 20 20	0	5.00625 5 5	-2.05430882661658e-16 -2.78504433057214e-17 -2.78504433057214e-17
0	0	0 0 0	23 20 20	0	5.009375 5 5	-2.27817487858343e-16 -1.05452213801371e-16 -1.05452213801371e-16
0	0	0 0 0	24 20 20	0	5.0125 5 5	-7.41380105404588e-17 3.62530101424841e-17 3.72016870434089e-17
0	0	0 0 0	25 20 20	0	5.015625 5 5	-1.95773595503165e-16 2.48417822770741e-17 1.73607872869241e-17
0	0	0 0 0	26 20 20	0	5.01875 5 5	6.86848210588239e-17 -3.7811550765432e-18 -3.7811550765432e-18
0	0	0 0 0	27 20 20	0	5.021875 5 5	-1.04993880979771e-16 1.22379320219301e-16 1.01793031469233e-16
0	0	0 0 0	28 20 20	0	5.025 5 5	-1.01352506415082e-16 -2.3242584072658e-17 -1.5748036555352e-17
0	0	0 0 0	29 20 20	0	5.028125 5 5	3.28888760209802e-18 -7.39561406906675e-17 -5.89805981832114e-17
0	0	0 0 0	30 20 20	0	5.03125 5 5	2.34008689417232e-17 -3.08997619158369e-18 -3.08997619158369e-18
0	0	0 0 0	31 20 20	0	5.034375 5 5	-1.18599641953756e-16 1.98544522836408e-17 1.32950291401035e-17
0	0	0 0 0	32 20 20	0	5.0375 5 5	-1.49836035932046e-16 -5.17706537361828e-18 -1.26580603637683e-17
0	0	0 0 0	33 20 20	0	5.040625 5 5	8.99197882319753e-18 -5.35460347936279e-17 -5.35460347936279e-17
0	0	0 0 0	34 20 20	0	5.04375 5 5	-2.55643345478878e-16 -1.19343554136342e-16 -1.19343554136342e-16
0	0	0 0 0	35 20 20	0	5.046875 5 5	1.96392996138942e-16 -8.6478675782875e-17 -8.6478675782875e-17
0	0	0 0 0	36 20 20	0	5.05 5 5	-2.15025114852165e-16 7.96888596776846e-17 9.46508496579845e-17
0	0	0 0 0	37 20 20	0	5.053125 5 5	-9.63139798355561e-17 9.40816435174296e-17 9.40816435174296e-17
0	0	0 0 0	38 20 20	0	5.05625 5 5	4.80021886221787e-17 -4.36662424968537e-17 -3.9004173155166e-17
0	0	0 0 0	39 20 20	0	5.059375 5 5	9.9756371546649e-11 3.55355002964585e-11 3.5535500282906e-11
0	0	0 0 0	40 20 20	0	5.0625 5 5	9.9756371546649e-11 3.55355002964585e-11 3.5535500282906e-11


