# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 08:26:29+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/twopunfar_1bh_p0.1_dx0.0015625_near_50.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.02474514588274e-10 3.40794819258085e-11 3.69249887285407e-11
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.02474514588274e-10 3.40794819258085e-11 3.69249887285407e-11
0	0	0 0 0	20 2 20	0	5 4.94375 5	8.81083671733923e-17 5.08761869438823e-17 6.12438702182749e-17
0	0	0 0 0	20 3 20	0	5 4.946875 5	-7.97849979171979e-17 1.45920059889393e-16 -3.93158812797556e-17
0	0	0 0 0	20 4 20	0	5 4.95 5	-1.24874255765439e-16 1.32408190314792e-17 -6.11218974738703e-18
0	0	0 0 0	20 5 20	0	5 4.953125 5	-2.24721652554829e-16 -7.47015296842513e-17 4.73118723018362e-17
0	0	0 0 0	20 6 20	0	5 4.95625 5	-5.2758717669155e-17 -1.0594010477899e-16 -4.29750636118942e-17
0	0	0 0 0	20 7 20	0	5 4.959375 5	-1.1708282320012e-16 -5.80183687551306e-17 -8.25619954347712e-17
0	0	0 0 0	20 8 20	0	5 4.9625 5	-2.78682309976137e-17 9.01107530607015e-17 -2.7769128142785e-17
0	0	0 0 0	20 9 20	0	5 4.965625 5	-5.87015008270911e-17 4.42218961102525e-17 -8.58010494250716e-17
0	0	0 0 0	20 10 20	0	5 4.96875 5	-4.20073284696561e-17 -1.19668814788088e-17 6.55400213267487e-17
0	0	0 0 0	20 11 20	0	5 4.971875 5	-4.34913301932457e-17 -6.04036135345987e-17 -8.97312823003316e-17
0	0	0 0 0	20 12 20	0	5 4.975 5	-3.16011051961634e-17 9.9461996798389e-17 1.23395759756006e-16
0	0	0 0 0	20 13 20	0	5 4.978125 5	3.46260716090454e-17 -4.59837246405415e-17 -9.65617559869902e-17
0	0	0 0 0	20 14 20	0	5 4.98125 5	-5.38056503919613e-17 -1.28857428199902e-16 -8.07324042687019e-17
0	0	0 0 0	20 15 20	0	5 4.984375 5	-2.58969523952925e-16 1.3003649806248e-16 6.57975193427141e-17
0	0	0 0 0	20 16 20	0	5 4.9875 5	-1.02418247663425e-16 1.94343239418027e-17 9.97194948143543e-17
0	0	0 0 0	20 17 20	0	5 4.990625 5	-8.38594381517279e-17 -7.9959910220806e-18 6.04307185889108e-17
0	0	0 0 0	20 18 20	0	5 4.99375 5	1.8228254904031e-17 8.17623963325631e-17 -4.73254248289923e-17
0	0	0 0 0	20 19 20	0	5 4.996875 5	-1.56558370190433e-16 -2.98562173248196e-17 5.85469173142172e-18
0	0	0 0 0	20 20 20	0	5 5 5	2.07472701543572e-17 -2.1467203015213e-17 -2.89346454782069e-17
0	0	0 0 0	20 21 20	0	5 5.003125 5	4.21909493307531e-17 -3.12927852033629e-17 -8.76035355368288e-17
0	0	0 0 0	20 22 20	0	5 5.00625 5	-3.94333541616279e-17 6.94838067291648e-17 4.41405809473161e-17
0	0	0 0 0	20 23 20	0	5 5.009375 5	-1.86813116516936e-16 9.08967996357535e-17 3.10217346602415e-17
0	0	0 0 0	20 24 20	0	5 5.0125 5	1.03906802189106e-16 -1.07268252440285e-16 -2.10985742765679e-16
0	0	0 0 0	20 25 20	0	5 5.015625 5	-2.15365961894168e-16 -2.00577401909818e-18 -3.56024888389928e-17
0	0	0 0 0	20 26 20	0	5 5.01875 5	-1.61668943477692e-16 9.02598308594182e-18 2.54245409447851e-17
0	0	0 0 0	20 27 20	0	5 5.021875 5	2.58480574184122e-17 -3.96140368771891e-17 3.41388159061373e-17
0	0	0 0 0	20 28 20	0	5 5.025 5	2.59295843395855e-17 1.00708829296747e-16 -5.01443504774546e-19
0	0	0 0 0	20 29 20	0	5 5.028125 5	-2.54081508572557e-16 1.2793585635329e-17 -1.08447322302863e-16
0	0	0 0 0	20 30 20	0	5 5.03125 5	-4.40342783124357e-17 1.14545959523094e-16 -1.11930321781972e-16
0	0	0 0 0	20 31 20	0	5 5.034375 5	-7.3396675429006e-17 -9.31058615621927e-18 3.45860493022876e-17
0	0	0 0 0	20 32 20	0	5 5.0375 5	8.11711673353796e-18 1.9895109865109e-17 5.97666447582634e-17
0	0	0 0 0	20 33 20	0	5 5.040625 5	3.48842048997211e-17 2.56549339064382e-17 -9.611452259084e-17
0	0	0 0 0	20 34 20	0	5 5.04375 5	-1.07216583430502e-16 -1.19262238973405e-17 3.88550953564493e-17
0	0	0 0 0	20 35 20	0	5 5.046875 5	4.45463097290509e-17 -8.16404235881585e-17 6.83047368665868e-18
0	0	0 0 0	20 36 20	0	5 5.05 5	-9.55787742517016e-17 6.62718577931765e-18 -9.97465998686664e-18
0	0	0 0 0	20 37 20	0	5 5.053125 5	-8.07861908608525e-17 -3.40168431617327e-18 2.97749021618832e-17
0	0	0 0 0	20 38 20	0	5 5.05625 5	-7.45431345231147e-18 -3.30004036250275e-17 -5.04560586020442e-17
0	0	0 0 0	20 39 20	0	5 5.059375 5	9.72458259505812e-11 3.45559914098062e-11 3.19046606896221e-11
0	0	0 0 0	20 40 20	0	5 5.0625 5	9.72458259505812e-11 3.45559914098062e-11 3.19046606896221e-11


