# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 06:14:37+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/twopunnear_1bh_p0.1_dx0.0015625_near_30.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	1.31693932777874e-07 -3.39218541353225e-09 -3.39218534587803e-09
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	1.31693932777874e-07 -3.39218541353225e-09 -3.39218534587803e-09
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	3.35800227958686e-13 3.15981236401891e-13 3.15981236401891e-13
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	3.40406660168435e-13 2.9925356897359e-13 2.99150027666117e-13
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	3.45284290574617e-13 2.83810193228706e-13 2.8380927165686e-13
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	3.54774413741792e-13 2.68232701675086e-13 2.68229069597808e-13
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	3.62610848353205e-13 2.52590591671986e-13 2.52599482129801e-13
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	3.70312097826411e-13 2.3541490480096e-13 2.35407017230155e-13
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	3.74080499778114e-13 2.19582896787349e-13 2.1956373351395e-13
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	3.82001441650837e-13 2.03254405493902e-13 2.03254459704011e-13
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	3.88701156876383e-13 1.86372185045913e-13 1.86369935326405e-13
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	3.91326578732762e-13 1.67922614832325e-13 1.67909075857696e-13
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	3.97673348744632e-13 1.52611118729197e-13 1.52611660830283e-13
0	0	0 0 0	13 20 20	0	2.9890625 0.5 0.5	4.00423345727603e-13 1.37421988393761e-13 1.37426501385304e-13
0	0	0 0 0	14 20 20	0	2.990625 0.5 0.5	4.03202701949968e-13 1.18826281279849e-13 1.188309230204e-13
0	0	0 0 0	15 20 20	0	2.9921875 0.5 0.5	4.06264551393634e-13 1.01012168735818e-13 1.01022302637999e-13
0	0	0 0 0	16 20 20	0	2.99375 0.5 0.5	4.09711548436682e-13 8.37615484598379e-14 8.37615484598379e-14
0	0	0 0 0	17 20 20	0	2.9953125 0.5 0.5	4.13645018985367e-13 6.79260419883965e-14 6.79262656050946e-14
0	0	0 0 0	18 20 20	0	2.996875 0.5 0.5	4.13386726697905e-13 4.90238207559272e-14 4.9023536152857e-14
0	0	0 0 0	19 20 20	0	2.9984375 0.5 0.5	4.10958362720192e-13 3.31431388410353e-14 3.31431388410353e-14
0	0	0 0 0	20 20 20	0	3 0.5 0.5	4.13651084353122e-13 1.64685024514957e-14 1.64685024514957e-14
0	0	0 0 0	21 20 20	0	3.0015625 0.5 0.5	4.12169108318814e-13 -2.26424781701873e-15 -2.26424781701873e-15
0	0	0 0 0	22 20 20	0	3.003125 0.5 0.5	4.15586738799027e-13 -1.87822305451613e-14 -1.87820950198897e-14
0	0	0 0 0	23 20 20	0	3.0046875 0.5 0.5	4.1494882157208e-13 -3.60302879112012e-14 -3.60302879112012e-14
0	0	0 0 0	24 20 20	0	3.00625 0.5 0.5	4.10365249215417e-13 -5.224106195377e-14 -5.224106195377e-14
0	0	0 0 0	25 20 20	0	3.0078125 0.5 0.5	4.07312025806332e-13 -7.06520345700179e-14 -7.06520345700179e-14
0	0	0 0 0	26 20 20	0	3.009375 0.5 0.5	4.06052796882899e-13 -8.83254515533782e-14 -8.83254244483239e-14
0	0	0 0 0	27 20 20	0	3.0109375 0.5 0.5	4.04796449917491e-13 -1.05024333414e-13 -1.05024441834217e-13
0	0	0 0 0	28 20 20	0	3.0125 0.5 0.5	3.99703483939665e-13 -1.2101555651664e-13 -1.21016152827835e-13
0	0	0 0 0	29 20 20	0	3.0140625 0.5 0.5	3.94093732926663e-13 -1.37405549178321e-13 -1.37371830490757e-13
0	0	0 0 0	30 20 20	0	3.015625 0.5 0.5	3.93294091137755e-13 -1.55664597965149e-13 -1.5566340534276e-13
0	0	0 0 0	31 20 20	0	3.0171875 0.5 0.5	3.86034352228048e-13 -1.72868446987606e-13 -1.72862538085766e-13
0	0	0 0 0	32 20 20	0	3.01875 0.5 0.5	3.81123726883257e-13 -1.88766428703413e-13 -1.88755207210928e-13
0	0	0 0 0	33 20 20	0	3.0203125 0.5 0.5	3.75854444641782e-13 -2.05329188981279e-13 -2.05321436935746e-13
0	0	0 0 0	34 20 20	0	3.021875 0.5 0.5	3.67276584076088e-13 -2.21421134465744e-13 -2.21427910729322e-13
0	0	0 0 0	35 20 20	0	3.0234375 0.5 0.5	3.62982752886388e-13 -2.38397409452196e-13 -2.38397409452196e-13
0	0	0 0 0	36 20 20	0	3.025 0.5 0.5	3.52885775864456e-13 -2.54329001435349e-13 -2.54325640408615e-13
0	0	0 0 0	37 20 20	0	3.0265625 0.5 0.5	3.48835000971302e-13 -2.69342491018842e-13 -2.69250116993747e-13
0	0	0 0 0	38 20 20	0	3.028125 0.5 0.5	3.40327526455728e-13 -2.86570680380072e-13 -2.86570788800289e-13
0	0	0 0 0	39 20 20	0	3.0296875 0.5 0.5	1.32068266375892e-07 4.03597901735449e-09 4.03597899024943e-09
0	0	0 0 0	40 20 20	0	3.03125 0.5 0.5	1.32068266375892e-07 4.03597901735449e-09 4.03597899024943e-09


