# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 06:29:01+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1/1bh_p0.1_dx0.0015625_near/twopunnear_1bh_p0.1_dx0.0015625_near_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	3.2487029701272e-06
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	3.2487029701272e-06
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	-2.24484730663218e-10
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	-5.37018781656892e-10
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	-5.10149707850724e-11
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	-1.0804646554622e-10
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	1.81888162463419e-10
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	-3.57796184498847e-10
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	7.08697376499735e-11
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	1.12538372826383e-10
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	-2.95786780376943e-10
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	-2.1051071237739e-10
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	-1.78034137996233e-10
0	0	0 0 0	13 20 20	0	2.9890625 0.5 0.5	-2.82323597171948e-10
0	0	0 0 0	14 20 20	0	2.990625 0.5 0.5	-6.87223023984346e-11
0	0	0 0 0	15 20 20	0	2.9921875 0.5 0.5	-1.19457881466497e-10
0	0	0 0 0	16 20 20	0	2.99375 0.5 0.5	1.50233047519193e-10
0	0	0 0 0	17 20 20	0	2.9953125 0.5 0.5	-2.94089530560124e-10
0	0	0 0 0	18 20 20	0	2.996875 0.5 0.5	-3.6023861132062e-10
0	0	0 0 0	19 20 20	0	2.9984375 0.5 0.5	-1.69246622467624e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-1.71554433094252e-10
0	0	0 0 0	21 20 20	0	3.0015625 0.5 0.5	-3.77815441204767e-10
0	0	0 0 0	22 20 20	0	3.003125 0.5 0.5	-3.19228752400412e-10
0	0	0 0 0	23 20 20	0	3.0046875 0.5 0.5	-7.73603258817819e-11
0	0	0 0 0	24 20 20	0	3.00625 0.5 0.5	-2.84536977502746e-10
0	0	0 0 0	25 20 20	0	3.0078125 0.5 0.5	-1.03639764007174e-10
0	0	0 0 0	26 20 20	0	3.009375 0.5 0.5	-2.41236277698578e-10
0	0	0 0 0	27 20 20	0	3.0109375 0.5 0.5	9.7925706768736e-11
0	0	0 0 0	28 20 20	0	3.0125 0.5 0.5	-5.79168523036355e-11
0	0	0 0 0	29 20 20	0	3.0140625 0.5 0.5	-2.2005318501086e-10
0	0	0 0 0	30 20 20	0	3.015625 0.5 0.5	-3.8541345240067e-10
0	0	0 0 0	31 20 20	0	3.0171875 0.5 0.5	9.8478783829882e-11
0	0	0 0 0	32 20 20	0	3.01875 0.5 0.5	-1.00937711964774e-11
0	0	0 0 0	33 20 20	0	3.0203125 0.5 0.5	-2.42220079036499e-10
0	0	0 0 0	34 20 20	0	3.021875 0.5 0.5	-1.55160159758449e-10
0	0	0 0 0	35 20 20	0	3.0234375 0.5 0.5	-1.43222940153726e-10
0	0	0 0 0	36 20 20	0	3.025 0.5 0.5	-2.29372801514079e-10
0	0	0 0 0	37 20 20	0	3.0265625 0.5 0.5	-1.82350613883893e-10
0	0	0 0 0	38 20 20	0	3.028125 0.5 0.5	-3.60259450309791e-11
0	0	0 0 0	39 20 20	0	3.0296875 0.5 0.5	3.25079000404249e-06
0	0	0 0 0	40 20 20	0	3.03125 0.5 0.5	3.25079000404249e-06


