# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 15 2016 at 22:28:52+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1_convergence/1bh_p0.3_dx0.003125_convergence/manybhnear_1bh_p0.3_dx0.003125_convergence_4x5x9.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	3 0.46875 0.5	4.56529022249599e-06
0	0	0 0 0	20 1 20	0	3 0.4703125 0.5	4.56529022249599e-06
0	0	0 0 0	20 2 20	0	3 0.471875 0.5	3.49518201746453e-08
0	0	0 0 0	20 3 20	0	3 0.4734375 0.5	3.44277355586627e-08
0	0	0 0 0	20 4 20	0	3 0.475 0.5	3.47097147824875e-08
0	0	0 0 0	20 5 20	0	3 0.4765625 0.5	3.45616244529917e-08
0	0	0 0 0	20 6 20	0	3 0.478125 0.5	3.42986028389544e-08
0	0	0 0 0	20 7 20	0	3 0.4796875 0.5	3.43532286228854e-08
0	0	0 0 0	20 8 20	0	3 0.48125 0.5	3.41753032054304e-08
0	0	0 0 0	20 9 20	0	3 0.4828125 0.5	3.36705696401575e-08
0	0	0 0 0	20 10 20	0	3 0.484375 0.5	3.37586415367214e-08
0	0	0 0 0	20 11 20	0	3 0.4859375 0.5	3.36072292069986e-08
0	0	0 0 0	20 12 20	0	3 0.4875 0.5	3.2908733867739e-08
0	0	0 0 0	20 13 20	0	3 0.4890625 0.5	3.19957015422132e-08
0	0	0 0 0	20 14 20	0	3 0.490625 0.5	3.20112774556021e-08
0	0	0 0 0	20 15 20	0	3 0.4921875 0.5	3.15223436919004e-08
0	0	0 0 0	20 16 20	0	3 0.49375 0.5	3.13367738129927e-08
0	0	0 0 0	20 17 20	0	3 0.4953125 0.5	3.10684819368641e-08
0	0	0 0 0	20 18 20	0	3 0.496875 0.5	3.02705095702946e-08
0	0	0 0 0	20 19 20	0	3 0.4984375 0.5	2.96085223582855e-08
0	0	0 0 0	20 20 20	0	3 0.5 0.5	2.92372436851152e-08
0	0	0 0 0	20 21 20	0	3 0.5015625 0.5	2.82654782080005e-08
0	0	0 0 0	20 22 20	0	3 0.503125 0.5	2.79897096563432e-08
0	0	0 0 0	20 23 20	0	3 0.5046875 0.5	2.72470708274387e-08
0	0	0 0 0	20 24 20	0	3 0.50625 0.5	2.60629795332395e-08
0	0	0 0 0	20 25 20	0	3 0.5078125 0.5	2.53564444484614e-08
0	0	0 0 0	20 26 20	0	3 0.509375 0.5	2.48288760684202e-08
0	0	0 0 0	20 27 20	0	3 0.5109375 0.5	2.40906373777557e-08
0	0	0 0 0	20 28 20	0	3 0.5125 0.5	2.29373457983316e-08
0	0	0 0 0	20 29 20	0	3 0.5140625 0.5	2.23621320683855e-08
0	0	0 0 0	20 30 20	0	3 0.515625 0.5	2.16203389540384e-08
0	0	0 0 0	20 31 20	0	3 0.5171875 0.5	2.07477096453822e-08
0	0	0 0 0	20 32 20	0	3 0.51875 0.5	1.92761099920488e-08
0	0	0 0 0	20 33 20	0	3 0.5203125 0.5	1.82886742894003e-08
0	0	0 0 0	20 34 20	0	3 0.521875 0.5	1.73451087949993e-08
0	0	0 0 0	20 35 20	0	3 0.5234375 0.5	1.66369707888664e-08
0	0	0 0 0	20 36 20	0	3 0.525 0.5	1.54473177240051e-08
0	0	0 0 0	20 37 20	0	3 0.5265625 0.5	1.45680837644949e-08
0	0	0 0 0	20 38 20	0	3 0.528125 0.5	1.32126923963437e-08
0	0	0 0 0	20 39 20	0	3 0.5296875 0.5	3.69161121594429e-06
0	0	0 0 0	20 40 20	0	3 0.53125 0.5	3.69161121594429e-06


