# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 15 2016 at 22:34:20+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1_convergence/1bh_p0.5_dx0.003125_convergence/manybhfar_1bh_p0.5_dx0.003125_convergence_8x9x13.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.36375482505087e-09
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.36375482505087e-09
0	0	0 0 0	20 20 2	0	5 5 4.94375	7.5864867513098e-10
0	0	0 0 0	20 20 3	0	5 5 4.946875	-2.94399177318229e-10
0	0	0 0 0	20 20 4	0	5 5 4.95	-1.14325801836524e-10
0	0	0 0 0	20 20 5	0	5 5 4.953125	-1.83333177577929e-10
0	0	0 0 0	20 20 6	0	5 5 4.95625	-6.37583632916681e-10
0	0	0 0 0	20 20 7	0	5 5 4.959375	2.72739134391225e-10
0	0	0 0 0	20 20 8	0	5 5 4.9625	2.56388363962861e-10
0	0	0 0 0	20 20 9	0	5 5 4.965625	1.87423850256992e-10
0	0	0 0 0	20 20 10	0	5 5 4.96875	6.4533567183632e-11
0	0	0 0 0	20 20 11	0	5 5 4.971875	-4.50702570073012e-10
0	0	0 0 0	20 20 12	0	5 5 4.975	-4.16062823354203e-10
0	0	0 0 0	20 20 13	0	5 5 4.978125	7.06795417034162e-10
0	0	0 0 0	20 20 14	0	5 5 4.98125	5.56772501502734e-10
0	0	0 0 0	20 20 15	0	5 5 4.984375	4.1333221117686e-10
0	0	0 0 0	20 20 16	0	5 5 4.9875	-3.99457569371384e-10
0	0	0 0 0	20 20 17	0	5 5 4.990625	-3.98990576146695e-10
0	0	0 0 0	20 20 18	0	5 5 4.99375	-1.26085044098098e-10
0	0	0 0 0	20 20 19	0	5 5 4.996875	1.48077975960703e-10
0	0	0 0 0	20 20 20	0	5 5 5	8.45860172540586e-11
0	0	0 0 0	20 20 21	0	5 5 5.003125	-3.18120146653063e-10
0	0	0 0 0	20 20 22	0	5 5 5.00625	-7.91517699961445e-10
0	0	0 0 0	20 20 23	0	5 5 5.009375	4.18901193572317e-10
0	0	0 0 0	20 20 24	0	5 5 5.0125	2.86990060622411e-12
0	0	0 0 0	20 20 25	0	5 5 5.015625	-2.85414442243153e-10
0	0	0 0 0	20 20 26	0	5 5 5.01875	-2.44551440946664e-10
0	0	0 0 0	20 20 27	0	5 5 5.021875	1.24236538564344e-10
0	0	0 0 0	20 20 28	0	5 5 5.025	-3.29316925725548e-10
0	0	0 0 0	20 20 29	0	5 5 5.028125	-7.95812221974839e-10
0	0	0 0 0	20 20 30	0	5 5 5.03125	3.45947851122146e-10
0	0	0 0 0	20 20 31	0	5 5 5.034375	-2.18030780495954e-10
0	0	0 0 0	20 20 32	0	5 5 5.0375	4.8574604587107e-10
0	0	0 0 0	20 20 33	0	5 5 5.040625	2.13788203991001e-11
0	0	0 0 0	20 20 34	0	5 5 5.04375	3.48828816418116e-10
0	0	0 0 0	20 20 35	0	5 5 5.046875	-1.56857672358769e-10
0	0	0 0 0	20 20 36	0	5 5 5.05	-7.63653869144138e-11
0	0	0 0 0	20 20 37	0	5 5 5.053125	1.15378311668201e-10
0	0	0 0 0	20 20 38	0	5 5 5.05625	-1.24566336385341e-10
0	0	0 0 0	20 20 39	0	5 5 5.059375	2.13057907788258e-09
0	0	0 0 0	20 20 40	0	5 5 5.0625	2.13057907788258e-09


