# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 15 2016 at 22:31:46+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1_convergence/1bh_p0.5_dx0.003125_convergence/manybhmid_1bh_p0.5_dx0.003125_convergence_4x5x9.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-5.23058052734164e-08
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-5.23058052734164e-08
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-2.12717332155783e-08
0	0	0 0 0	3 4 4	0	-1.990625 0 0	-1.93003888381265e-08
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-1.86092331184474e-08
0	0	0 0 0	5 4 4	0	-1.984375 0 0	-1.64380045634266e-08
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-1.6522250346953e-08
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-1.39215073991297e-08
0	0	0 0 0	8 4 4	0	-1.975 0 0	-1.24717743235723e-08
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-1.12302238144697e-08
0	0	0 0 0	10 4 4	0	-1.96875 0 0	-9.66972226617603e-09
0	0	0 0 0	11 4 4	0	-1.965625 0 0	-8.04048414242316e-09
0	0	0 0 0	12 4 4	0	-1.9625 0 0	-6.43618034605956e-09
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-5.72563524435347e-09
0	0	0 0 0	14 4 4	0	-1.95625 0 0	-4.03384386527331e-09
0	0	0 0 0	15 4 4	0	-1.953125 0 0	-2.43570357047647e-09
0	0	0 0 0	16 4 4	0	-1.95 0 0	-7.62897516210295e-10
0	0	0 0 0	17 4 4	0	-1.946875 0 0	4.30289907220674e-10
0	0	0 0 0	18 4 4	0	-1.94375 0 0	1.15927083449256e-09
0	0	0 0 0	19 4 4	0	-1.940625 0 0	3.6071399721338e-09
0	0	0 0 0	20 4 4	0	-1.9375 0 0	4.38397242054529e-09
0	0	0 0 0	21 4 4	0	-1.934375 0 0	6.03511262123844e-09
0	0	0 0 0	22 4 4	0	-1.93125 0 0	7.95875199619857e-09
0	0	0 0 0	23 4 4	0	-1.928125 0 0	8.57689242761764e-09
0	0	0 0 0	24 4 4	0	-1.925 0 0	1.03299076545209e-08
0	0	0 0 0	25 4 4	0	-1.921875 0 0	1.24131862334637e-08
0	0	0 0 0	26 4 4	0	-1.91875 0 0	1.27908051921356e-08
0	0	0 0 0	27 4 4	0	-1.915625 0 0	1.47761088356221e-08
0	0	0 0 0	28 4 4	0	-1.9125 0 0	1.53075232960185e-08
0	0	0 0 0	29 4 4	0	-1.909375 0 0	1.74396791177093e-08
0	0	0 0 0	30 4 4	0	-1.90625 0 0	1.82697490178942e-08
0	0	0 0 0	31 4 4	0	-1.903125 0 0	2.07993984490101e-08
0	0	0 0 0	32 4 4	0	-1.9 0 0	2.06950519540238e-08
0	0	0 0 0	33 4 4	0	-1.896875 0 0	2.33157991366608e-08
0	0	0 0 0	34 4 4	0	-1.89375 0 0	2.44861139283518e-08
0	0	0 0 0	35 4 4	0	-1.890625 0 0	2.57722003287053e-08
0	0	0 0 0	36 4 4	0	-1.8875 0 0	2.69986145703515e-08
0	0	0 0 0	37 4 4	0	-1.884375 0 0	2.84002051810679e-08
0	0	0 0 0	38 4 4	0	-1.88125 0 0	2.97522023313696e-08
0	0	0 0 0	39 4 4	0	-1.878125 0 0	3.12909366599091e-08
0	0	0 0 0	40 4 4	0	-1.875 0 0	3.31509792277952e-08
0	0	0 0 0	41 4 4	0	-1.871875 0 0	3.35286500625052e-08
0	0	0 0 0	42 4 4	0	-1.86875 0 0	3.51636514047196e-08
0	0	0 0 0	43 4 4	0	-1.865625 0 0	3.62544028506984e-08
0	0	0 0 0	44 4 4	0	-1.8625 0 0	3.72965768239038e-08
0	0	0 0 0	45 4 4	0	-1.859375 0 0	3.92438934881598e-08
0	0	0 0 0	46 4 4	0	-1.85625 0 0	4.03517425283124e-08
0	0	0 0 0	47 4 4	0	-1.853125 0 0	4.19320351134709e-08
0	0	0 0 0	48 4 4	0	-1.85 0 0	4.32612239492907e-08
0	0	0 0 0	49 4 4	0	-1.846875 0 0	4.42787943997179e-08
0	0	0 0 0	50 4 4	0	-1.84375 0 0	4.57886628190286e-08
0	0	0 0 0	51 4 4	0	-1.840625 0 0	4.70711385871896e-08
0	0	0 0 0	52 4 4	0	-1.8375 0 0	4.79163290603539e-08
0	0	0 0 0	53 4 4	0	-1.834375 0 0	4.93834453722548e-08
0	0	0 0 0	54 4 4	0	-1.83125 0 0	5.05537935916334e-08
0	0	0 0 0	55 4 4	0	-1.828125 0 0	5.17272962764163e-08
0	0	0 0 0	56 4 4	0	-1.825 0 0	5.30523174015717e-08
0	0	0 0 0	57 4 4	0	-1.821875 0 0	5.36658176606298e-08
0	0	0 0 0	58 4 4	0	-1.81875 0 0	5.54385566375101e-08
0	0	0 0 0	59 4 4	0	-1.815625 0 0	5.61438684789934e-08
0	0	0 0 0	60 4 4	0	-1.8125 0 0	5.68953894696141e-08
0	0	0 0 0	61 4 4	0	-1.809375 0 0	5.86537148598507e-08
0	0	0 0 0	62 4 4	0	-1.80625 0 0	5.98548659338539e-08
0	0	0 0 0	63 4 4	0	-1.803125 0 0	5.99481905683326e-08
0	0	0 0 0	64 4 4	0	-1.8 0 0	6.16622094682349e-08
