# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 15 2016 at 22:30:21+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1_convergence/1bh_p0.5_dx0.003125_convergence/manybhnear_1bh_p0.5_dx0.003125_convergence_24x25x33.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	3 0.5 0.46875	4.31386063574641e-06
0	0	0 0 0	20 20 1	0	3 0.5 0.4703125	4.31386063574641e-06
0	0	0 0 0	20 20 2	0	3 0.5 0.471875	3.37098779445988e-10
0	0	0 0 0	20 20 3	0	3 0.5 0.4734375	-2.94226690754351e-10
0	0	0 0 0	20 20 4	0	3 0.5 0.475	-4.78011710075554e-11
0	0	0 0 0	20 20 5	0	3 0.5 0.4765625	1.89312992365798e-11
0	0	0 0 0	20 20 6	0	3 0.5 0.478125	-3.02484929465274e-10
0	0	0 0 0	20 20 7	0	3 0.5 0.4796875	-1.54339858601804e-10
0	0	0 0 0	20 20 8	0	3 0.5 0.48125	-2.24909120841166e-10
0	0	0 0 0	20 20 9	0	3 0.5 0.4828125	-1.19935610054522e-10
0	0	0 0 0	20 20 10	0	3 0.5 0.484375	-2.73338371034604e-10
0	0	0 0 0	20 20 11	0	3 0.5 0.4859375	3.58706691086508e-10
0	0	0 0 0	20 20 12	0	3 0.5 0.4875	-1.92229830144053e-10
0	0	0 0 0	20 20 13	0	3 0.5 0.4890625	-5.8211765963101e-10
0	0	0 0 0	20 20 14	0	3 0.5 0.490625	-4.36638260270517e-11
0	0	0 0 0	20 20 15	0	3 0.5 0.4921875	-4.03779325079678e-10
0	0	0 0 0	20 20 16	0	3 0.5 0.49375	7.1611214354228e-11
0	0	0 0 0	20 20 17	0	3 0.5 0.4953125	1.87624501005179e-10
0	0	0 0 0	20 20 18	0	3 0.5 0.496875	-1.01568810653707e-10
0	0	0 0 0	20 20 19	0	3 0.5 0.4984375	-1.85804124690214e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-1.24631571556122e-10
0	0	0 0 0	20 20 21	0	3 0.5 0.5015625	-1.41141895913799e-10
0	0	0 0 0	20 20 22	0	3 0.5 0.503125	8.82565028004212e-11
0	0	0 0 0	20 20 23	0	3 0.5 0.5046875	3.64766845201148e-11
0	0	0 0 0	20 20 24	0	3 0.5 0.50625	-1.46786927231191e-10
0	0	0 0 0	20 20 25	0	3 0.5 0.5078125	-1.66498795653447e-10
0	0	0 0 0	20 20 26	0	3 0.5 0.509375	-2.79198044891849e-10
0	0	0 0 0	20 20 27	0	3 0.5 0.5109375	1.65847515408435e-10
0	0	0 0 0	20 20 28	0	3 0.5 0.5125	-2.98371869746072e-10
0	0	0 0 0	20 20 29	0	3 0.5 0.5140625	7.25207402810235e-11
0	0	0 0 0	20 20 30	0	3 0.5 0.515625	2.37999498581276e-11
0	0	0 0 0	20 20 31	0	3 0.5 0.5171875	1.61303088941356e-12
0	0	0 0 0	20 20 32	0	3 0.5 0.51875	-5.10110497245475e-10
0	0	0 0 0	20 20 33	0	3 0.5 0.5203125	-3.79311827607143e-10
0	0	0 0 0	20 20 34	0	3 0.5 0.521875	-3.41952941657064e-10
0	0	0 0 0	20 20 35	0	3 0.5 0.5234375	2.77407422553944e-10
0	0	0 0 0	20 20 36	0	3 0.5 0.525	-1.99630331362832e-10
0	0	0 0 0	20 20 37	0	3 0.5 0.5265625	-6.09470286738745e-11
0	0	0 0 0	20 20 38	0	3 0.5 0.528125	-3.1123623123186e-10
0	0	0 0 0	20 20 39	0	3 0.5 0.5296875	3.50520129808844e-06
0	0	0 0 0	20 20 40	0	3 0.5 0.53125	3.50520129808844e-06


