# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 15:10:16+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1_less_lorene/1bh_p0.1_dx0.0015625_near/manybhfar_1bh_p0.1_dx0.0015625_near_4x5x9.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 20 20	0	4.9375 5 5	1.30366141891602 0 0 1.30366141891602 0 1.30366141891602
0	0	0 0 0	1 20 20	0	4.940625 5 5	1.30362377850749 0 0 1.30362377850749 0 1.30362377850749
0	0	0 0 0	2 20 20	0	4.94375 5 5	1.30358609099285 0 0 1.30358609099285 0 1.30358609099285
0	0	0 0 0	3 20 20	0	4.946875 5 5	1.30354835642953 0 0 1.30354835642953 0 1.30354835642953
0	0	0 0 0	4 20 20	0	4.95 5 5	1.30351057487501 0 0 1.30351057487501 0 1.30351057487501
0	0	0 0 0	5 20 20	0	4.953125 5 5	1.30347274638679 0 0 1.30347274638679 0 1.30347274638679
0	0	0 0 0	6 20 20	0	4.95625 5 5	1.30343487102242 0 0 1.30343487102242 0 1.30343487102242
0	0	0 0 0	7 20 20	0	4.959375 5 5	1.30339694883947 0 0 1.30339694883947 0 1.30339694883947
0	0	0 0 0	8 20 20	0	4.9625 5 5	1.30335897989555 0 0 1.30335897989555 0 1.30335897989555
0	0	0 0 0	9 20 20	0	4.965625 5 5	1.30332096424831 0 0 1.30332096424831 0 1.30332096424831
0	0	0 0 0	10 20 20	0	4.96875 5 5	1.30328290195542 0 0 1.30328290195542 0 1.30328290195542
0	0	0 0 0	11 20 20	0	4.971875 5 5	1.30324479307459 0 0 1.30324479307459 0 1.30324479307459
0	0	0 0 0	12 20 20	0	4.975 5 5	1.30320663766355 0 0 1.30320663766355 0 1.30320663766355
0	0	0 0 0	13 20 20	0	4.978125 5 5	1.3031684357801 0 0 1.3031684357801 0 1.3031684357801
0	0	0 0 0	14 20 20	0	4.98125 5 5	1.30313018748203 0 0 1.30313018748203 0 1.30313018748203
0	0	0 0 0	15 20 20	0	4.984375 5 5	1.30309189282717 0 0 1.30309189282717 0 1.30309189282717
0	0	0 0 0	16 20 20	0	4.9875 5 5	1.30305355187341 0 0 1.30305355187341 0 1.30305355187341
0	0	0 0 0	17 20 20	0	4.990625 5 5	1.30301516467863 0 0 1.30301516467863 0 1.30301516467863
0	0	0 0 0	18 20 20	0	4.99375 5 5	1.30297673130078 0 0 1.30297673130078 0 1.30297673130078
0	0	0 0 0	19 20 20	0	4.996875 5 5	1.30293825179781 0 0 1.30293825179781 0 1.30293825179781
0	0	0 0 0	20 20 20	0	5 5 5	1.30289972622773 0 0 1.30289972622773 0 1.30289972622773
0	0	0 0 0	21 20 20	0	5.003125 5 5	1.30286115464856 0 0 1.30286115464856 0 1.30286115464856
0	0	0 0 0	22 20 20	0	5.00625 5 5	1.30282253711835 0 0 1.30282253711835 0 1.30282253711835
0	0	0 0 0	23 20 20	0	5.009375 5 5	1.3027838736952 0 0 1.3027838736952 0 1.3027838736952
0	0	0 0 0	24 20 20	0	5.0125 5 5	1.30274516443721 0 0 1.30274516443721 0 1.30274516443721
0	0	0 0 0	25 20 20	0	5.015625 5 5	1.30270640940253 0 0 1.30270640940253 0 1.30270640940253
0	0	0 0 0	26 20 20	0	5.01875 5 5	1.30266760864935 0 0 1.30266760864935 0 1.30266760864935
0	0	0 0 0	27 20 20	0	5.021875 5 5	1.30262876223586 0 0 1.30262876223586 0 1.30262876223586
0	0	0 0 0	28 20 20	0	5.025 5 5	1.30258987022031 0 0 1.30258987022031 0 1.30258987022031
0	0	0 0 0	29 20 20	0	5.028125 5 5	1.30255093266095 0 0 1.30255093266095 0 1.30255093266095
0	0	0 0 0	30 20 20	0	5.03125 5 5	1.30251194961609 0 0 1.30251194961609 0 1.30251194961609
0	0	0 0 0	31 20 20	0	5.034375 5 5	1.30247292114403 0 0 1.30247292114403 0 1.30247292114403
0	0	0 0 0	32 20 20	0	5.0375 5 5	1.30243384730314 0 0 1.30243384730314 0 1.30243384730314
0	0	0 0 0	33 20 20	0	5.040625 5 5	1.30239472815178 0 0 1.30239472815178 0 1.30239472815178
0	0	0 0 0	34 20 20	0	5.04375 5 5	1.30235556374838 0 0 1.30235556374838 0 1.30235556374838
0	0	0 0 0	35 20 20	0	5.046875 5 5	1.30231635415135 0 0 1.30231635415135 0 1.30231635415135
0	0	0 0 0	36 20 20	0	5.05 5 5	1.30227709941917 0 0 1.30227709941917 0 1.30227709941917
0	0	0 0 0	37 20 20	0	5.053125 5 5	1.30223779961032 0 0 1.30223779961032 0 1.30223779961032
0	0	0 0 0	38 20 20	0	5.05625 5 5	1.30219845478332 0 0 1.30219845478332 0 1.30219845478332
0	0	0 0 0	39 20 20	0	5.059375 5 5	1.30215906499671 0 0 1.30215906499671 0 1.30215906499671
0	0	0 0 0	40 20 20	0	5.0625 5 5	1.30211963030907 0 0 1.30211963030907 0 1.30211963030907


