# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 15:10:16+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1_less_lorene/1bh_p0.1_dx0.0015625_near/manybhfar_1bh_p0.1_dx0.0015625_near_4x5x9.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.36152861792567e-10 4.5531829188602e-11 4.92733458337192e-11
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.36152861792567e-10 4.5531829188602e-11 4.92733458337192e-11
0	0	0 0 0	20 2 20	0	5 4.94375 5	-1.41479913179886e-17 3.37186875642992e-17 9.23469200414528e-17
0	0	0 0 0	20 3 20	0	5 4.946875 5	-2.8568727244993e-17 8.0569773942829e-17 6.96870946365058e-17
0	0	0 0 0	20 4 20	0	5 4.95 5	1.557896877908e-16 4.65800358354085e-17 -2.402863064771e-17
0	0	0 0 0	20 5 20	0	5 4.953125 5	-3.64188591935564e-16 -1.37720780959971e-16 -6.5187655620691e-17
0	0	0 0 0	20 6 20	0	5 4.95625 5	2.52924038050134e-17 3.17535711266692e-17 8.22231822558694e-17
0	0	0 0 0	20 7 20	0	5 4.959375 5	-1.65479321190916e-16 -2.62512451013053e-17 -3.113015487749e-17
0	0	0 0 0	20 8 20	0	5 4.9625 5	-1.03509967253317e-16 -8.2927913667985e-17 -8.75086678467363e-17
0	0	0 0 0	20 9 20	0	5 4.965625 5	-2.11764589560679e-16 -6.98361724352226e-17 -3.25667227560333e-17
0	0	0 0 0	20 10 20	0	5 4.96875 5	-3.67536066143113e-17 7.48370549558119e-17 -1.25767452008319e-17
0	0	0 0 0	20 11 20	0	5 4.971875 5	-1.17670240549041e-16 -1.68051336735253e-17 8.99616752619847e-17
0	0	0 0 0	20 12 20	0	5 4.975 5	-1.94502905128584e-16 -7.5053895390309e-17 8.85657649649096e-17
0	0	0 0 0	20 13 20	0	5 4.978125 5	-2.63236664182955e-17 -4.77862107522986e-17 -3.13334427848311e-17
0	0	0 0 0	20 14 20	0	5 4.98125 5	-2.66377038834901e-17 8.30769914667018e-18 -1.0556063401862e-16
0	0	0 0 0	20 15 20	0	5 4.984375 5	-6.94168911263317e-17 2.61252065987538e-16 4.16062583691312e-18
0	0	0 0 0	20 16 20	0	5 4.9875 5	-1.98137735263489e-16 -1.81332813348201e-17 6.27617532597546e-17
0	0	0 0 0	20 17 20	0	5 4.990625 5	-5.46390249329411e-17 -3.24718550659409e-17 2.59801945581839e-17
0	0	0 0 0	20 18 20	0	5 4.99375 5	2.57095675315362e-17 1.04056303504296e-16 -7.67479612848176e-17
0	0	0 0 0	20 19 20	0	5 4.996875 5	-2.35188544563168e-16 -6.01054579371652e-17 1.04977875350909e-16
0	0	0 0 0	20 20 20	0	5 5 5	6.48241361452669e-17 2.7172816947918e-17 3.60226171808309e-17
0	0	0 0 0	20 21 20	0	5 5.003125 5	1.6866760614394e-16 2.72676846380104e-17 -7.77779533486789e-17
0	0	0 0 0	20 22 20	0	5 5.00625 5	-1.37032990206801e-16 1.44063363669011e-17 5.78557384292577e-17
0	0	0 0 0	20 23 20	0	5 5.009375 5	-2.79101167768555e-16 -4.05356087238018e-17 -1.22718133398203e-16
0	0	0 0 0	20 24 20	0	5 5.0125 5	1.64293263306523e-16 -7.78592685116153e-17 -5.57279916657549e-17
0	0	0 0 0	20 25 20	0	5 5.015625 5	-3.75436765958628e-17 2.00170826095136e-17 -4.00341652190273e-17
0	0	0 0 0	20 26 20	0	5 5.01875 5	-1.51954746122106e-16 1.65693197010097e-16 2.22261445359528e-17
0	0	0 0 0	20 27 20	0	5 5.021875 5	-2.35410784832704e-16 -6.45777918986679e-17 -3.88415428292932e-17
0	0	0 0 0	20 28 20	0	5 5.025 5	-1.52995326097808e-17 -1.3782920117722e-17 -5.62294351705295e-17
0	0	0 0 0	20 29 20	0	5 5.028125 5	-4.65791464508139e-16 -3.67409011201025e-17 -7.55011287864593e-17
0	0	0 0 0	20 30 20	0	5 5.03125 5	-9.41333125272122e-17 2.05876440027841e-16 -1.09355341622319e-16
0	0	0 0 0	20 31 20	0	5 5.034375 5	7.77961645570448e-17 -3.17725446646877e-16 -1.07064964532944e-16
0	0	0 0 0	20 32 20	0	5 5.0375 5	3.49913545675488e-17 -4.47639971964953e-17 1.22650370762423e-16
0	0	0 0 0	20 33 20	0	5 5.040625 5	-2.24103742019807e-16 1.72469460588132e-16 -2.32967941812823e-17
0	0	0 0 0	20 34 20	0	5 5.04375 5	-2.22839968862503e-16 -4.63360903465992e-17 1.23897203260781e-16
0	0	0 0 0	20 35 20	0	5 5.046875 5	1.88523276037442e-16 -1.32408190314792e-16 6.46320020072921e-17
0	0	0 0 0	20 36 20	0	5 5.05 5	-1.68928015835661e-16 1.15250690935209e-16 4.77048955893622e-18
0	0	0 0 0	20 37 20	0	5 5.053125 5	-1.07262323209654e-16 1.58022466639762e-17 -2.64409804814902e-17
0	0	0 0 0	20 38 20	0	5 5.05625 5	6.22340517336152e-17 7.58670470196732e-17 -3.91532509538828e-17
0	0	0 0 0	20 39 20	0	5 5.059375 5	1.29048026460174e-10 4.60820962687675e-11 4.25989549353561e-11
0	0	0 0 0	20 40 20	0	5 5.0625 5	1.29048026460174e-10 4.60820962687675e-11 4.25989549353561e-11


